experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,trial_no,scene,target,response_mode,shift_x,shift_y,shift_z,view_rotation,preview_label,t_starting_pos,standing_y_rotation,target_label,target_pos_x,target_pos_y,target_pos_z,target_euler_x,target_euler_y,target_euler_z,target_bbox_center_x,target_bbox_center_y,target_bbox_center_z,target_bbox_size_x,target_bbox_size_y,target_bbox_size_z,t_scene_preview_start,t_scene_preview_end,t_response_start,t_response_end,response_pos_x_pivot,response_pos_y_pivot,response_pos_z_pivot,response_euler_x,response_euler_y,response_euler_z,tar_error_pos,tar_error_pos_x,tar_error_pos_y,tar_error_pos_z,response_bbox_center_x,response_bbox_center_y,response_bbox_center_z,tar_error_bbox,tar_error_bbox_x,tar_error_bbox_y,tar_error_bbox_z,tar_error_angle,tar_error_euler_x,tar_error_euler_y,tar_error_euler_z,standing_pos_x,standing_pos_y,standing_pos_z,VR_move_location_0,Eye_gaze_location_0
Pilot_Kitchen_cube,13,4,1,1,1,45.04963,70.05631,1,K01,K01_L05,cube,0,0,0,180,Plant,53.49648,181.3669,plant,0.740949,0.010997,-1.475805,357.0071,116.5166,356.3118,0.689599,0.494938,-1.514348,1.09479,0.991716,0.990528,55.01841,57.38367,59.39405,69.03439,0.732674,0.026736,-1.49273,355.6512,355.9294,358.9755,0.024549,-0.008275,0.015739,-0.016925,0.733835,0.076584,-1.496448,0.421066,0.044236,-0.418353,0.0179,120.4389,-1.355988,239.4128,2.663666,0.052461,1.417884,-0.45367,Pilot_Kitchen_cube/13/S004/trackers/VR_move_T001.csv,Pilot_Kitchen_cube/13/S004/trackers/Eye_gaze_T001.csv
Pilot_Kitchen_cube,13,4,2,1,2,71.06693,89.75945,9,K01,K01_L12,cube,0,0,0,0,Banana,78.38636,2.89402,banana,0.050392,0.908097,1.171279,276.2014,165.8417,147.4809,0.03991,0.907322,1.177484,0.224758,0.057988,0.228644,78.8971,80.18556,82.19585,88.73753,0.065399,0.890062,1.176824,3.403735,4.003852,0.841124,0.024109,0.015007,-0.018036,0.005545,0.064874,0.939968,1.179836,0.041165,0.024965,0.032646,0.002352,109.4207,-272.7977,-161.8379,-146.6398,0.035948,1.479152,0.198338,Pilot_Kitchen_cube/13/S004/trackers/VR_move_T002.csv,Pilot_Kitchen_cube/13/S004/trackers/Eye_gaze_T002.csv
Pilot_Kitchen_cube,13,4,3,1,3,90.77002,102.2321,9,K01,K01_L12,cube,0,0,0,0,Banana,92.71365,3.10776,banana,0.050392,0.908097,1.171279,276.2014,165.8417,147.4809,0.03991,0.907322,1.177484,0.224758,0.057988,0.228644,93.22449,94.24653,96.25674,101.2103,0.071972,0.88576,1.189206,359.4055,1.993727,1.652925,0.03586,0.021579,-0.022337,0.017927,0.070512,0.935737,1.188738,0.04325,0.030603,0.028415,0.011253,105.5713,83.2041,-163.848,-145.828,-0.035476,1.466471,0.064169,Pilot_Kitchen_cube/13/S004/trackers/VR_move_T003.csv,Pilot_Kitchen_cube/13/S004/trackers/Eye_gaze_T003.csv
Pilot_Kitchen_cube,13,4,4,1,4,103.2427,120.969,2,K01,K01_L25,cube,0,0,0,90,Painting,105.9639,86.33462,picture,1.870949,1.47049,0.304973,0,270,0,1.857929,1.846447,0.356637,0.02604,0.516962,0.933721,106.4747,110.9508,112.9611,119.9582,1.839453,1.695151,0.448858,0.217339,0.42804,359.7312,0.26864,-0.031496,0.224662,0.143885,1.839689,1.74515,0.449046,0.138323,-0.01824,-0.101297,0.092409,90.42906,0.217339,-269.572,359.7312,0.294981,1.45529,0.06663,Pilot_Kitchen_cube/13/S004/trackers/VR_move_T004.csv,Pilot_Kitchen_cube/13/S004/trackers/Eye_gaze_T004.csv
Pilot_Kitchen_cube,13,4,5,1,5,121.9797,134.8522,9,K01,K01_L12,cube,0,0,0,0,Banana,125.5114,357.7451,banana,0.050392,0.908097,1.171279,276.2014,165.8417,147.4809,0.03991,0.907322,1.177484,0.224758,0.057988,0.228644,126.0225,126.9111,128.9212,133.8303,0.078655,0.887699,1.184968,3.147652,0.438705,0.06128,0.037447,0.028263,-0.020398,0.013688,0.078623,0.937624,1.187713,0.050215,0.038713,0.030302,0.010229,107.6497,-273.0538,-165.403,-147.4196,0.014118,1.485396,0.205023,Pilot_Kitchen_cube/13/S004/trackers/VR_move_T005.csv,Pilot_Kitchen_cube/13/S004/trackers/Eye_gaze_T005.csv
Pilot_Kitchen_cube,13,4,6,1,6,135.8627,152.8672,2,K01,K01_L25,cube,0,0,0,90,Painting,139.0392,89.60602,picture,1.870949,1.47049,0.304973,0,270,0,1.857929,1.846447,0.356637,0.02604,0.516962,0.933721,139.5503,141.9381,143.9485,151.8453,1.841249,1.674929,0.375828,357.5622,2.587737,359.4552,0.218398,-0.0297,0.204439,0.070854,1.841628,1.724881,0.373682,0.123833,-0.016301,-0.121566,0.017045,92.60217,357.5622,-267.4123,359.4552,-0.053838,1.412288,-0.101587,Pilot_Kitchen_cube/13/S004/trackers/VR_move_T006.csv,Pilot_Kitchen_cube/13/S004/trackers/Eye_gaze_T006.csv
Pilot_Kitchen_cube,13,4,7,1,7,153.8777,167.1722,4,K01,K01_L09,cube,0,0,0,90,Plate,156.2212,90.6685,tablesetting,1.346949,0.883812,0.447195,1.149957,175.9449,2.014389,1.376723,0.896645,0.467217,0.431217,0.056127,0.360425,156.7321,157.5984,159.6087,166.1505,1.307149,0.871623,0.431441,358.2921,359.5262,355.1682,0.044506,-0.0398,-0.012188,-0.015755,1.311373,0.921423,0.429991,0.079186,-0.06535,0.024778,-0.037227,176.4595,357.1422,183.5813,353.1538,0.480125,1.477494,0.255503,Pilot_Kitchen_cube/13/S004/trackers/VR_move_T007.csv,Pilot_Kitchen_cube/13/S004/trackers/Eye_gaze_T007.csv
Pilot_Kitchen_cube,13,4,8,1,8,168.1829,183.8212,8,K01,K01_L13,cube,0,0,0,0,Cutting Board,171.3042,0.606644,cuttingboard,-1.437559,0.891825,1.196799,272.964,60.09008,300.075,-1.436887,0.906805,1.197186,0.245887,0.05029,0.364747,171.815,174.4361,176.4464,182.7992,-1.422137,0.893567,1.189448,6.26214,356.2863,358.0911,0.017174,0.015423,0.001742,-0.007351,-1.420828,0.943241,1.194995,0.039878,0.016059,0.036436,-0.002191,94.98,-266.7018,296.1962,58.01605,-1.053976,1.477289,0.631321,Pilot_Kitchen_cube/13/S004/trackers/VR_move_T008.csv,Pilot_Kitchen_cube/13/S004/trackers/Eye_gaze_T008.csv
Pilot_Kitchen_cube,13,4,9,1,9,184.8318,203.7353,10,K01,K01_L19,cube,0,0,0,270,Kettle,189.519,273.2461,electrickettle,-1.815528,0.88442,-1.188014,359.4425,51.20193,359.9249,-1.83694,1.015495,-1.169477,0.279372,0.263917,0.277038,190.0297,192.6174,194.6279,202.7135,-1.81171,0.883977,-1.191178,359.0623,1.982073,2.281972,0.004978,0.003818,-0.000443,-0.003164,-1.813728,0.933931,-1.191926,0.087724,0.023212,-0.081564,-0.02245,49.24337,-0.380127,-49.21985,-357.6429,-1.031631,1.442213,-0.913507,Pilot_Kitchen_cube/13/S004/trackers/VR_move_T009.csv,Pilot_Kitchen_cube/13/S004/trackers/Eye_gaze_T009.csv
Pilot_Kitchen_cube,13,4,10,1,10,204.7462,223.8604,8,K01,K01_L13,cube,0,0,0,0,Cutting Board,210.0993,0.374464,cuttingboard,-1.437559,0.891825,1.196799,272.964,60.09008,300.075,-1.436887,0.906805,1.197186,0.245887,0.05029,0.364747,210.6105,212.7648,214.7752,222.8386,-1.417247,0.884192,1.223043,4.145981,356.9891,358.3257,0.034053,0.020313,-0.007633,0.026243,-1.415977,0.93404,1.226728,0.045295,0.02091,0.027235,0.029542,92.81834,-268.818,296.899,58.2507,-0.690414,1.455191,0.376425,Pilot_Kitchen_cube/13/S004/trackers/VR_move_T010.csv,Pilot_Kitchen_cube/13/S004/trackers/Eye_gaze_T010.csv
