time,ori_x,ori_y,ori_z,dir_x,dir_y,dir_z,gaze_x,gaze_y,gaze_z,gaze_object,pupil_l,pupil_r
950.0078,0.019684,0.008323,-0.035118,0.079865,-0.396256,0.914658,-0.385304,0,-0.132129,Ground,2.339371,2.271042
950.0189,0.017938,0.008203,-0.035187,0.085495,-0.392014,0.91597,-0.394141,0,-0.133932,Ground,2.269714,2.15184
950.03,0.014289,0.008003,-0.035472,0.118103,-0.409363,0.904694,-0.454647,0,-0.125531,Ground,2.288757,2.248383
950.041,-0.001223,0.007489,-0.036338,0.151642,-0.426453,0.891693,-0.517768,0,-0.11584,Ground,2.37381,2.231979
950.052,-0.001223,0.007489,-0.036338,0.151642,-0.426453,0.891693,-0.524293,0,-0.107225,Ground,2.37381,2.231979
950.0631,-0.006442,0.007215,-0.036098,0.153839,-0.435654,0.886856,-0.540847,0,-0.087395,Ground,2.322052,2.325317
950.0743,-0.011606,0.007033,-0.036044,0.158447,-0.433533,0.887085,-0.551887,0,-0.084879,Ground,2.358307,2.209503
950.0854,-0.011606,0.007033,-0.036044,0.158447,-0.433533,0.887085,-0.559663,0,-0.076906,Ground,2.358307,2.209503
950.0967,-0.020477,0.006876,-0.036991,0.183044,-0.441422,0.878418,-0.607046,0,-0.069246,Ground,2.350143,2.270782
950.1076,-0.006987,0.006979,-0.035374,0.227127,-0.434998,0.871307,-0.675701,0,-0.08892,Ground,2.324066,2.399597
950.1188,-0.002552,0.007315,-0.035737,0.223206,-0.422669,0.878357,-0.671475,0,-0.095703,Ground,2.313263,2.296021
950.1298,-0.002552,0.007315,-0.035737,0.223206,-0.422669,0.878357,-0.681558,0,-0.085938,Ground,2.313263,2.296021
950.1409,0.003758,0.007355,-0.03455,0.236862,-0.412506,0.879608,-0.707349,0,-0.095528,Ground,2.446136,2.282578
950.1519,0.02068,0.007887,-0.033923,0.241943,-0.394074,0.886658,-0.717037,0,-0.11466,Ground,2.372055,2.246735
950.163,0.02068,0.007887,-0.033923,0.241943,-0.394074,0.886658,-0.728762,0,-0.103592,Ground,2.372055,2.246735
950.1741,0.022961,0.007939,-0.033697,0.24617,-0.391098,0.886795,-0.745514,0,-0.097645,Ground,2.393005,2.308411
950.1852,0.02722,0.008106,-0.033566,0.243835,-0.37497,0.894379,-0.74698,0,-0.111554,Ground,2.360748,2.288177
950.1965,0.028424,0.008118,-0.033202,0.244309,-0.359436,0.900604,-0.754344,0,-0.126013,Ground,2.486725,2.36734
950.2075,0.028424,0.008118,-0.033202,0.244309,-0.359436,0.900604,-0.765284,0,-0.117776,Ground,2.486725,2.36734
950.2188,0.028894,0.008197,-0.033318,0.236359,-0.350098,0.906387,-0.760176,0,-0.124811,Ground,2.370926,2.36348
950.2298,0.02896,0.008286,-0.033524,0.217621,-0.335938,0.916382,-0.736362,0,-0.1399,Ground,2.358124,2.362167
950.2408,0.02896,0.008286,-0.033524,0.217621,-0.335938,0.916382,-0.742046,0,-0.13558,Ground,2.358124,2.362167
950.2521,0.029168,0.008223,-0.03315,0.22876,-0.334808,0.914078,-0.763938,0,-0.131747,Ground,2.329803,2.357407
950.2631,0.028332,0.008304,-0.033847,0.109161,-0.334229,0.936142,-0.584166,0,-0.134517,Ground,2.39946,2.309998
950.2742,0.028332,0.008304,-0.033847,0.109161,-0.334229,0.936142,-0.585562,0,-0.131706,Ground,2.39946,2.309998
950.2853,0.000751,0.007862,-0.035265,-0.049332,-0.322571,0.945252,-0.363152,0,-0.150441,Ground,2.412216,2.363068
950.2963,0.001616,0.007947,-0.035612,-0.158478,-0.312744,0.936508,-0.213067,0,-0.162814,Ground,2.373062,2.403732
950.3075,0.001894,0.007983,-0.035961,-0.189331,-0.313263,0.930588,-0.168703,0,-0.160549,Ground,2.391159,2.387177
950.3186,0.001894,0.007983,-0.035961,-0.189331,-0.313263,0.930588,-0.166889,0,-0.161005,Ground,2.391159,2.387177
950.3295,0.001916,0.007953,-0.035866,-0.188004,-0.316757,0.929672,-0.166714,0,-0.156066,Ground,2.332657,2.399948
950.3408,0.001913,0.007945,-0.035756,-0.19017,-0.322754,0.92717,-0.161088,0,-0.148079,Ground,2.289764,2.370148
950.3519,0.001913,0.007945,-0.035756,-0.19017,-0.322754,0.92717,-0.159417,0,-0.149474,Ground,2.289764,2.370148
950.363,-0.009855,0.007694,-0.035727,-0.201538,-0.321137,0.925324,-0.142161,0,-0.153955,Ground,2.384216,2.450577
950.3742,-0.017003,0.007524,-0.035496,-0.217545,-0.322037,0.921387,-0.118199,0,-0.155246,Ground,2.363525,2.532089
950.3852,-0.017003,0.007524,-0.035496,-0.217545,-0.322037,0.921387,-0.117104,0,-0.15732,Ground,2.363525,2.532089
950.3965,0.02236,0.008365,-0.035391,-0.17041,-0.325272,0.93013,-0.181483,0,-0.151446,Ground,2.366501,2.469147
950.4075,0.025809,0.008428,-0.035321,-0.173538,-0.325272,0.92955,-0.175825,0,-0.15261,Ground,2.364502,2.493347
950.4186,0.025809,0.008428,-0.035321,-0.173538,-0.325272,0.92955,-0.173341,0,-0.154353,Ground,2.364502,2.493347
950.4298,0.02231,0.008343,-0.035238,-0.178543,-0.326889,0.92804,-0.163717,0,-0.154744,Ground,2.35199,2.481415
950.4407,0.010784,0.008103,-0.035257,-0.188019,-0.326859,0.926178,-0.146642,0,-0.159705,Ground,2.341782,2.480438
950.4518,0.003195,0.007934,-0.035071,-0.187454,-0.333267,0.923996,-0.142416,0,-0.156228,Ground,2.413284,2.469681
950.463,0.003195,0.007934,-0.035071,-0.187454,-0.333267,0.923996,-0.137712,0,-0.163822,Ground,2.413284,2.469681
950.4741,0.006225,0.00799,-0.034873,-0.181976,-0.336807,0.923813,-0.139143,0,-0.168359,Ground,2.374481,2.386734
950.4853,0.008599,0.008133,-0.035174,-0.178925,-0.341538,0.922669,-0.136272,0,-0.172368,Ground,2.366104,2.464249
950.4963,0.008599,0.008133,-0.035174,-0.178925,-0.341538,0.922669,-0.127424,0,-0.186024,Ground,2.366104,2.464249
950.5076,0.008913,0.008196,-0.03519,-0.17569,-0.34082,0.923554,-0.122475,0,-0.202281,Ground,2.340988,2.413589
950.5187,0.008688,0.008379,-0.034319,-0.21344,-0.294434,0.931519,-0.062137,0,-0.288621,Ground,2.264511,2.428787
950.5297,0.032475,0.013325,-0.055276,-0.157929,-0.207565,0.965378,-0.132563,0,-0.437041,Ground,0.757858,2.313736
950.5408,0.032475,0.013325,-0.055276,-0.157929,-0.207565,0.965378,-0.117583,0,-0.459512,Ground,0.757858,2.313736
950.5519,0,0,0,0,0,1,-99999,-99999,-99999,,-1,-1
950.563,0,0,0,0,0,1,-99999,-99999,-99999,,-1,-1
950.574,0,0,0,0,0,1,-99999,-99999,-99999,,-1,-1
950.5852,0,0,0,0,0,1,-99999,-99999,-99999,,-1,-1
950.5962,0,0,0,0,0,1,-99999,-99999,-99999,,-1,-1
950.6075,0,0,0,0,0,1,-99999,-99999,-99999,,-1,2.561417
950.6185,0,0,0,0,0,1,-99999,-99999,-99999,,-1,2.561417
950.6297,0.032607,0.009358,-0.029947,-0.292526,-0.005447,0.956238,0.40773,0,-1.068884,Ground,2.176025,2.322144
950.6407,0.032625,0.009266,-0.030084,-0.2939,0.040909,0.954956,0.496938,0,-1.218335,Ground,2.508698,2.447968
950.6518,0.032625,0.009266,-0.030084,-0.2939,0.040909,0.954956,0.558084,0,-1.261866,Ground,2.508698,2.447968
950.6629,0.002501,0.00926,-0.03298,-0.280457,0.059143,0.958038,0.609001,0,-1.357354,Ground,2.661011,2.627701
950.674,0.002405,0.009107,-0.032921,-0.262833,0.058441,0.963059,0.63436,0,-1.402619,Ground,2.438583,2.556564
950.6852,-0.028045,0.008565,-0.034118,-0.247269,0.02919,0.968506,0.633771,0,-1.366615,Ground,2.437851,2.66095
950.6964,-0.028045,0.008565,-0.034118,-0.247269,0.02919,0.968506,0.703672,0,-1.405843,Ground,2.437851,2.66095
950.7074,0.031672,0.008953,-0.03215,-0.177002,-0.007004,0.984177,0.574254,0,-1.368591,Ground,2.50618,2.510483
950.7184,0.032006,0.009088,-0.033183,-0.150238,-0.024048,0.988342,0.563959,0,-1.372609,Ground,2.46048,2.449249
950.7296,0.032006,0.009088,-0.033183,-0.150238,-0.024048,0.988342,0.630772,0,-1.411886,Ground,2.46048,2.449249
950.7407,0.031943,0.009062,-0.033111,-0.127548,-0.042633,0.990906,0.626806,0,-1.409906,Ground,2.469116,2.458664
950.7518,0.031728,0.009026,-0.032976,-0.095688,-0.079926,0.992188,0.581494,0,-1.362404,Ground,2.475082,2.554855
950.7629,0.031444,0.00892,-0.032575,-0.073029,-0.095734,0.992722,0.583442,0,-1.372831,Ground,2.412552,2.413239
950.7739,0.031444,0.00892,-0.032575,-0.073029,-0.095734,0.992722,0.653906,0,-1.417159,Ground,2.412552,2.413239
950.7852,0.031219,0.008916,-0.032415,-0.043076,-0.124512,0.991272,0.626965,0,-1.399671,Ground,2.514984,2.463974
950.7961,0.03061,0.008961,-0.032499,-0.018707,-0.161453,0.986694,0.604438,0,-1.361212,Ground,2.508911,2.434128
950.8073,0.03061,0.008961,-0.032499,-0.018707,-0.161453,0.986694,0.684651,0,-1.41281,Ground,2.508911,2.434128
950.8185,0.026583,0.009356,-0.033135,-0.063858,-0.109634,0.991913,0.965331,0,-1.593882,Ground,2.48439,2.436813
950.8295,0.002083,0.009391,-0.03331,-0.111389,-0.057938,0.992081,1.327011,0,-1.808107,Ground,2.492783,2.458527
950.8406,0.002083,0.009391,-0.03331,-0.111389,-0.057938,0.992081,1.473696,0,-1.887411,Ground,2.492783,2.458527
950.8517,0.001497,0.009852,-0.033719,-0.148209,-0.000214,0.988953,2.007604,0,-2.234314,Ground,2.459229,2.527756
950.8629,0.001641,0.009774,-0.0326,-0.184601,0.029572,0.982361,2.577087,0,-2.505819,Ground,2.619873,2.399826
950.8738,0.001967,0.00984,-0.032246,-0.239258,0.072586,0.968231,3.624204,0,-2.969038,Ground,2.659607,2.434616
950.8851,0.001967,0.00984,-0.032246,-0.239258,0.072586,0.968231,4.119455,0,-3.189384,Ground,2.659607,2.434616
950.8961,0.002242,0.009938,-0.032465,-0.267777,0.083435,0.959854,5.160835,0,-3.543424,Ground,2.583771,2.546204
950.9072,0.012964,0.009834,-0.031286,-0.320236,0.107101,0.941254,7.43067,0,-4.258626,Ground,2.680695,2.617188
950.9184,0.012964,0.009834,-0.031286,-0.320236,0.107101,0.941254,8.784698,0,-4.733586,Ground,2.680695,2.617188
