time,head_pos_x,head_pos_y,head_pos_z,head_rot_x,head_rot_y,head_rot_z,left_pos_x,left_pos_y,left_pos_z,left_rot_x,left_rot_y,left_rot_z,right_pos_x,right_pos_y,right_pos_z,right_rot_x,right_rot_y,right_rot_z,grab_force,grab,trigger
612.5648,-0.144227,1.481725,0.031755,59.94387,17.47501,4.291923,0,0,0,0,0,0,0.096778,0.739629,-0.069954,34.89129,10.13799,2.645626,0,False,False
612.5761,-0.142214,1.481748,0.030671,60.03536,17.54213,4.295368,0,0,0,0,0,0,0.099055,0.740143,-0.070353,34.71607,10.38459,2.715141,0,False,False
612.587,-0.140192,1.48168,0.029647,60.12982,17.62339,4.32913,0,0,0,0,0,0,0.101346,0.740481,-0.070562,34.57518,10.59777,2.746626,0,False,False
612.5981,-0.138035,1.481674,0.028737,60.22721,17.69358,4.362179,0,0,0,0,0,0,0.103751,0.740851,-0.070857,34.42852,10.78379,2.760616,0,False,False
612.6094,-0.135746,1.481675,0.027891,60.30497,17.7215,4.373458,0,0,0,0,0,0,0.106178,0.741148,-0.07118,34.28552,10.98066,2.762172,0,False,False
612.6204,-0.13332,1.481638,0.02706,60.35878,17.72381,4.354177,0,0,0,0,0,0,0.108521,0.741477,-0.07138,34.13219,11.1775,2.763851,0,False,False
612.6315,-0.130836,1.481601,0.026229,60.42399,17.74527,4.330841,0,0,0,0,0,0,0.110961,0.741755,-0.071714,33.97934,11.38647,2.721276,0,False,False
612.6425,-0.128221,1.481561,0.025437,60.46978,17.69733,4.247481,0,0,0,0,0,0,0.11348,0.741943,-0.07203,33.82503,11.60313,2.675643,0,False,False
612.6536,-0.125544,1.481481,0.024753,60.54579,17.68558,4.200477,0,0,0,0,0,0,0.116037,0.742213,-0.072307,33.68946,11.82197,2.627079,0,False,False
612.6649,-0.122781,1.481347,0.024007,60.59484,17.66091,4.122458,0,0,0,0,0,0,0.118582,0.742515,-0.072644,33.57044,12.01626,2.577868,0,False,False
612.6759,-0.119899,1.481253,0.02334,60.65413,17.61613,4.041823,0,0,0,0,0,0,0.121074,0.74265,-0.072992,33.45793,12.20587,2.547653,0,False,False
612.687,-0.116914,1.48113,0.022699,60.71919,17.5723,3.967672,0,0,0,0,0,0,0.123737,0.742624,-0.07328,33.35868,12.365,2.492065,0,False,False
612.6981,-0.113732,1.481029,0.02208,60.77224,17.48885,3.852517,0,0,0,0,0,0,0.126244,0.742569,-0.073694,33.25185,12.49515,2.466377,0,False,False
612.7093,-0.11051,1.480904,0.021486,60.8332,17.40841,3.76695,0,0,0,0,0,0,0.128874,0.742532,-0.074141,33.18161,12.60603,2.417082,0,False,False
612.7203,-0.107247,1.480709,0.02086,60.87887,17.3068,3.629061,0,0,0,0,0,0,0.131368,0.742385,-0.074677,33.11609,12.67519,2.332173,0,False,False
612.7315,-0.103798,1.480412,0.020221,60.91148,17.20371,3.500226,0,0,0,0,0,0,0.134035,0.742166,-0.075243,33.07857,12.74559,2.26632,0,False,False
612.7426,-0.100327,1.480159,0.01956,60.94619,17.12874,3.391554,0,0,0,0,0,0,0.136752,0.74209,-0.075777,33.03937,12.82026,2.202781,0,False,False
612.7535,-0.096714,1.479861,0.018928,60.98825,17.08438,3.310535,0,0,0,0,0,0,0.13934,0.741796,-0.076371,33.03307,12.86676,2.120282,0,False,False
