experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,trial_no,scene,target,response_mode,shift_x,shift_y,shift_z,view_rotation,preview_label,t_starting_pos,standing_y_rotation,target_label,target_pos_x,target_pos_y,target_pos_z,target_euler_x,target_euler_y,target_euler_z,target_bbox_center_x,target_bbox_center_y,target_bbox_center_z,target_bbox_size_x,target_bbox_size_y,target_bbox_size_z,t_scene_preview_start,t_scene_preview_end,t_response_start,t_response_end,response_pos_x_pivot,response_pos_y_pivot,response_pos_z_pivot,response_euler_x,response_euler_y,response_euler_z,tar_error_pos,tar_error_pos_x,tar_error_pos_y,tar_error_pos_z,tar_error_angle,tar_error_euler_x,tar_error_euler_y,tar_error_euler_z,standing_pos_x,standing_pos_y,standing_pos_z,VR_move_location_0,Eye_gaze_location_0
Pilot_Kitchen_stick,13,3,1,1,1,44.74454,66.16001,2,K01,K01_L25,stick,0,0,0,90,Painting,53.59835,92.54091,picture,1.870949,1.47049,0.304973,0,270,0,1.857929,1.846447,0.356637,0.02604,0.516962,0.933721,55.07595,58.14097,60.15134,65.13816,1.860632,1.703625,0.406505,326.0562,89.79205,2.483786,0.254494,-0.010317,0.233135,0.101532,179.4739,326.0562,-180.2079,2.483786,1.125452,1.560532,0.324524,Pilot_Kitchen_stick/13/S003/trackers/VR_move_T001.csv,Pilot_Kitchen_stick/13/S003/trackers/Eye_gaze_T001.csv
Pilot_Kitchen_stick,13,3,2,1,2,67.17076,88.5853,1,K01,K01_L05,stick,0,0,0,180,Plant,75.44521,195.3822,plant,0.740949,0.010997,-1.475805,357.0071,116.5166,356.3118,0.689599,0.494938,-1.514348,1.09479,0.991716,0.990528,75.95596,80.72072,82.731,87.57346,0.69605,0.019475,-1.334963,54.20288,156.099,15.57049,0.148068,-0.044899,0.008478,0.140842,65.93558,-302.8043,39.58241,-340.7413,0.686485,0.758241,-1.144391,Pilot_Kitchen_stick/13/S003/trackers/VR_move_T002.csv,Pilot_Kitchen_stick/13/S003/trackers/Eye_gaze_T002.csv
Pilot_Kitchen_stick,13,3,3,1,3,89.59485,107.332,2,K01,K01_L25,stick,0,0,0,90,Painting,95.78123,91.25527,picture,1.870949,1.47049,0.304973,0,270,0,1.857929,1.846447,0.356637,0.02604,0.516962,0.933721,96.29215,101.2346,103.2449,106.3103,1.87668,1.681543,0.434805,326.9533,86.84648,1.98708,0.247855,0.005732,0.211053,0.129831,177.5423,326.9533,-183.1535,1.98708,1.129866,1.570052,0.330655,Pilot_Kitchen_stick/13/S003/trackers/VR_move_T003.csv,Pilot_Kitchen_stick/13/S003/trackers/Eye_gaze_T003.csv
Pilot_Kitchen_stick,13,3,4,1,4,108.3428,123.681,5,K01,K01_L04,stick,0,0,0,0,Breadbasket,111.0417,2.176559,bunsinbasket,-1.087051,0.883797,1.18928,0.60304,67.68452,1.555164,-1.088983,0.950319,1.190754,0.301863,0.325402,0.296634,111.5526,116.4617,118.4721,122.6593,-1.097443,0.896538,1.18407,34.69998,322.3307,354.8654,0.017247,-0.010392,0.012741,-0.00521,107.2955,34.09694,254.6462,353.3102,-0.768716,1.498478,0.758181,Pilot_Kitchen_stick/13/S003/trackers/VR_move_T004.csv,Pilot_Kitchen_stick/13/S003/trackers/Eye_gaze_T004.csv
Pilot_Kitchen_stick,13,3,5,1,5,124.6918,135.2319,8,K01,K01_L13,stick,0,0,0,0,Cutting Board,126.502,4.035945,cuttingboard,-1.437559,0.891825,1.196799,272.964,60.09008,300.075,-1.436887,0.906805,1.197186,0.245887,0.05029,0.364747,127.0129,128.7568,130.7671,134.2211,-1.417238,0.89094,1.15962,42.19446,346.4202,345.0515,0.04238,0.020321,-0.000884,-0.03718,132.2826,-230.7695,286.3301,44.97647,-1.14409,1.496636,0.634436,Pilot_Kitchen_stick/13/S003/trackers/VR_move_T005.csv,Pilot_Kitchen_stick/13/S003/trackers/Eye_gaze_T005.csv
Pilot_Kitchen_stick,13,3,6,1,6,136.2425,149.5704,10,K01,K01_L19,stick,0,0,0,270,Kettle,139.8522,273.3191,electrickettle,-1.815528,0.88442,-1.188014,359.4425,51.20193,359.9249,-1.83694,1.015495,-1.169477,0.279372,0.263917,0.277038,140.3631,142.8288,144.8391,148.5486,-1.776088,0.898798,-1.194884,34.82532,257.1306,354.45,0.042537,0.03944,0.014377,-0.00687,153.7352,-324.6172,205.9287,-5.474976,-1.244738,1.475492,-1.038243,Pilot_Kitchen_stick/13/S003/trackers/VR_move_T006.csv,Pilot_Kitchen_stick/13/S003/trackers/Eye_gaze_T006.csv
Pilot_Kitchen_stick,13,3,7,1,7,150.5812,165.1308,1,K01,K01_L05,stick,0,0,0,180,Plant,156.2678,183.1385,plant,0.740949,0.010997,-1.475805,357.0071,116.5166,356.3118,0.689599,0.494938,-1.514348,1.09479,0.991716,0.990528,156.7786,158.9889,160.9992,164.109,0.726641,0.043318,-1.467091,54.21876,153.2486,11.15758,0.036405,-0.014308,0.032321,0.008714,64.90649,-302.7884,36.73197,-345.1542,0.69595,0.800799,-1.336003,Pilot_Kitchen_stick/13/S003/trackers/VR_move_T007.csv,Pilot_Kitchen_stick/13/S003/trackers/Eye_gaze_T007.csv
Pilot_Kitchen_stick,13,3,8,1,8,166.1414,177.7367,6,K01,K01_L07,stick,0,0,0,270,Espresso Machine,167.7742,274.3885,coffeemaker,-1.82445,0.880285,-0.854397,358.1284,90.56697,358.8811,-1.764189,1.051043,-0.853803,0.345148,0.352667,0.277094,168.285,170.9619,172.9722,176.715,-1.799171,0.889608,-0.861804,35.94724,266.6749,350.624,0.027943,0.025279,0.009323,-0.007406,178.7441,-322.1812,176.108,-8.257111,-1.219986,1.490536,-0.782219,Pilot_Kitchen_stick/13/S003/trackers/VR_move_T008.csv,Pilot_Kitchen_stick/13/S003/trackers/Eye_gaze_T008.csv
Pilot_Kitchen_stick,13,3,9,1,9,178.7475,192.5752,2,K01,K01_L25,stick,0,0,0,90,Painting,183.3012,88.59944,picture,1.870949,1.47049,0.304973,0,270,0,1.857929,1.846447,0.356637,0.02604,0.516962,0.933721,183.8121,185.9113,187.9216,191.5534,1.86187,1.78497,0.411242,329.4944,86.70256,359.3495,0.332074,-0.009079,0.31448,0.106269,176.6477,329.4944,-183.2974,359.3495,1.142952,1.575295,0.28909,Pilot_Kitchen_stick/13/S003/trackers/VR_move_T009.csv,Pilot_Kitchen_stick/13/S003/trackers/Eye_gaze_T009.csv
Pilot_Kitchen_stick,13,3,10,1,10,193.5861,210.7012,4,K01,K01_L09,stick,0,0,0,90,Plate,200.2613,81.85934,tablesetting,1.346949,0.883812,0.447195,1.149957,175.9449,2.014389,1.376723,0.896645,0.467217,0.431217,0.056127,0.360425,200.7718,205.0702,207.0805,209.6794,1.317495,0.886028,0.426794,36.15928,89.84648,351.6652,0.035898,-0.029454,0.002217,-0.020402,88.91331,35.00932,-86.09839,349.6508,0.798145,1.465941,0.359599,Pilot_Kitchen_stick/13/S003/trackers/VR_move_T010.csv,Pilot_Kitchen_stick/13/S003/trackers/Eye_gaze_T010.csv
Pilot_Kitchen_stick,13,3,11,1,11,211.7119,226.1171,8,K01,K01_L13,stick,0,0,0,0,Cutting Board,215.2327,2.189981,cuttingboard,-1.437559,0.891825,1.196799,272.964,60.09008,300.075,-1.436887,0.906805,1.197186,0.245887,0.05029,0.364747,215.7437,218.9867,220.9971,225.0953,-1.419002,0.910571,1.201702,35.06845,340.2818,348.9383,0.026829,0.018557,0.018746,0.004902,125.961,-237.8955,280.1917,48.86328,-1.064491,1.491778,0.703781,Pilot_Kitchen_stick/13/S003/trackers/VR_move_T011.csv,Pilot_Kitchen_stick/13/S003/trackers/Eye_gaze_T011.csv
Pilot_Kitchen_stick,13,3,12,1,12,227.128,240.8223,10,K01,K01_L19,stick,0,0,0,270,Kettle,230.7819,274.9651,electrickettle,-1.815528,0.88442,-1.188014,359.4425,51.20193,359.9249,-1.83694,1.015495,-1.169477,0.279372,0.263917,0.277038,231.2928,233.7919,235.8022,239.8005,-1.778505,0.899274,-1.216595,31.64585,261.1668,2.65701,0.049074,0.037023,0.014854,-0.028581,151.9743,-327.7966,209.9649,-357.2679,-1.231452,1.462452,-1.131649,Pilot_Kitchen_stick/13/S003/trackers/VR_move_T012.csv,Pilot_Kitchen_stick/13/S003/trackers/Eye_gaze_T012.csv
Pilot_Kitchen_stick,13,3,13,1,13,241.8329,257.049,5,K01,K01_L04,stick,0,0,0,0,Breadbasket,247.0309,0.361204,bunsinbasket,-1.087051,0.883797,1.18928,0.60304,67.68452,1.555164,-1.088983,0.950319,1.190754,0.301863,0.325402,0.296634,247.5419,249.8852,251.8956,256.0272,-1.128506,0.891439,1.182011,37.4077,330.2389,355.9744,0.042775,-0.041455,0.007642,-0.007269,100.8423,36.80466,262.5544,354.4192,-0.870468,1.497193,0.731079,Pilot_Kitchen_stick/13/S003/trackers/VR_move_T013.csv,Pilot_Kitchen_stick/13/S003/trackers/Eye_gaze_T013.csv
Pilot_Kitchen_stick,13,3,14,1,14,258.0597,272.4205,7,K01,K01_L15,stick,0,0,0,270,Water Bottle,262.5023,274.9908,waterbottle,-1.392051,0.883097,-1.231805,0.516519,199.2043,358.5333,-1.400844,0.984469,-1.230697,0.092938,0.203459,0.086649,263.0133,265.69,267.7003,271.3988,-1.39087,0.895985,-1.196069,32.11797,246.5251,351.3085,0.038007,0.001181,0.012888,0.035735,58.50468,31.60145,47.32077,-7.224731,-0.959159,1.463718,-1.0405,Pilot_Kitchen_stick/13/S003/trackers/VR_move_T014.csv,Pilot_Kitchen_stick/13/S003/trackers/Eye_gaze_T014.csv
Pilot_Kitchen_stick,13,3,15,1,15,273.4312,288.2919,6,K01,K01_L07,stick,0,0,0,270,Espresso Machine,278.6292,274.7973,coffeemaker,-1.82445,0.880285,-0.854397,358.1284,90.56697,358.8811,-1.764189,1.051043,-0.853803,0.345148,0.352667,0.277094,279.14,280.9394,282.9496,287.27,-1.766607,0.896213,-0.863422,32.53329,267.0118,2.957655,0.060671,0.057843,0.015929,-0.009025,175.5284,-325.5951,176.4448,-355.9235,-1.234347,1.472824,-0.852378,Pilot_Kitchen_stick/13/S003/trackers/VR_move_T015.csv,Pilot_Kitchen_stick/13/S003/trackers/Eye_gaze_T015.csv
Pilot_Kitchen_stick,13,3,16,1,16,289.3026,305.4293,7,K01,K01_L15,stick,0,0,0,270,Water Bottle,295.4777,271.6339,waterbottle,-1.392051,0.883097,-1.231805,0.516519,199.2043,358.5333,-1.400844,0.984469,-1.230697,0.092938,0.203459,0.086649,295.9886,299.5095,301.5197,304.4074,-1.357745,0.898602,-1.198234,31.54619,248.6903,342.2614,0.050441,0.034307,0.015505,0.033571,63.59081,31.02967,49.48599,-16.27182,-0.909671,1.46169,-1.043398,Pilot_Kitchen_stick/13/S003/trackers/VR_move_T016.csv,Pilot_Kitchen_stick/13/S003/trackers/Eye_gaze_T016.csv
Pilot_Kitchen_stick,13,3,17,1,17,306.4399,321.3118,10,K01,K01_L19,stick,0,0,0,270,Kettle,310.605,272.9836,electrickettle,-1.815528,0.88442,-1.188014,359.4425,51.20193,359.9249,-1.83694,1.015495,-1.169477,0.279372,0.263917,0.277038,311.1158,314.2258,316.2362,320.2901,-1.775119,0.906563,-1.209066,30.22014,262.219,357.7273,0.050659,0.040409,0.022143,-0.021052,149.5657,-329.2223,211.0171,-2.197632,-1.243316,1.469255,-1.123144,Pilot_Kitchen_stick/13/S003/trackers/VR_move_T017.csv,Pilot_Kitchen_stick/13/S003/trackers/Eye_gaze_T017.csv
Pilot_Kitchen_stick,13,3,18,1,18,322.3223,336.9498,3,K01,K01_L16,stick,0,0,0,90,Flowers,326.132,91.13531,flowers,1.069949,0.867997,0.834195,0.462501,110.9224,358.712,1.072386,1.089711,0.836063,0.476981,0.447812,0.470179,326.6429,331.5964,333.6068,335.928,1.07119,0.893678,0.833273,37.10727,59.87755,358.2265,0.025728,0.001241,0.025681,-0.000922,61.98227,36.64476,-51.04483,-0.485504,0.569246,1.482,0.602789,Pilot_Kitchen_stick/13/S003/trackers/VR_move_T018.csv,Pilot_Kitchen_stick/13/S003/trackers/Eye_gaze_T018.csv
Pilot_Kitchen_stick,13,3,19,1,19,337.9611,354.5427,9,K01,K01_L12,stick,0,0,0,0,Banana,342.4032,3.796045,banana,0.050392,0.908097,1.171279,276.2014,165.8417,147.4809,0.03991,0.907322,1.177484,0.224758,0.057988,0.228644,342.9141,347.801,349.8114,353.5211,0.075988,0.890544,1.201068,35.89635,3.712145,341.6281,0.043019,0.025596,-0.017553,0.029789,134.2937,-240.3051,-162.1296,194.1471,0.031313,1.480759,0.761999,Pilot_Kitchen_stick/13/S003/trackers/VR_move_T019.csv,Pilot_Kitchen_stick/13/S003/trackers/Eye_gaze_T019.csv
Pilot_Kitchen_stick,13,3,20,1,20,355.5533,368.3481,5,K01,K01_L04,stick,0,0,0,0,Breadbasket,357.5414,358.0934,bunsinbasket,-1.087051,0.883797,1.18928,0.60304,67.68452,1.555164,-1.088983,0.950319,1.190754,0.301863,0.325402,0.296634,358.0526,361.1178,363.1281,367.3264,-1.13038,0.88705,1.188089,36.6783,327.4273,354.0287,0.043467,-0.043329,0.003253,-0.001191,102.7315,36.07526,259.7428,352.4735,-0.894062,1.494625,0.785218,Pilot_Kitchen_stick/13/S003/trackers/VR_move_T020.csv,Pilot_Kitchen_stick/13/S003/trackers/Eye_gaze_T020.csv
Pilot_Kitchen_stick,13,3,21,1,21,369.3587,381.5649,4,K01,K01_L09,stick,0,0,0,90,Plate,374.2901,89.17734,tablesetting,1.346949,0.883812,0.447195,1.149957,175.9449,2.014389,1.376723,0.896645,0.467217,0.431217,0.056127,0.360425,374.801,376.3004,378.3107,380.5432,1.305371,0.875499,0.432097,38.43742,81.69772,358.974,0.045009,-0.041578,-0.008312,-0.015099,98.75523,37.28746,-94.24715,356.9597,0.813743,1.471998,0.342457,Pilot_Kitchen_stick/13/S003/trackers/VR_move_T021.csv,Pilot_Kitchen_stick/13/S003/trackers/Eye_gaze_T021.csv
Pilot_Kitchen_stick,13,3,22,1,22,382.5757,394.7041,2,K01,K01_L25,stick,0,0,0,90,Painting,385.6966,89.40284,picture,1.870949,1.47049,0.304973,0,270,0,1.857929,1.846447,0.356637,0.02604,0.516962,0.933721,386.1966,388.2956,390.306,393.6934,1.876253,1.722988,0.388627,328.4068,89.04283,2.242017,0.266048,0.005305,0.252498,0.083653,179.6894,328.4068,-180.9572,2.242017,1.150652,1.574256,0.316813,Pilot_Kitchen_stick/13/S003/trackers/VR_move_T022.csv,Pilot_Kitchen_stick/13/S003/trackers/Eye_gaze_T022.csv
Pilot_Kitchen_stick,13,3,23,1,23,395.7148,405.2664,4,K01,K01_L09,stick,0,0,0,90,Plate,397.5253,87.35536,tablesetting,1.346949,0.883812,0.447195,1.149957,175.9449,2.014389,1.376723,0.896645,0.467217,0.431217,0.056127,0.360425,398.036,399.491,401.4913,404.2557,1.302153,0.886489,0.425859,34.58637,83.3131,356.7494,0.04969,-0.044796,0.002677,-0.021337,95.71442,33.43641,-92.63177,354.735,0.797958,1.464206,0.380457,Pilot_Kitchen_stick/13/S003/trackers/VR_move_T023.csv,Pilot_Kitchen_stick/13/S003/trackers/Eye_gaze_T023.csv
Pilot_Kitchen_stick,13,3,24,1,24,406.2771,418.2173,5,K01,K01_L04,stick,0,0,0,0,Breadbasket,410.4868,3.109478,bunsinbasket,-1.087051,0.883797,1.18928,0.60304,67.68452,1.555164,-1.088983,0.950319,1.190754,0.301863,0.325402,0.296634,410.9975,412.6302,414.6408,417.1949,-1.124936,0.879999,1.181603,36.05258,322.9743,349.946,0.038841,-0.037885,-0.003798,-0.007676,105.6903,35.44954,255.2898,348.3909,-0.833557,1.492695,0.824885,Pilot_Kitchen_stick/13/S003/trackers/VR_move_T024.csv,Pilot_Kitchen_stick/13/S003/trackers/Eye_gaze_T024.csv
