time,ori_x,ori_y,ori_z,dir_x,dir_y,dir_z,gaze_x,gaze_y,gaze_z,gaze_object,pupil_l,pupil_r
672.3801,-0.022342,-0.002654,-0.021669,-0.078201,-0.498108,0.863571,0.080581,0,-0.006256,Ground,2.351944,2.499649
672.3915,-0.022342,-0.002654,-0.021669,-0.078201,-0.498108,0.863571,0.079463,0,-0.006648,Ground,2.351944,2.499649
672.403,-0.007012,-0.002205,-0.022147,-0.068527,-0.495499,0.865891,0.083648,0,-0.021467,Ground,2.372681,2.500504
672.4135,0.009278,-0.00172,-0.022648,-0.057678,-0.496414,0.86615,0.082293,0,-0.037734,Ground,2.373688,2.509445
672.4246,0.015002,-0.001529,-0.02282,-0.053162,-0.498657,0.865158,0.078933,0,-0.044778,Ground,2.380203,2.517014
672.4359,0.015002,-0.001529,-0.02282,-0.053162,-0.498657,0.865158,0.079324,0,-0.045169,Ground,2.380203,2.517014
672.4467,0.01445,-0.001537,-0.022798,-0.052338,-0.495926,0.866776,0.084653,0,-0.047221,Ground,2.391632,2.572311
672.4579,0.01303,-0.001573,-0.022749,-0.054489,-0.493713,0.867905,0.089109,0,-0.044857,Ground,2.398514,2.57309
672.4692,0.01303,-0.001573,-0.022749,-0.054489,-0.493713,0.867905,0.089936,0,-0.045526,Ground,2.398514,2.57309
672.4802,0.009226,-0.001677,-0.022633,-0.057877,-0.487717,0.871063,0.10094,0,-0.041897,Ground,2.406845,2.598923
672.4911,0.003808,-0.001817,-0.022476,-0.060471,-0.486343,0.871658,0.103937,0,-0.038738,Ground,2.407944,2.601089
672.5025,0.001593,-0.001879,-0.02239,-0.062378,-0.485657,0.871918,0.105355,0,-0.036513,Ground,2.428452,2.639816
672.5134,0.001593,-0.001879,-0.02239,-0.062378,-0.485657,0.871918,0.105749,0,-0.036212,Ground,2.428452,2.639816
672.5247,0.000681,-0.001903,-0.022343,-0.064529,-0.48616,0.871475,0.105295,0,-0.03288,Ground,2.443222,2.663742
672.5356,0.000788,-0.001899,-0.02232,-0.066803,-0.486237,0.871262,0.105361,0,-0.029278,Ground,2.456741,2.665741
672.5467,0.000788,-0.001899,-0.02232,-0.066803,-0.486237,0.871262,0.106266,0,-0.028908,Ground,2.456741,2.665741
672.5579,0.002166,-0.00186,-0.022366,-0.065414,-0.484711,0.872223,0.110614,0,-0.031204,Ground,2.456421,2.665131
672.5689,0.001379,-0.001882,-0.02234,-0.064362,-0.484161,0.872589,0.113442,0,-0.032593,Ground,2.456375,2.665558
672.58,0.001379,-0.001882,-0.02234,-0.064362,-0.484161,0.872589,0.115846,0,-0.032384,Ground,2.456375,2.665558
672.5912,0.000977,-0.001892,-0.022327,-0.064774,-0.484711,0.872253,0.117402,0,-0.031026,Ground,2.474731,2.664795
672.6023,0.002259,-0.001856,-0.022366,-0.063446,-0.484955,0.872223,0.119232,0,-0.032702,Ground,2.475922,2.664795
672.6134,0.00262,-0.001847,-0.022373,-0.062363,-0.484909,0.87233,0.121154,0,-0.033785,Ground,2.477493,2.652679
672.6245,0.00262,-0.001847,-0.022373,-0.062363,-0.484909,0.87233,0.122268,0,-0.033405,Ground,2.477493,2.652679
672.6356,0.004162,-0.001805,-0.022426,-0.060638,-0.486023,0.871826,0.121683,0,-0.035981,Ground,2.477859,2.664505
672.6467,0.005429,-0.001774,-0.022465,-0.060333,-0.485382,0.872208,0.123892,0,-0.03613,Ground,2.478638,2.652435
672.6578,0.005429,-0.001774,-0.022465,-0.060333,-0.485382,0.872208,0.124962,0,-0.035906,Ground,2.478638,2.652435
672.6689,0.00697,-0.001731,-0.022504,-0.059464,-0.487167,0.871262,0.123388,0,-0.037154,Ground,2.480164,2.671188
672.68,0.004177,-0.00182,-0.022416,-0.061981,-0.486954,0.871216,0.124881,0,-0.033251,Ground,2.490555,2.671158
672.6911,0.004177,-0.00182,-0.022416,-0.061981,-0.486954,0.871216,0.12624,0,-0.033084,Ground,2.490555,2.671158
672.7023,0.000781,-0.001926,-0.022312,-0.06636,-0.488251,0.870163,0.124826,0,-0.02678,Ground,2.480988,2.652496
672.7134,0.001253,-0.001921,-0.022325,-0.06723,-0.488709,0.869843,0.125196,0,-0.025527,Ground,2.480362,2.670547
672.7244,0.002657,-0.001894,-0.022326,-0.065948,-0.492172,0.867981,0.120814,0,-0.027397,Ground,2.469955,2.681961
