time,head_pos_x,head_pos_y,head_pos_z,head_rot_x,head_rot_y,head_rot_z,left_pos_x,left_pos_y,left_pos_z,left_rot_x,left_rot_y,left_rot_z,right_pos_x,right_pos_y,right_pos_z,right_rot_x,right_rot_y,right_rot_z,grab_force,grab,trigger
685.6193,-0.073969,1.414747,0.475651,73.7464,2.487491,7.19302,0,0,0,0,0,0,0.175161,0.667383,0.315008,65.05721,351.8509,10.66493,0,False,False
685.6306,-0.071069,1.414861,0.473322,73.76294,2.881698,7.188532,0,0,0,0,0,0,0.177353,0.667429,0.31193,64.78044,353.0606,11.01882,0,False,False
685.6415,-0.068213,1.415035,0.471072,73.79254,3.295356,7.221944,0,0,0,0,0,0,0.179405,0.667518,0.308862,64.518,354.1983,11.32208,0,False,False
685.6525,-0.065585,1.415266,0.468788,73.8147,3.708968,7.256636,0,0,0,0,0,0,0.181265,0.667742,0.305475,64.19695,355.3983,11.62272,0,False,False
685.6636,-0.063067,1.415589,0.466468,73.82774,4.125696,7.32479,0,0,0,0,0,0,0.182833,0.667932,0.302327,63.92777,356.5949,11.94042,0,False,False
685.6748,-0.060663,1.415977,0.4642,73.82841,4.517105,7.368967,0,0,0,0,0,0,0.184227,0.66832,0.299034,63.64582,357.6487,12.1074,0,False,False
685.6859,-0.058615,1.416451,0.461863,73.77609,4.89637,7.412783,0,0,0,0,0,0,0.185415,0.668481,0.295714,63.41408,358.6346,12.22987,0,False,False
685.6971,-0.056559,1.416894,0.459708,73.70054,5.31469,7.470317,0,0,0,0,0,0,0.18663,0.66884,0.292177,63.19118,359.5726,12.32312,0,False,False
685.7082,-0.054908,1.417429,0.457569,73.56822,5.721215,7.498043,0,0,0,0,0,0,0.18735,0.669084,0.288585,63.05025,0.27263,12.25974,0,False,False
685.7192,-0.053304,1.417943,0.455479,73.40676,6.091239,7.46834,0,0,0,0,0,0,0.187724,0.669154,0.284934,63.00023,0.84465,12.17442,0,False,False
685.7303,-0.051913,1.418431,0.453478,73.23936,6.432354,7.426112,0,0,0,0,0,0,0.187877,0.669219,0.280736,63.00333,1.318906,12.06694,0,False,False
685.7413,-0.050643,1.418898,0.451283,73.09455,6.721451,7.340534,0,0,0,0,0,0,0.188086,0.669212,0.276841,63.0194,1.768902,11.96326,0,False,False
685.7525,-0.049615,1.419367,0.449167,72.96651,6.980063,7.213211,0,0,0,0,0,0,0.187905,0.6692,0.272448,63.14319,2.04286,11.83197,0,False,False
685.7637,-0.04873,1.419681,0.446948,72.84608,7.214917,7.088474,0,0,0,0,0,0,0.187528,0.66907,0.268158,63.31266,2.198207,11.68063,0,False,False
685.7747,-0.047968,1.420009,0.444798,72.73298,7.46983,7.002708,0,0,0,0,0,0,0.186937,0.668909,0.263805,63.48594,2.274911,11.52974,0,False,False
685.7859,-0.04741,1.420158,0.442547,72.6395,7.743929,6.934143,0,0,0,0,0,0,0.186072,0.668781,0.25936,63.64771,2.339792,11.3766,0,False,False
685.7969,-0.04689,1.420336,0.440314,72.55159,8.018881,6.882757,0,0,0,0,0,0,0.185369,0.668714,0.255068,63.80072,2.444428,11.26645,0,False,False
685.808,-0.046613,1.420389,0.438008,72.47955,8.331748,6.884404,0,0,0,0,0,0,0.184423,0.668572,0.250785,63.9621,2.518408,11.19531,0,False,False
685.8192,-0.046448,1.420321,0.435625,72.40787,8.70789,6.939272,0,0,0,0,0,0,0.183575,0.668506,0.246247,64.10963,2.491694,11.03961,0,False,False
685.8302,-0.046426,1.420234,0.433206,72.35527,9.061274,6.996026,0,0,0,0,0,0,0.18238,0.668333,0.24214,64.26862,2.505386,10.94842,0,False,False
685.8413,-0.046461,1.42011,0.430748,72.29112,9.467785,7.09868,0,0,0,0,0,0,0.181128,0.668186,0.238109,64.43803,2.4638,10.83703,0,False,False
685.8524,-0.046751,1.419885,0.428199,72.24761,9.930528,7.254466,0,0,0,0,0,0,0.179825,0.668135,0.23398,64.59701,2.424229,10.70455,0,False,False
685.8636,-0.047198,1.419567,0.425514,72.20845,10.40633,7.419456,0,0,0,0,0,0,0.178397,0.668016,0.230022,64.73327,2.346525,10.57093,0,False,False
685.8747,-0.047757,1.419313,0.422809,72.1845,10.89349,7.586814,0,0,0,0,0,0,0.176966,0.668018,0.226341,64.84257,2.334983,10.51127,0,False,False
685.8858,-0.04843,1.418969,0.420107,72.1618,11.45857,7.816149,0,0,0,0,0,0,0.175365,0.66799,0.222405,64.90438,2.332236,10.44883,0,False,False
685.897,-0.049178,1.418686,0.417247,72.15562,12.09034,8.086609,0,0,0,0,0,0,0.173891,0.668038,0.21877,64.94769,2.344868,10.38055,0,False,False
685.908,-0.050032,1.418375,0.414417,72.14204,12.7915,8.407271,0,0,0,0,0,0,0.172372,0.668264,0.215286,64.91669,2.43099,10.36189,0,False,False
685.9191,-0.051007,1.418149,0.411517,72.14859,13.58294,8.818435,0,0,0,0,0,0,0.170834,0.668553,0.212089,64.85807,2.569055,10.39744,0,False,False
685.9302,-0.052189,1.417963,0.408452,72.12048,14.46647,9.360034,0,0,0,0,0,0,0.169316,0.668845,0.208646,64.81276,2.746872,10.46962,0,False,False
685.9417,-0.053544,1.417921,0.405403,72.12475,15.37603,9.972842,0,0,0,0,0,0,0.167716,0.669359,0.205524,64.7185,3.02168,10.61164,0,False,False
685.9524,-0.054921,1.417883,0.402385,72.12019,16.21675,10.56435,0,0,0,0,0,0,0.166296,0.670096,0.202735,64.60657,3.363543,10.80684,0,False,False
