time,ori_x,ori_y,ori_z,dir_x,dir_y,dir_z,gaze_x,gaze_y,gaze_z,gaze_object,pupil_l,pupil_r
223.4893,-0.007546,-0.000307,-0.030712,-0.030899,-0.501968,0.864319,0.052071,0,0.016131,Ground,3.166519,3.002975
223.5008,-0.007546,-0.000307,-0.030712,-0.030899,-0.501968,0.864319,0.052429,0,0.01523,Ground,3.166519,3.002975
223.5116,-0.004669,-0.00037,-0.030531,-0.025604,-0.500259,0.865479,0.05439,0,0.006611,Ground,3.142227,2.991806
223.5226,-0.004339,-0.000355,-0.030708,-0.018631,-0.494614,0.868897,0.062165,0,-0.005878,Ground,3.133316,3.009872
223.5338,-0.012971,-0.00025,-0.031116,-0.0298,-0.497604,0.866882,0.060336,0,0.009871,Ground,3.052048,2.974503
223.5448,-0.012971,-0.00025,-0.031116,-0.0298,-0.497604,0.866882,0.060937,0,0.00799,Ground,3.052048,2.974503
223.556,-0.017989,-0.0002,-0.031279,-0.037964,-0.499649,0.865372,0.060494,0,0.018965,Ground,3.115173,2.949646
223.5672,-0.017141,-0.000215,-0.03124,-0.035858,-0.497818,0.866531,0.063907,0,0.013561,Ground,3.135681,2.949966
223.5782,-0.017141,-0.000215,-0.03124,-0.035858,-0.497818,0.866531,0.06478,0,0.012078,Ground,3.135681,2.949966
223.5894,-0.011661,-0.000279,-0.031033,-0.029755,-0.499664,0.865692,0.061525,0,0.002948,Ground,3.103851,2.958786
223.6005,-0.004292,-0.000376,-0.03073,-0.021408,-0.500794,0.865295,0.05863,0,-0.009602,Ground,3.10495,2.954147
223.6115,-0.004292,-0.000376,-0.03073,-0.021408,-0.500794,0.865295,0.060326,0,-0.009982,Ground,3.10495,2.954147
223.6226,-0.002439,-0.000475,-0.030362,-0.020523,-0.503708,0.863617,0.056967,0,-0.010518,Ground,3.071442,2.876175
223.6339,-0.00369,-0.000454,-0.030351,-0.020248,-0.504883,0.862946,0.056639,0,-0.010392,Ground,3.062302,2.967117
223.6448,-0.000764,-0.00045,-0.030335,-0.017654,-0.50882,0.860687,0.050891,0,-0.012401,Ground,3.086517,2.969513
223.656,-0.000764,-0.00045,-0.030335,-0.017654,-0.50882,0.860687,0.052679,0,-0.011966,Ground,3.086517,2.969513
223.6672,0.004196,-0.000481,-0.030269,-0.011841,-0.510956,0.859512,0.049365,0,-0.019121,Ground,3.084885,2.943481
223.6781,0.006331,-0.000496,-0.030236,-0.008362,-0.511841,0.859024,0.048674,0,-0.02325,Ground,3.06279,2.935364
223.6895,0.006331,-0.000496,-0.030236,-0.008362,-0.511841,0.859024,0.050438,0,-0.022916,Ground,3.06279,2.935364
223.7009,0.004081,-0.000488,-0.030255,-0.012482,-0.512009,0.858872,0.052525,0,-0.016599,Ground,3.058044,2.914551
223.7117,0.000789,-0.000556,-0.030159,-0.014374,-0.51091,0.859512,0.055955,0,-0.013793,Ground,3.025894,2.881989
223.7226,0.000789,-0.000556,-0.030159,-0.014374,-0.51091,0.859512,0.0568,0,-0.013272,Ground,3.025894,2.881989
223.7336,0.000312,-0.000561,-0.030162,-0.018509,-0.514267,0.857422,0.053221,0,-0.006004,Ground,3.147049,2.870728
223.7448,-0.003462,-0.000532,-0.030253,-0.020721,-0.51239,0.85849,0.058036,0,-0.003723,Ground,3.102768,2.869385
223.7559,-0.003462,-0.000532,-0.030253,-0.020721,-0.51239,0.85849,0.058889,0,-0.003911,Ground,3.102768,2.869385
223.767,-0.000007,-0.000564,-0.030179,-0.019577,-0.511032,0.859329,0.061814,0,-0.005844,Ground,3.103638,2.853867
223.7781,0.000575,-0.000568,-0.030205,-0.015259,-0.510773,0.859573,0.062269,0,-0.012254,Ground,3.097992,2.848923
223.7901,0.003721,-0.000593,-0.030147,-0.012955,-0.509964,0.860077,0.063857,0,-0.015754,Ground,3.103745,2.829956
223.8004,0.003721,-0.000593,-0.030147,-0.012955,-0.509964,0.860077,0.065091,0,-0.015697,Ground,3.103745,2.829956
223.8115,0.003327,-0.000588,-0.030159,-0.012344,-0.512619,0.858521,0.061566,0,-0.015219,Ground,3.098358,2.807892
223.8226,0.002427,-0.000577,-0.030183,-0.012878,-0.513855,0.857773,0.060726,0,-0.013567,Ground,3.080246,2.794449
223.8336,0.002427,-0.000577,-0.030183,-0.012878,-0.513855,0.857773,0.06139,0,-0.0129,Ground,3.080246,2.794449
223.8447,0.003396,-0.000588,-0.030179,-0.011261,-0.513458,0.858032,0.062262,0,-0.015024,Ground,3.076706,2.782303
223.8559,0.003316,-0.000586,-0.030181,-0.009872,-0.515244,0.856979,0.059781,0,-0.01616,Ground,3.066071,2.778778
223.867,0.003316,-0.000586,-0.030181,-0.009872,-0.515244,0.856979,0.06038,0,-0.015897,Ground,3.066071,2.778778
223.878,0.012642,-0.000559,-0.030172,-0.049667,-0.501114,0.863937,0.094331,0,0.037276,Ground,2.916534,2.849075
223.8892,0.012906,-0.000549,-0.030142,-0.069931,-0.487701,0.870194,0.121864,0,0.062542,Ground,3.002533,2.853043
223.9004,0.016626,-0.000594,-0.029994,-0.054504,-0.490387,0.869782,0.115586,0,0.041025,Ground,2.942474,2.922119
223.9113,0.016626,-0.000594,-0.029994,-0.054504,-0.490387,0.869782,0.116771,0,0.040902,Ground,2.942474,2.922119
223.9224,0.011909,-0.000555,-0.030129,-0.063797,-0.494034,0.867081,0.113894,0,0.055323,Ground,2.913498,2.91098
223.9336,0.004607,-0.000498,-0.030301,-0.070496,-0.493881,0.866653,0.117112,0,0.064778,Ground,2.920044,2.910629
223.9447,0.004607,-0.000498,-0.030301,-0.070496,-0.493881,0.866653,0.119134,0,0.064124,Ground,2.920044,2.910629
223.9559,-0.002107,-0.000444,-0.030464,-0.076218,-0.493973,0.866119,0.122719,0,0.071754,Ground,2.91951,2.87854
223.967,-0.003281,-0.000433,-0.030491,-0.080444,-0.494141,0.865631,0.125947,0,0.077266,Ground,2.913605,2.872803
223.978,-0.003701,-0.000471,-0.030317,-0.086823,-0.501724,0.860642,0.117465,0,0.088145,Ground,2.872452,2.848297
223.9893,-0.003701,-0.000471,-0.030317,-0.086823,-0.501724,0.860642,0.120974,0,0.087969,Ground,2.872452,2.848297
224.0003,-0.004106,-0.00048,-0.030332,-0.083466,-0.497864,0.86322,0.129969,0,0.081775,Ground,2.840256,2.819214
224.0114,-0.001391,-0.000657,-0.029837,-0.076828,-0.506973,0.858521,0.117013,0,0.074762,Ground,2.887085,2.794937
224.0224,-0.001391,-0.000657,-0.029837,-0.076828,-0.506973,0.858521,0.120929,0,0.075156,Ground,2.887085,2.794937
224.0337,0.005267,-0.000622,-0.030054,-0.074905,-0.502457,0.861343,0.132097,0,0.071775,Ground,2.843185,2.713867
224.0448,0.010572,-0.000676,-0.029925,-0.06073,-0.507584,0.859451,0.125797,0,0.053392,Ground,2.862595,2.750626
224.0559,0.010572,-0.000676,-0.029925,-0.06073,-0.507584,0.859451,0.131023,0,0.054377,Ground,2.862595,2.750626
224.0669,0.009599,-0.000651,-0.029971,-0.065216,-0.505997,0.860062,0.139981,0,0.062639,Ground,2.870026,2.704834
224.078,0.006484,-0.000633,-0.029877,-0.06337,-0.511032,0.857208,0.137008,0,0.06379,Ground,2.684784,2.738693
224.0893,0,0,0,0,0,1,-99999,-99999,-99999,,-1,-1
224.1004,0,0,0,0,0,1,-99999,-99999,-99999,,-1,-1
224.1114,0,0,0,0,0,1,-99999,-99999,-99999,,-1,-1
224.1224,0,0,0,0,0,1,-99999,-99999,-99999,,-1,-1
224.1336,0,0,0,0,0,1,-99999,-99999,-99999,,-1,-1
224.1447,0,0,0,0,0,1,-99999,-99999,-99999,,-1,-1
224.1557,0,0,0,0,0,1,-99999,-99999,-99999,,-1,-1
224.1669,0,0,0,0,0,1,-99999,-99999,-99999,,-1,-1
224.1779,0,0,0,0,0,1,-99999,-99999,-99999,,-1,-1
