experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,trial_no,scene,target,response_mode,shift_x,shift_y,shift_z,view_rotation,preview_label,t_starting_pos,standing_y_rotation,target_label,target_pos_x,target_pos_y,target_pos_z,target_euler_x,target_euler_y,target_euler_z,target_bbox_center_x,target_bbox_center_y,target_bbox_center_z,target_bbox_size_x,target_bbox_size_y,target_bbox_size_z,t_scene_preview_start,t_scene_preview_end,t_response_start,t_response_end,response_pos_x_pivot,response_pos_y_pivot,response_pos_z_pivot,response_euler_x,response_euler_y,response_euler_z,tar_error_pos,tar_error_pos_x,tar_error_pos_y,tar_error_pos_z,tar_error_angle,tar_error_euler_x,tar_error_euler_y,tar_error_euler_z,standing_pos_x,standing_pos_y,standing_pos_z,VR_move_location_0,Eye_gaze_location_0
Pilot_Kitchen_laser,13,2,1,1,1,197.7542,218.9042,7,K01,K01_L15,laser,0,0,0,270,Water Bottle,207.1645,270.4619,waterbottle,-1.392051,0.883097,-1.231805,0.516519,199.2043,358.5333,-1.400844,0.984469,-1.230697,0.092938,0.203459,0.086649,208.651,212.9624,214.9727,217.8827,-1.406733,0.886198,-1.249355,0,0,0,0.023091,-0.014682,0.003101,-0.01755,160.7909,-0.516519,-199.2043,-358.5333,-0.191815,1.508787,-0.028187,Pilot_Kitchen_laser/13/S002/trackers/VR_move_T001.csv,Pilot_Kitchen_laser/13/S002/trackers/Eye_gaze_T001.csv
Pilot_Kitchen_laser,13,2,2,1,2,219.915,233.9537,4,K01,K01_L09,laser,0,0,0,90,Plate,225.4795,86.63017,tablesetting,1.346949,0.883812,0.447195,1.149957,175.9449,2.014389,1.376723,0.896645,0.467217,0.431217,0.056127,0.360425,225.9902,227.823,229.8332,232.9319,1.359172,0.869967,0.438504,0,0,0,0.020411,0.012223,-0.013845,-0.008691,175.9255,-1.149957,-175.9449,-2.014389,0.238593,1.498226,0.060246,Pilot_Kitchen_laser/13/S002/trackers/VR_move_T002.csv,Pilot_Kitchen_laser/13/S002/trackers/Eye_gaze_T002.csv
Pilot_Kitchen_laser,13,2,3,1,3,234.9644,254.7467,1,K01,K01_L05,laser,0,0,0,180,Plant,245.1159,174.6467,plant,0.740949,0.010997,-1.475805,357.0071,116.5166,356.3118,0.689599,0.494938,-1.514348,1.09479,0.991716,0.990528,245.6266,249.2919,251.3023,253.7456,0.725244,0.00527,-1.44229,0,0,0,0.037452,-0.015705,-0.005727,0.033515,116.4812,-357.0071,-116.5166,-356.3118,0.078795,1.473819,-0.259678,Pilot_Kitchen_laser/13/S002/trackers/VR_move_T003.csv,Pilot_Kitchen_laser/13/S002/trackers/Eye_gaze_T003.csv
Pilot_Kitchen_laser,13,2,4,1,4,255.7559,270.983,10,K01,K01_L19,laser,0,0,0,270,Kettle,261.9977,267.4787,electrickettle,-1.815528,0.88442,-1.188014,359.4425,51.20193,359.9249,-1.83694,1.015495,-1.169477,0.279372,0.263917,0.277038,262.4978,265.1189,267.1291,269.9612,-1.818496,0.886198,-1.247732,0,0,0,0.059819,-0.002968,0.001778,-0.059718,51.20444,-359.4425,-51.20193,-359.9249,-0.243537,1.521626,-0.048362,Pilot_Kitchen_laser/13/S002/trackers/VR_move_T004.csv,Pilot_Kitchen_laser/13/S002/trackers/Eye_gaze_T004.csv
Pilot_Kitchen_laser,13,2,5,1,5,271.9938,284.2666,9,K01,K01_L12,laser,0,0,0,0,Banana,276.3031,1.205266,banana,0.050392,0.908097,1.171279,276.2014,165.8417,147.4809,0.03991,0.907322,1.177484,0.224758,0.057988,0.228644,276.814,279.302,281.3123,283.2447,0.076174,0.886198,1.17649,0,0,0,0.034226,0.025782,-0.021899,0.005211,104.7426,-276.2014,-165.8417,-147.4809,-0.043344,1.497089,0.227724,Pilot_Kitchen_laser/13/S002/trackers/VR_move_T005.csv,Pilot_Kitchen_laser/13/S002/trackers/Eye_gaze_T005.csv
Pilot_Kitchen_laser,13,2,6,1,6,285.2773,295.4954,9,K01,K01_L12,laser,0,0,0,0,Banana,287.1875,1.872426,banana,0.050392,0.908097,1.171279,276.2014,165.8417,147.4809,0.03991,0.907322,1.177484,0.224758,0.057988,0.228644,287.6984,289.7089,291.7191,294.4735,0.080942,0.886198,1.173593,0,0,0,0.037659,0.030549,-0.021899,0.002314,104.7426,-276.2014,-165.8417,-147.4809,-0.033061,1.493207,0.236959,Pilot_Kitchen_laser/13/S002/trackers/VR_move_T006.csv,Pilot_Kitchen_laser/13/S002/trackers/Eye_gaze_T006.csv
Pilot_Kitchen_laser,13,2,7,1,7,296.506,309.6896,5,K01,K01_L04,laser,0,0,0,0,Breadbasket,300.5487,357.0497,bunsinbasket,-1.087051,0.883797,1.18928,0.60304,67.68452,1.555164,-1.088983,0.950319,1.190754,0.301863,0.325402,0.296634,301.0596,303.8253,305.8357,308.6679,-1.099429,0.886198,1.179478,0,0,0,0.01597,-0.012377,0.002401,-0.009802,67.69444,-0.60304,-67.68452,-1.555164,-0.103826,1.507621,0.155994,Pilot_Kitchen_laser/13/S002/trackers/VR_move_T007.csv,Pilot_Kitchen_laser/13/S002/trackers/Eye_gaze_T007.csv
Pilot_Kitchen_laser,13,2,8,1,8,310.7002,325.9718,4,K01,K01_L09,laser,0,0,0,90,Plate,316.9532,89.43898,tablesetting,1.346949,0.883812,0.447195,1.149957,175.9449,2.014389,1.376723,0.896645,0.467217,0.431217,0.056127,0.360425,317.4641,319.7633,321.7736,324.95,1.313711,0.871507,0.426435,0,0,0,0.041075,-0.033238,-0.012305,-0.02076,175.9255,-1.149957,-175.9449,-2.014389,0.205144,1.503112,0.190004,Pilot_Kitchen_laser/13/S002/trackers/VR_move_T008.csv,Pilot_Kitchen_laser/13/S002/trackers/Eye_gaze_T008.csv
Pilot_Kitchen_laser,13,2,9,1,9,326.9824,339.111,3,K01,K01_L16,laser,0,0,0,90,Flowers,329.4926,87.43839,flowers,1.069949,0.867997,0.834195,0.462501,110.9224,358.712,1.072386,1.089711,0.836063,0.476981,0.447812,0.470179,330.0035,333.1469,335.157,338.0891,1.048999,0.892633,0.839764,0,0,0,0.032815,-0.020949,0.024636,0.005568,110.9332,-0.462501,-110.9224,-358.712,0.191208,1.506914,0.203466,Pilot_Kitchen_laser/13/S002/trackers/VR_move_T009.csv,Pilot_Kitchen_laser/13/S002/trackers/Eye_gaze_T009.csv
Pilot_Kitchen_laser,13,2,10,1,10,340.1215,365.6557,8,K01,K01_L13,laser,0,0,0,0,Cutting Board,353.0497,4.031671,cuttingboard,-1.437559,0.891825,1.196799,272.964,60.09008,300.075,-1.436887,0.906805,1.197186,0.245887,0.05029,0.364747,353.5606,359.5137,361.5241,364.6339,-1.471512,0.886196,1.222984,0,0,0,0.043245,-0.033953,-0.005628,0.026185,88.54763,-272.964,-60.09008,-300.075,-0.178016,1.515221,0.204745,Pilot_Kitchen_laser/13/S002/trackers/VR_move_T010.csv,Pilot_Kitchen_laser/13/S002/trackers/Eye_gaze_T010.csv
Pilot_Kitchen_laser,13,2,11,1,11,366.6665,380.8272,8,K01,K01_L13,laser,0,0,0,0,Cutting Board,370.8536,359.7751,cuttingboard,-1.437559,0.891825,1.196799,272.964,60.09008,300.075,-1.436887,0.906805,1.197186,0.245887,0.05029,0.364747,371.3643,374.1077,376.1183,379.8055,-1.438409,0.886196,1.175275,0,0,0,0.022265,-0.00085,-0.005628,-0.021525,88.54763,-272.964,-60.09008,-300.075,-0.192267,1.514902,0.137544,Pilot_Kitchen_laser/13/S002/trackers/VR_move_T011.csv,Pilot_Kitchen_laser/13/S002/trackers/Eye_gaze_T011.csv
Pilot_Kitchen_laser,13,2,12,1,12,381.8379,395.188,2,K01,K01_L25,laser,0,0,0,90,Painting,385.5476,86.00083,picture,1.870949,1.47049,0.304973,0,270,0,1.857929,1.846447,0.356637,0.02604,0.516962,0.933721,386.0584,389.2461,391.2566,394.1663,1.86996,1.76282,0.455139,0,0,0,0.328645,-0.000988,0.29233,0.150166,90,0,-270,0,0.157415,1.545164,0.054764,Pilot_Kitchen_laser/13/S002/trackers/VR_move_T012.csv,Pilot_Kitchen_laser/13/S002/trackers/Eye_gaze_T012.csv
Pilot_Kitchen_laser,13,2,13,1,13,396.1988,408.4494,3,K01,K01_L16,laser,0,0,0,90,Flowers,400.3415,87.0527,flowers,1.069949,0.867997,0.834195,0.462501,110.9224,358.712,1.072386,1.089711,0.836063,0.476981,0.447812,0.470179,400.8415,402.1963,404.2068,407.4275,1.066934,0.892196,0.851308,0,0,0,0.029791,-0.003015,0.024199,0.017112,110.9332,-0.462501,-110.9224,-358.712,0.190599,1.497982,0.093151,Pilot_Kitchen_laser/13/S002/trackers/VR_move_T013.csv,Pilot_Kitchen_laser/13/S002/trackers/Eye_gaze_T013.csv
