time,head_pos_x,head_pos_y,head_pos_z,head_rot_x,head_rot_y,head_rot_z,left_pos_x,left_pos_y,left_pos_z,left_rot_x,left_rot_y,left_rot_z,right_pos_x,right_pos_y,right_pos_z,right_rot_x,right_rot_y,right_rot_z,grab_force,grab,trigger
259.618,0.023801,1.719883,-0.041395,359.1325,273.1356,7.542153,0,0,0,0,0,0,0.147996,1.243057,0.283861,347.9265,329.7744,354.9575,0,False,False
259.6293,0.023588,1.719888,-0.042127,359.1524,272.6834,7.454094,0,0,0,0,0,0,0.143849,1.244149,0.283979,347.7276,329.0182,355.0726,0,False,False
259.6404,0.023427,1.71991,-0.042828,359.1928,272.2286,7.395274,0,0,0,0,0,0,0.139926,1.24521,0.284197,347.5246,328.3829,355.115,0,False,False
259.6521,0.023369,1.719948,-0.043384,359.2313,271.8147,7.353817,0,0,0,0,0,0,0.136224,1.246151,0.284395,347.38,327.7139,355.1617,0,False,False
259.6624,0.023323,1.71998,-0.043919,359.2621,271.4218,7.328701,0,0,0,0,0,0,0.132654,1.24721,0.284528,347.1964,327.0951,355.136,0,False,False
259.6734,0.023327,1.720098,-0.04431,359.3007,271.0885,7.308008,0,0,0,0,0,0,0.129212,1.248191,0.284595,347.0554,326.4519,355.1205,0,False,False
259.6845,0.023366,1.720187,-0.044658,359.3164,270.7876,7.290896,0,0,0,0,0,0,0.125813,1.249032,0.284622,346.9547,325.7855,355.111,0,False,False
259.6957,0.023447,1.720226,-0.044987,359.3097,270.5335,7.260505,0,0,0,0,0,0,0.122366,1.24985,0.284624,346.8637,325.1051,355.1201,0,False,False
259.7067,0.023588,1.720349,-0.045112,359.3054,270.3237,7.23083,0,0,0,0,0,0,0.119101,1.250565,0.284346,346.7949,324.4356,355.1702,0,False,False
259.7178,0.023772,1.720478,-0.045128,359.2722,270.1957,7.1796,0,0,0,0,0,0,0.115985,1.251208,0.284239,346.7353,323.7831,355.2342,0,False,False
259.7288,0.023993,1.720652,-0.045077,359.2554,270.0616,7.113542,0,0,0,0,0,0,0.112951,1.251853,0.28399,346.6594,323.1453,355.3258,0,False,False
259.7401,0.024297,1.720763,-0.044804,359.1845,270.0497,7.04199,0,0,0,0,0,0,0.110303,1.25264,0.283878,346.5271,322.6161,355.394,0,False,False
259.7511,0.024574,1.720985,-0.044444,359.1319,270.0537,6.975911,0,0,0,0,0,0,0.108147,1.253439,0.283827,346.2584,322.2575,355.3973,0,False,False
259.7623,0.024886,1.72115,-0.044002,359.0847,270.0928,6.911993,0,0,0,0,0,0,0.106041,1.254348,0.283782,345.9734,321.9571,355.3721,0,False,False
259.7735,0.025218,1.72139,-0.043449,359.0239,270.2311,6.816786,0,0,0,0,0,0,0.104283,1.255376,0.283935,345.6659,321.8364,355.2451,0,False,False
259.7845,0.025592,1.721634,-0.042739,358.9463,270.3996,6.708083,0,0,0,0,0,0,0.102835,1.256261,0.284051,345.434,321.7542,355.1117,0,False,False
259.7956,0.026026,1.721968,-0.041769,358.8487,270.6732,6.566282,0,0,0,0,0,0,0.101748,1.25686,0.284153,345.3022,321.7263,354.9339,0,False,False
259.8068,0.026496,1.72228,-0.040717,358.7627,270.9999,6.39943,0,0,0,0,0,0,0.100761,1.257271,0.284246,345.2551,321.6566,354.8078,0,False,False
259.8177,0.027008,1.722577,-0.039416,358.6757,271.3994,6.189746,0,0,0,0,0,0,0.10003,1.257449,0.284301,345.2897,321.5723,354.7316,0,False,False
259.8289,0.027587,1.722872,-0.037905,358.5971,271.9318,5.959239,0,0,0,0,0,0,0.099358,1.257651,0.284244,345.3283,321.4456,354.6829,0,False,False
259.84,0.028151,1.723119,-0.036287,358.5202,272.5289,5.70536,0,0,0,0,0,0,0.098693,1.257879,0.284122,345.3373,321.3217,354.632,0,False,False
259.851,0.028806,1.72341,-0.034366,358.432,273.2869,5.426656,0,0,0,0,0,0,0.098565,1.257993,0.283886,345.2702,321.2733,354.6155,0,False,False
259.8622,0.029536,1.723675,-0.032235,358.3672,274.1306,5.167612,0,0,0,0,0,0,0.098405,1.258292,0.283697,345.1479,321.2737,354.5739,0,False,False
259.8733,0.030304,1.723889,-0.029771,358.2949,275.1919,4.876845,0,0,0,0,0,0,0.098878,1.258557,0.28352,344.9963,321.3963,354.5528,0,False,False
