time,ori_x,ori_y,ori_z,dir_x,dir_y,dir_z,gaze_x,gaze_y,gaze_z,gaze_object,pupil_l,pupil_r
775.808,0.009469,-0.001759,-0.022062,-0.044662,-0.092133,0.994736,-0.824938,0,-0.063038,Ground,3.579514,3.832169
775.8192,0,0,0,0,0,1,-99999,-99999,-99999,,4.163956,-1
775.8301,0,0,0,0,0,1,-99999,-99999,-99999,,4.163956,-1
775.8412,0,0,0,0,0,1,-99999,-99999,-99999,,-1,-1
775.8524,-0.028558,-0.003234,-0.025859,0.006302,-0.556519,0.830795,-0.120919,0,-0.219293,Ground,-1,4.702927
775.8637,-0.028558,-0.003234,-0.025859,0.006302,-0.556519,0.830795,-0.122179,0,-0.218577,Ground,-1,4.702927
775.8746,-0.028986,-0.004121,-0.020499,-0.060989,-0.316574,0.946594,-0.511578,0,-0.18462,Ground,4.414825,2.594559
775.886,-0.029037,-0.004138,-0.021417,-0.100983,-0.101624,0.98967,-0.844097,0,-0.136907,Ground,3.298706,3.327286
775.8972,-0.028989,-0.004407,-0.020249,-0.075867,-0.072235,0.994492,-0.878778,0,-0.085219,Ground,3.471191,3.877914
775.908,-0.028989,-0.004407,-0.020249,-0.075867,-0.072235,0.994492,-0.88025,0,-0.083822,Ground,3.471191,3.877914
775.919,-0.028988,-0.004453,-0.020367,-0.068314,-0.054672,0.996155,-0.905308,0,-0.062654,Ground,3.399139,3.71402
775.93,-0.028712,-0.004494,-0.020311,-0.063416,-0.055862,0.996414,-0.901935,0,-0.055155,Ground,3.388336,3.600174
775.9412,-0.028712,-0.004494,-0.020311,-0.063416,-0.055862,0.996414,-0.903155,0,-0.054395,Ground,3.388336,3.600174
775.9523,-0.028994,-0.004515,-0.0203,-0.066437,-0.055145,0.996262,-0.907267,0,-0.058056,Ground,3.380524,3.720947
775.9635,-0.011408,-0.003203,-0.021076,-0.056854,-0.059479,0.996597,-0.898082,0,-0.046122,Ground,3.450272,3.676895
775.9745,-0.011408,-0.003203,-0.021076,-0.056854,-0.059479,0.996597,-0.90053,0,-0.045856,Ground,3.450272,3.676895
775.9856,-0.012304,-0.003284,-0.020959,-0.057785,-0.060883,0.99646,-0.901438,0,-0.04801,Ground,3.37645,3.71936
775.997,-0.00181,-0.002502,-0.021451,-0.050644,-0.063354,0.996704,-0.89681,0,-0.039198,Ground,3.366898,3.719925
776.0078,0.001454,-0.002263,-0.021575,-0.048645,-0.064957,0.996689,-0.89606,0,-0.037034,Ground,3.368134,3.693176
776.019,0.001454,-0.002263,-0.021575,-0.048645,-0.064957,0.996689,-0.899206,0,-0.03705,Ground,3.368134,3.693176
776.03,0.003158,-0.002136,-0.021654,-0.047409,-0.066559,0.996643,-0.899076,0,-0.036237,Ground,3.368042,3.701401
776.0411,0.003438,-0.002113,-0.021675,-0.045502,-0.067596,0.996674,-0.899442,0,-0.033739,Ground,3.394608,3.699524
776.0522,0.003438,-0.002113,-0.021675,-0.045502,-0.067596,0.996674,-0.901911,0,-0.033871,Ground,3.394608,3.699524
776.0635,-0.000362,-0.002392,-0.021521,-0.047546,-0.067566,0.996567,-0.904566,0,-0.037069,Ground,3.367737,3.687317
776.0745,-0.004621,-0.002782,-0.021261,-0.052994,-0.076401,0.995667,-0.894171,0,-0.049923,Ground,3.323837,3.546371
776.0856,-0.003961,-0.002843,-0.021321,-0.04393,-0.079193,0.99588,-0.885275,0,-0.038866,Ground,3.368271,3.548004
776.0967,-0.003961,-0.002843,-0.021321,-0.04393,-0.079193,0.99588,-0.884608,0,-0.039037,Ground,3.368271,3.548004
776.1078,-0.016736,-0.00431,-0.020669,0.027084,-0.220276,0.975052,-0.638607,0,-0.013054,Ground,3.397568,3.476852
776.1188,0.000571,-0.003435,-0.02175,0.129303,-0.323761,0.937256,-0.436749,0,0.07146,Ground,3.488968,3.660507
776.1301,0.000571,-0.003435,-0.02175,0.129303,-0.323761,0.937256,-0.435302,0,0.071838,Ground,3.488968,3.660507
776.1411,0.000348,-0.004259,-0.020675,0.196838,-0.401627,0.894394,-0.28041,0,0.122418,Ground,3.468338,3.766006
776.1522,0.000299,-0.004766,-0.020309,0.221008,-0.476044,0.851181,-0.149033,0,0.115249,Ground,3.485809,3.840546
776.1633,0.000299,-0.004766,-0.020309,0.221008,-0.476044,0.851181,-0.145695,0,0.11563,Ground,3.485809,3.840546
776.1744,0.000318,-0.004866,-0.019975,0.219513,-0.483978,0.847092,-0.1312,0,0.109636,Ground,3.559998,3.720963
776.1857,0.028689,-0.002363,-0.022087,0.218247,-0.470444,0.854996,-0.150263,0,0.115803,Ground,3.569244,4.16954
776.1968,0.030221,-0.002106,-0.022381,0.219681,-0.458969,0.860855,-0.164073,0,0.125091,Ground,3.642319,3.718979
776.2078,0.030221,-0.002106,-0.022381,0.219681,-0.458969,0.860855,-0.161296,0,0.125815,Ground,3.642319,3.718979
776.2191,0.027304,-0.002324,-0.022157,0.213486,-0.459839,0.861939,-0.161137,0,0.117307,Ground,3.454803,3.815964
776.2299,0.026465,-0.002397,-0.022069,0.218552,-0.460068,0.86055,-0.154116,0,0.124678,Ground,3.537674,3.814941
776.2411,0.026465,-0.002397,-0.022069,0.218552,-0.460068,0.86055,-0.150057,0,0.124932,Ground,3.537674,3.814941
776.2524,0.029751,-0.002096,-0.022336,0.218491,-0.451508,0.865082,-0.158369,0,0.129945,Ground,3.536575,3.818588
776.2634,0.030146,-0.002026,-0.022382,0.213989,-0.453003,0.865433,-0.154715,0,0.122701,Ground,3.546448,3.875183
776.2744,0.030146,-0.002026,-0.022382,0.213989,-0.453003,0.865433,-0.150174,0,0.121794,Ground,3.546448,3.875183
776.2855,0.030232,-0.001934,-0.022944,0.204651,-0.450409,0.869049,-0.156805,0,0.11049,Ground,3.542236,3.929871
776.2966,0.029229,-0.002237,-0.022705,0.207001,-0.492081,0.845566,-0.087494,0,0.086186,Ground,3.480042,3.602631
776.3077,0.029229,-0.002237,-0.022705,0.207001,-0.492081,0.845566,-0.083942,0,0.085064,Ground,3.480042,3.602631
776.3189,0.030029,-0.002379,-0.02246,0.225159,-0.496597,0.838257,-0.058565,0,0.104768,Ground,3.423187,4.649582
776.3301,0.030022,-0.002314,-0.02244,0.203919,-0.495071,0.844574,-0.074389,0,0.076131,Ground,3.475952,4.800919
776.341,0.030019,-0.00229,-0.022516,0.200104,-0.497147,0.844269,-0.070625,0,0.068646,Ground,3.450134,4.814926
776.3521,0.030019,-0.00229,-0.022516,0.200104,-0.497147,0.844269,-0.067743,0,0.06726,Ground,3.450134,4.814926
776.3633,0.030025,-0.0023,-0.02251,0.200668,-0.49588,0.844879,-0.066416,0,0.068234,Ground,3.453537,4.832092
776.3744,0.030029,-0.002311,-0.022493,0.201645,-0.494385,0.84552,-0.065638,0,0.069656,Ground,3.465302,4.732407
776.3854,0.030029,-0.002311,-0.022493,0.201645,-0.494385,0.84552,-0.063726,0,0.069011,Ground,3.465302,4.732407
776.3965,0.030023,-0.002302,-0.022493,0.20018,-0.495087,0.845444,-0.062421,0,0.065627,Ground,3.465485,3.454346
776.4077,0.030019,-0.002296,-0.02251,0.199982,-0.493988,0.846146,-0.063078,0,0.065641,Ground,3.472458,3.758759
776.4188,0.030019,-0.002296,-0.02251,0.199982,-0.493988,0.846146,-0.063552,0,0.065224,Ground,3.472458,3.758759
776.4299,0.029952,-0.002326,-0.022144,0.19696,-0.496368,0.845459,-0.064333,0,0.058855,Ground,3.321274,4.043518
776.441,0.03019,-0.00779,-0.023196,0.259293,0.737167,0.623962,-4.633774,0,4.737311,Ground,4.633667,3.91803
776.452,0.029889,-0.002065,-0.022478,0.205902,-0.480408,0.852524,-0.081538,0,0.081619,Ground,3.358215,3.746307
776.4632,0.029889,-0.002065,-0.022478,0.205902,-0.480408,0.852524,-0.083963,0,0.08126,Ground,3.358215,3.746307
776.4742,0.029791,-0.001976,-0.022631,0.193268,-0.502945,0.842423,-0.069631,0,0.045446,Ground,3.213623,3.582626
776.4854,0.029663,-0.001766,-0.022502,0.221329,-0.454956,0.862564,-0.107331,0,0.126948,Ground,3.490097,3.765793
776.4966,0.029663,-0.001766,-0.022502,0.221329,-0.454956,0.862564,-0.110548,0,0.129309,Ground,3.490097,3.765793
776.5075,-0.028678,-0.006947,-0.018974,0.220596,-0.554108,0.802673,0.012154,0,0.021753,Ground,3.397446,3.9375
776.5188,-0.030302,-0.005475,-0.023812,0.161881,-0.533554,0.830124,-0.091337,0,-0.012517,Ground,3.242767,3.660233
776.5297,-0.030481,-0.005454,-0.024269,0.165833,-0.508316,0.845032,-0.126719,0,0.023811,Ground,3.503021,3.572235
776.5411,-0.030481,-0.005454,-0.024269,0.165833,-0.508316,0.845032,-0.134161,0,0.026951,Ground,3.503021,3.572235
776.5524,0.029166,-0.002136,-0.020935,0.310638,-0.46788,0.827393,0.001296,0,0.210511,Ground,3.509155,4.082916
776.5632,-0.030422,-0.006808,-0.021301,0.245331,-0.584778,0.773193,0.045439,0,-0.003848,Ground,-1,4.160049
776.5742,-0.030422,-0.006808,-0.021301,0.245331,-0.584778,0.773193,0.040012,0,-0.008671,Ground,-1,4.160049
776.5853,0.029081,-0.002303,-0.020924,0.311234,-0.481613,0.819244,0.020558,0,0.181384,Ground,3.533051,4.905334
776.5964,0.029043,-0.00228,-0.02111,0.320389,-0.483902,0.814362,0.039139,0,0.178862,Ground,3.444275,4.593704
776.6075,0.029043,-0.00228,-0.02111,0.320389,-0.483902,0.814362,0.041986,0,0.172777,Ground,3.444275,4.593704
776.6187,0.029038,-0.002254,-0.021195,0.311813,-0.474152,0.823364,0.023726,0,0.175031,Ground,3.491455,4.340912
776.6298,0.02905,-0.002337,-0.020958,0.257065,-0.453171,0.853531,-0.070433,0,0.170339,Ground,-1,4.302032
776.6409,0.029059,-0.002444,-0.020537,0.345322,-0.483109,0.804581,0.094804,0,0.160987,Ground,-1,4.407211
776.6521,0.029059,-0.002444,-0.020537,0.345322,-0.483109,0.804581,0.10144,0,0.149248,Ground,-1,4.407211
776.6631,0.029059,-0.002513,-0.020501,0.360046,-0.438828,0.823257,0.107315,0,0.214978,Ground,-1,4.434372
