time,head_pos_x,head_pos_y,head_pos_z,head_rot_x,head_rot_y,head_rot_z,left_pos_x,left_pos_y,left_pos_z,left_rot_x,left_rot_y,left_rot_z,right_pos_x,right_pos_y,right_pos_z,right_rot_x,right_rot_y,right_rot_z,grab_force,grab,trigger
922.3593,0.154331,1.403661,0.151771,64.85686,4.399568,0.46699,0,0,0,0,0,0,0.399021,0.992783,0.262883,32.59317,54.95274,301.3224,0,False,False
922.3707,0.153958,1.404219,0.151409,64.71673,4.364431,0.479413,0,0,0,0,0,0,0.397593,0.993443,0.263183,32.61897,54.83081,301.1541,0,False,False
922.3816,0.153513,1.404907,0.150952,64.56587,4.25141,0.421261,0,0,0,0,0,0,0.396169,0.99423,0.263518,32.6127,54.6831,301.0571,0,False,False
922.3928,0.153055,1.40558,0.15048,64.42249,4.176056,0.380643,0,0,0,0,0,0,0.394658,0.995232,0.264015,32.52785,54.4682,301.0797,0,False,False
922.4038,0.152599,1.406232,0.149975,64.2453,4.11657,0.379888,0,0,0,0,0,0,0.393054,0.996194,0.264404,32.45252,54.21724,301.0477,0,False,False
922.4148,0.152104,1.406954,0.149397,64.0528,4.027081,0.364508,0,0,0,0,0,0,0.391356,0.997311,0.264915,32.37766,53.92542,300.8467,0,False,False
922.426,0.151549,1.407682,0.148742,63.84097,3.954319,0.383245,0,0,0,0,0,0,0.389662,0.998286,0.265407,32.31664,53.59971,300.4827,0,False,False
922.4371,0.151,1.408406,0.148138,63.62854,3.893137,0.433443,0,0,0,0,0,0,0.388013,0.999312,0.265853,32.25742,53.30992,300.1279,0,False,False
922.4482,0.150387,1.409184,0.147442,63.38196,3.823334,0.466573,0,0,0,0,0,0,0.386437,1.00037,0.266164,32.16625,53.00889,299.6982,0,False,False
922.4592,0.149739,1.409941,0.14669,63.12104,3.720795,0.470844,0,0,0,0,0,0,0.384798,1.001514,0.266558,32.07701,52.75873,299.4429,0,False,False
922.4703,0.149053,1.410737,0.145857,62.85819,3.631411,0.469438,0,0,0,0,0,0,0.383444,1.00264,0.266815,31.99014,52.58371,299.3463,0,False,False
922.4814,0.148345,1.411481,0.145049,62.6077,3.537152,0.43817,0,0,0,0,0,0,0.382191,1.003806,0.267129,31.9201,52.48678,299.3233,0,False,False
922.4927,0.147645,1.412252,0.14422,62.35442,3.427641,0.387804,0,0,0,0,0,0,0.381021,1.004878,0.2673,31.84026,52.37779,299.2879,0,False,False
