experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,trial_no,scene,target,response_mode,shift_x,shift_y,shift_z,view_rotation,preview_label,t_starting_pos,standing_y_rotation,target_label,target_pos_x,target_pos_y,target_pos_z,target_euler_x,target_euler_y,target_euler_z,target_bbox_center_x,target_bbox_center_y,target_bbox_center_z,target_bbox_size_x,target_bbox_size_y,target_bbox_size_z,t_scene_preview_start,t_scene_preview_end,t_response_start,t_response_end,response_pos_x_pivot,response_pos_y_pivot,response_pos_z_pivot,response_euler_x,response_euler_y,response_euler_z,tar_error_pos,tar_error_pos_x,tar_error_pos_y,tar_error_pos_z,response_bbox_center_x,response_bbox_center_y,response_bbox_center_z,tar_error_bbox,tar_error_bbox_x,tar_error_bbox_y,tar_error_bbox_z,tar_error_angle,tar_error_euler_x,tar_error_euler_y,tar_error_euler_z,standing_pos_x,standing_pos_y,standing_pos_z,VR_move_location_0,Eye_gaze_location_0
Pilot_Kitchen_object,21,2,1,1,1,54.9539,79.23716,8,K01,K01_L13,object,0,0,0,0,Cutting Board,60.63356,359.9228,cuttingboard,-1.437559,0.891825,1.196799,272.964,60.09008,300.075,-1.436887,0.906805,1.197186,0.245887,0.05029,0.364747,62.1127,65.98708,67.99764,78.21537,-1.418319,0.876942,1.198758,272.0531,256.7996,102.5204,0.024404,0.019241,-0.014883,0.001958,-1.418842,0.891932,1.198635,0.023429,0.018045,-0.014872,0.001449,5.034457,-0.910889,196.7095,-197.5546,-1.1357,1.468459,0.807045,Pilot_Kitchen_object/21/S002/trackers/VR_move_T001.csv,Pilot_Kitchen_object/21/S002/trackers/Eye_gaze_T001.csv
Pilot_Kitchen_object,21,2,2,1,2,80.24796,91.86543,3,K01,K01_L16,object,0,0,0,90,Flowers,83.00231,89.55576,flowers,1.069949,0.867997,0.834195,0.462501,110.9224,358.712,1.072386,1.089711,0.836063,0.476981,0.447812,0.470179,83.51328,84.45734,86.46757,90.84384,1.073948,0.88074,0.858317,359.3335,93.97453,359.2122,0.027572,0.003999,0.012743,0.024121,1.071553,1.101557,0.863026,0.029462,-0.000833,0.011846,0.026963,16.99144,358.871,-16.94785,0.500244,0.604674,1.497836,0.703428,Pilot_Kitchen_object/21/S002/trackers/VR_move_T002.csv,Pilot_Kitchen_object/21/S002/trackers/Eye_gaze_T002.csv
Pilot_Kitchen_object,21,2,3,1,3,92.8764,112.224,5,K01,K01_L04,object,0,0,0,0,Breadbasket,100.14,3.848642,bunsinbasket,-1.087051,0.883797,1.18928,0.60304,67.68452,1.555164,-1.088983,0.950319,1.190754,0.301863,0.325402,0.296634,100.6507,102.6611,104.6715,111.2021,-1.12259,0.873743,1.216456,355.283,40.8457,4.324164,0.045854,-0.035539,-0.010054,0.027176,-1.127472,0.939597,1.21609,0.04731,-0.038489,-0.010722,0.025336,27.39142,354.68,-26.83882,2.769,-0.848969,1.479486,0.834597,Pilot_Kitchen_object/21/S002/trackers/VR_move_T003.csv,Pilot_Kitchen_object/21/S002/trackers/Eye_gaze_T003.csv
Pilot_Kitchen_object,21,2,4,1,4,113.2346,136.3363,2,K01,K01_L25,object,0,0,0,90,Painting,116.4556,90.3444,picture,1.870949,1.47049,0.304973,0,270,0,1.857929,1.846447,0.356637,0.02604,0.516962,0.933721,116.9665,118.2327,120.2429,135.3145,1.887526,1.558326,0.51721,2.886571,270.53,0.877841,0.230292,0.016577,0.087836,0.212236,1.856901,1.934085,0.563366,0.224541,-0.001028,0.087637,0.20673,3.059134,2.886571,0.530029,0.877841,0.872181,1.565446,0.257183,Pilot_Kitchen_object/21/S002/trackers/VR_move_T004.csv,Pilot_Kitchen_object/21/S002/trackers/Eye_gaze_T004.csv
Pilot_Kitchen_object,21,2,5,1,5,137.3471,152.7526,5,K01,K01_L04,object,0,0,0,0,Breadbasket,142.545,2.914456,bunsinbasket,-1.087051,0.883797,1.18928,0.60304,67.68452,1.555164,-1.088983,0.950319,1.190754,0.301863,0.325402,0.296634,143.0558,144.1109,146.1213,151.7302,-1.114059,0.862817,1.199779,3.430212,25.43313,4.355375,0.035774,-0.027008,-0.02098,0.010499,-1.121894,0.928523,1.207537,0.042894,-0.032911,-0.021797,0.016783,42.52781,2.827172,-42.25138,2.800211,-0.806059,1.480303,0.799688,Pilot_Kitchen_object/21/S002/trackers/VR_move_T005.csv,Pilot_Kitchen_object/21/S002/trackers/Eye_gaze_T005.csv
Pilot_Kitchen_object,21,2,6,1,6,153.7627,174.6653,6,K01,K01_L07,object,0,0,0,270,Espresso Machine,159.3826,272.5466,coffeemaker,-1.82445,0.880285,-0.854397,358.1284,90.56697,358.8811,-1.764189,1.051043,-0.853803,0.345148,0.352667,0.277094,159.8936,161.4597,163.4701,173.6437,-1.858126,0.873439,-0.846088,357.5444,89.42838,359.3021,0.035355,-0.033676,-0.006846,0.008309,-1.799629,1.044359,-0.843799,0.037426,-0.03544,-0.006683,0.010004,1.332932,-0.583954,-1.138588,0.42099,-1.157935,1.464934,-0.832162,Pilot_Kitchen_object/21/S002/trackers/VR_move_T006.csv,Pilot_Kitchen_object/21/S002/trackers/Eye_gaze_T006.csv
Pilot_Kitchen_object,21,2,7,1,7,175.676,200.5326,10,K01,K01_L19,object,0,0,0,270,Kettle,186.6717,274.7355,electrickettle,-1.815528,0.88442,-1.188014,359.4425,51.20193,359.9249,-1.83694,1.015495,-1.169477,0.279372,0.263917,0.277038,187.1826,188.7156,190.7257,199.5109,-1.856178,0.87551,-1.210762,357.098,69.15573,359.0974,0.047426,-0.04065,-0.008911,-0.022748,-1.87554,1.006518,-1.190514,0.044868,-0.0386,-0.008978,-0.021037,18.09896,-2.344513,17.9538,-0.827484,-1.083999,1.4834,-0.973793,Pilot_Kitchen_object/21/S002/trackers/VR_move_T007.csv,Pilot_Kitchen_object/21/S002/trackers/Eye_gaze_T007.csv
Pilot_Kitchen_object,21,2,8,1,8,201.5433,220.0359,1,K01,K01_L05,object,0,0,0,180,Plant,206.6304,186.1773,plant,0.740949,0.010997,-1.475805,357.0071,116.5166,356.3118,0.689599,0.494938,-1.514348,1.09479,0.991716,0.990528,207.1412,208.1518,210.1622,219.0142,0.647362,-0.031151,-1.504274,3.240222,116.0415,351.7044,0.106515,-0.093587,-0.042148,-0.028469,0.636536,0.457662,-1.620626,0.124499,-0.053062,-0.037276,-0.106278,7.763426,-353.7669,-0.475121,-4.607391,0.27113,1.487478,-0.498769,Pilot_Kitchen_object/21/S002/trackers/VR_move_T008.csv,Pilot_Kitchen_object/21/S002/trackers/Eye_gaze_T008.csv
Pilot_Kitchen_object,21,2,9,1,9,221.0467,250.8902,2,K01,K01_L25,object,0,0,0,90,Painting,224.1121,93.27358,picture,1.870949,1.47049,0.304973,0,270,0,1.857929,1.846447,0.356637,0.02604,0.516962,0.933721,224.623,225.456,227.4663,249.8685,1.878335,1.536578,0.350539,1.773969,268.6267,359.4248,0.080613,0.007386,0.066089,0.045565,1.853222,1.911531,0.405457,0.081495,-0.004706,0.065083,0.04882,2.310427,1.773969,-1.373291,359.4248,0.350585,1.563821,-0.020802,Pilot_Kitchen_object/21/S002/trackers/VR_move_T009.csv,Pilot_Kitchen_object/21/S002/trackers/Eye_gaze_T009.csv
Pilot_Kitchen_object,21,2,10,1,10,251.9008,272.5705,10,K01,K01_L19,object,0,0,0,270,Kettle,256.4435,271.4696,electrickettle,-1.815528,0.88442,-1.188014,359.4425,51.20193,359.9249,-1.83694,1.015495,-1.169477,0.279372,0.263917,0.277038,256.9544,258.7537,260.7641,271.5486,-1.863366,0.88207,-1.206288,359.759,67.41753,357.2398,0.051263,-0.047838,-0.00235,-0.018274,-1.875467,1.014789,-1.188375,0.042918,-0.038527,-0.000706,-0.018898,16.41946,0.316528,16.21561,-2.68512,-0.908567,1.512883,-0.639683,Pilot_Kitchen_object/21/S002/trackers/VR_move_T010.csv,Pilot_Kitchen_object/21/S002/trackers/Eye_gaze_T010.csv
Pilot_Kitchen_object,21,2,11,1,11,273.581,291.7847,7,K01,K01_L15,object,0,0,0,270,Water Bottle,277.0907,270.8555,waterbottle,-1.392051,0.883097,-1.231805,0.516519,199.2043,358.5333,-1.400844,0.984469,-1.230697,0.092938,0.203459,0.086649,277.6016,282.5219,284.5323,290.763,-1.337865,0.886073,-1.251098,2.24269,150.3907,355.5818,0.057595,0.054186,0.002976,-0.019293,-1.347521,0.986763,-1.262194,0.061974,0.053324,0.002294,-0.031497,48.85489,1.726171,-48.81357,-2.951447,-0.866689,1.496992,-0.841297,Pilot_Kitchen_object/21/S002/trackers/VR_move_T011.csv,Pilot_Kitchen_object/21/S002/trackers/Eye_gaze_T011.csv
Pilot_Kitchen_object,21,2,12,1,12,292.7955,311.8101,8,K01,K01_L13,object,0,0,0,0,Cutting Board,295.5721,1.835683,cuttingboard,-1.437559,0.891825,1.196799,272.964,60.09008,300.075,-1.436887,0.906805,1.197186,0.245887,0.05029,0.364747,296.0829,297.9823,299.9926,310.7882,-1.418799,0.892257,1.195979,274.1177,58.87624,300.9504,0.018784,0.018761,0.000432,-0.000821,-1.417877,0.907218,1.196535,0.019026,0.01901,0.000414,-0.000651,1.202668,1.153717,-1.213837,0.875366,-1.059294,1.471411,0.798327,Pilot_Kitchen_object/21/S002/trackers/VR_move_T012.csv,Pilot_Kitchen_object/21/S002/trackers/Eye_gaze_T012.csv
Pilot_Kitchen_object,21,2,13,1,13,312.8206,326.0043,9,K01,K01_L12,object,0,0,0,0,Banana,315.0309,356.6991,banana,0.050392,0.908097,1.171279,276.2014,165.8417,147.4809,0.03991,0.907322,1.177484,0.224758,0.057988,0.228644,315.5419,316.9413,318.9517,324.9825,0.057922,0.911264,1.165705,277.5787,171.7252,195.8379,0.00989,0.00753,0.003167,-0.005574,0.056728,0.911174,1.177852,0.017258,0.016819,0.003852,0.000368,54.21884,1.377258,5.883469,48.35701,-0.049846,1.475631,0.624156,Pilot_Kitchen_object/21/S002/trackers/VR_move_T013.csv,Pilot_Kitchen_object/21/S002/trackers/Eye_gaze_T013.csv
Pilot_Kitchen_object,21,2,14,1,14,327.015,347.007,2,K01,K01_L25,object,0,0,0,90,Painting,329.514,96.27292,picture,1.870949,1.47049,0.304973,0,270,0,1.857929,1.846447,0.356637,0.02604,0.516962,0.933721,330.0248,334.4009,336.4115,345.9851,1.879261,1.431683,0.504213,2.739269,271.382,1.403883,0.203154,0.008312,-0.038807,0.19924,1.85037,1.807918,0.547296,0.194661,-0.007559,-0.03853,0.19066,3.359859,2.739269,1.381958,1.403883,0.608974,1.572097,0.267479,Pilot_Kitchen_object/21/S002/trackers/VR_move_T014.csv,Pilot_Kitchen_object/21/S002/trackers/Eye_gaze_T014.csv
Pilot_Kitchen_object,21,2,15,1,15,348.0176,361.8898,9,K01,K01_L12,object,0,0,0,0,Banana,350.9831,3.354253,banana,0.050392,0.908097,1.171279,276.2014,165.8417,147.4809,0.03991,0.907322,1.177484,0.224758,0.057988,0.228644,351.494,352.7047,354.7047,360.868,0.072228,0.894188,1.182361,275.0617,258.8595,41.40014,0.028162,0.021836,-0.01391,0.011081,0.060863,0.891557,1.185954,0.027556,0.020954,-0.015765,0.008469,15.64792,-1.139679,93.01776,-106.0808,0.017333,1.495807,0.83485,Pilot_Kitchen_object/21/S002/trackers/VR_move_T015.csv,Pilot_Kitchen_object/21/S002/trackers/Eye_gaze_T015.csv
Pilot_Kitchen_object,21,2,16,1,16,362.9005,377.5391,7,K01,K01_L15,object,0,0,0,270,Water Bottle,366.3991,274.0155,waterbottle,-1.392051,0.883097,-1.231805,0.516519,199.2043,358.5333,-1.400844,0.984469,-1.230697,0.092938,0.203459,0.086649,366.9099,368.476,370.4865,376.5186,-1.31881,0.87695,-1.194894,356.4358,170.4186,356.4949,0.082246,0.073241,-0.006147,0.03691,-1.331798,0.977825,-1.191662,0.079594,0.069046,-0.006644,0.039035,29.1907,355.9193,-28.78564,-2.03833,-0.798416,1.478812,-0.739801,Pilot_Kitchen_object/21/S002/trackers/VR_move_T016.csv,Pilot_Kitchen_object/21/S002/trackers/Eye_gaze_T016.csv
