experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,trial_no,scene,target,response_mode,shift_x,shift_y,shift_z,view_rotation,preview_label,t_starting_pos,standing_y_rotation,target_label,target_pos_x,target_pos_y,target_pos_z,target_euler_x,target_euler_y,target_euler_z,target_bbox_center_x,target_bbox_center_y,target_bbox_center_z,target_bbox_size_x,target_bbox_size_y,target_bbox_size_z,t_scene_preview_start,t_scene_preview_end,t_response_start,t_response_end,response_pos_x_pivot,response_pos_y_pivot,response_pos_z_pivot,response_euler_x,response_euler_y,response_euler_z,tar_error_pos,tar_error_pos_x,tar_error_pos_y,tar_error_pos_z,response_bbox_center_x,response_bbox_center_y,response_bbox_center_z,tar_error_bbox,tar_error_bbox_x,tar_error_bbox_y,tar_error_bbox_z,tar_error_angle,tar_error_euler_x,tar_error_euler_y,tar_error_euler_z,standing_pos_x,standing_pos_y,standing_pos_z,VR_move_location_0,Eye_gaze_location_0
Pilot_Office_cube,14,4,1,1,1,31.69587,53.34608,2,O02,O02_L23,cube,0,0,0,270,Globe,35.95307,266.468,globe,-1.690767,0.952719,-1.18695,272.2737,97.45389,325.6657,-1.690357,1.158456,-1.180549,0.386225,0.426065,0.381431,41.15516,42.41734,44.42767,52.32436,-1.662206,0.975261,-1.1833,2.484662,358.2625,2.358497,0.036568,0.028561,0.022542,0.00365,-1.664328,1.025172,-1.181198,0.135804,0.026029,-0.133284,-0.000649,106.7557,-269.789,260.8086,-323.3073,-0.525126,1.367927,-0.274433,Pilot_Office_cube/14/S004/trackers/VR_move_T001.csv,Pilot_Office_cube/14/S004/trackers/Eye_gaze_T001.csv
Pilot_Office_cube,14,4,2,1,2,54.35665,66.07417,9,O02,O02_L05,cube,0,0,0,0,Telephone,56.01162,0.625602,landline,-0.743321,0.696754,1.575369,0,211.359,0,-0.740645,0.79142,1.579673,0.272401,0.189332,0.235766,56.52258,57.43336,59.44351,65.05241,-0.730235,0.712603,1.556904,4.603634,40.82086,0.36904,0.02763,0.013086,0.015849,-0.018466,-0.727855,0.762441,1.560151,0.037208,0.012789,-0.028979,-0.019522,170.5607,4.603634,-170.5381,0.36904,-0.462339,1.466508,0.752021,Pilot_Office_cube/14/S004/trackers/VR_move_T002.csv,Pilot_Office_cube/14/S004/trackers/Eye_gaze_T002.csv
Pilot_Office_cube,14,4,3,1,3,67.08496,78.39153,6,O02,O02_L03,cube,0,0,0,270,Printer,68.48447,277.3453,printer,-1.716147,0.955864,-0.618053,0,90.47899,0,-1.64673,1.03389,-0.618486,0.478432,0.156053,0.427981,68.99522,69.31252,71.31661,77.36985,-1.655298,0.971993,-0.563939,0.069479,1.889974,3.943317,0.083013,0.060849,0.016129,0.054115,-1.658733,1.021874,-0.563765,0.057296,-0.012003,-0.012016,0.054721,88.66093,0.069479,-88.58901,3.943317,-0.893673,1.501706,-0.375493,Pilot_Office_cube/14/S004/trackers/VR_move_T003.csv,Pilot_Office_cube/14/S004/trackers/Eye_gaze_T003.csv
Pilot_Office_cube,14,4,4,1,4,79.40214,93.57422,2,O02,O02_L23,cube,0,0,0,270,Globe,80.64611,268.4797,globe,-1.690767,0.952719,-1.18695,272.2737,97.45389,325.6657,-1.690357,1.158456,-1.180549,0.386225,0.426065,0.381431,81.15688,82.86756,84.87796,92.55247,-1.644651,0.987277,-1.155018,4.508522,1.338957,0.735682,0.065883,0.046116,0.034558,0.031932,-1.645201,1.037118,-1.151074,0.132781,0.045156,-0.121338,0.029475,107.6011,-267.7651,-96.11493,-324.9301,-0.880191,1.481681,-0.559529,Pilot_Office_cube/14/S004/trackers/VR_move_T004.csv,Pilot_Office_cube/14/S004/trackers/Eye_gaze_T004.csv
Pilot_Office_cube,14,4,5,1,5,94.58495,104.7585,3,O02,O02_L01,cube,0,0,0,180,Sushi,96.17318,179.1217,sushi,0.024424,0.523493,-1.377002,359.1866,216.5073,358.2385,0.023787,0.554909,-1.37584,0.503964,0.185142,0.504825,96.68417,96.94935,98.94988,103.7368,0.063554,0.523169,-1.37954,348.955,1.814784,357.3533,0.039213,0.03913,-0.000324,-0.002538,0.065558,0.572191,-1.389177,0.047131,0.041771,0.017282,-0.013337,145.3597,-10.23166,-214.6925,-0.885193,-0.038016,1.417844,-0.421349,Pilot_Office_cube/14/S004/trackers/VR_move_T005.csv,Pilot_Office_cube/14/S004/trackers/Eye_gaze_T005.csv
Pilot_Office_cube,14,4,6,1,6,105.7691,117.2645,5,O02,O02_L11,cube,0,0,0,270,Cookies,107.613,283.6967,cookies,-1.527065,0.775583,0.496761,0,36.522,0,-1.527065,0.793719,0.496761,0.274797,0.07267,0.274796,108.1238,108.968,110.9784,116.2429,-1.523553,0.804335,0.466726,0.876772,358.1067,3.669156,0.041726,0.003512,0.028752,-0.030035,-1.526776,0.854226,0.467383,0.067262,0.000289,0.060507,-0.029377,38.621,0.876772,321.5847,3.669156,-0.955985,1.454497,0.110862,Pilot_Office_cube/14/S004/trackers/VR_move_T006.csv,Pilot_Office_cube/14/S004/trackers/Eye_gaze_T006.csv
Pilot_Office_cube,14,4,7,1,7,118.2753,130.226,8,O02,O02_L15,cube,0,0,0,90,Clock,120.1522,102.1322,tableclock,1.717249,0.741288,-0.381913,356.9992,269.6479,0.111573,1.697608,0.916266,-0.380892,0.237385,0.358919,0.224152,120.6631,121.0584,123.0624,129.2042,1.672375,0.755018,-0.423564,359.8236,0.357154,358.6176,0.062746,-0.044874,0.01373,-0.041652,1.673581,0.805003,-0.423726,0.121621,-0.024028,-0.111263,-0.042834,90.71181,2.824402,-269.2908,358.506,1.150314,1.381203,-0.173867,Pilot_Office_cube/14/S004/trackers/VR_move_T007.csv,Pilot_Office_cube/14/S004/trackers/Eye_gaze_T007.csv
Pilot_Office_cube,14,4,8,1,8,131.2366,141.8213,3,O02,O02_L01,cube,0,0,0,180,Sushi,132.7693,187.8085,sushi,0.024424,0.523493,-1.377002,359.1866,216.5073,358.2385,0.023787,0.554909,-1.37584,0.503964,0.185142,0.504825,133.2803,134.0245,136.0349,140.7998,0.052602,0.542274,-1.358175,3.388006,359.58,357.8829,0.038745,0.028178,0.01878,0.018828,0.054427,0.592152,-1.355208,0.052455,0.03064,0.037243,0.020632,143.1066,-355.7986,143.0727,-0.35553,0.22593,1.290176,-0.497607,Pilot_Office_cube/14/S004/trackers/VR_move_T008.csv,Pilot_Office_cube/14/S004/trackers/Eye_gaze_T008.csv
Pilot_Office_cube,14,4,9,1,9,142.832,156.8708,2,O02,O02_L23,cube,0,0,0,270,Globe,145.9307,272.1566,globe,-1.690767,0.952719,-1.18695,272.2737,97.45389,325.6657,-1.690357,1.158456,-1.180549,0.386225,0.426065,0.381431,146.4415,147.0852,149.0853,155.8601,-1.677275,0.959048,-1.192543,2.550444,356.6075,6.168288,0.015917,0.013492,0.006329,-0.005593,-1.682769,1.008709,-1.190653,0.150279,0.007588,-0.149747,-0.010104,105.9476,-269.7232,259.1536,-319.4975,-1.118341,1.414527,-0.896452,Pilot_Office_cube/14/S004/trackers/VR_move_T009.csv,Pilot_Office_cube/14/S004/trackers/Eye_gaze_T009.csv
Pilot_Office_cube,14,4,10,1,10,157.8815,169.3102,10,O02,O02_L06,cube,0,0,0,270,Lamp,159.303,266.9304,desklamp,-1.794875,0.765892,0.397152,355.5128,118.53,358.3776,-1.759872,1.074492,0.504581,0.517692,0.639956,0.658181,159.814,160.3542,162.3575,168.2885,-1.742479,0.786573,0.373556,358.7006,357.4637,357.8521,0.061072,0.052396,0.02068,-0.023596,-1.740557,0.836525,0.372507,0.272846,0.019315,-0.237967,-0.132074,121.1186,3.187805,238.9337,-0.525513,-1.039882,1.415108,0.133118,Pilot_Office_cube/14/S004/trackers/VR_move_T010.csv,Pilot_Office_cube/14/S004/trackers/Eye_gaze_T010.csv
