time,ori_x,ori_y,ori_z,dir_x,dir_y,dir_z,gaze_x,gaze_y,gaze_z,gaze_object,pupil_l,pupil_r
308.204,0.003996,-0.000251,-0.024777,0.031448,-0.287277,0.957321,-0.174879,0,-0.070717,Ground,2.364197,2.178375
308.2154,0.001281,-0.000367,-0.024708,0.031464,-0.297501,0.954193,-0.165042,0,-0.062464,Ground,2.356522,2.142456
308.2262,0.001281,-0.000367,-0.024708,0.031464,-0.297501,0.954193,-0.167005,0,-0.063724,Ground,2.356522,2.142456
308.2373,-0.019242,-0.001341,-0.023745,0.033371,-0.319702,0.946915,-0.143071,0,-0.038728,Ground,2.37413,2.088028
308.2485,-0.023922,-0.001677,-0.023571,0.020065,-0.338684,0.940674,-0.107872,0,-0.030905,Ground,2.366745,2.098175
308.2595,-0.024378,-0.001717,-0.023533,0.024918,-0.338318,0.940689,-0.111955,0,-0.024381,Ground,2.36322,2.078094
308.2707,-0.024378,-0.001717,-0.023533,0.024918,-0.338318,0.940689,-0.111727,0,-0.023638,Ground,2.36322,2.078094
308.2818,-0.024215,-0.00155,-0.023387,0.031647,-0.291122,0.956146,-0.17053,0,-0.066372,Ground,2.392868,2.128326
308.2929,0.009724,0.00004,-0.025216,0.029526,-0.268707,0.962753,-0.193215,0,-0.09416,Ground,2.311356,2.229782
308.3039,0.009724,0.00004,-0.025216,0.029526,-0.268707,0.962753,-0.193752,0,-0.097538,Ground,2.311356,2.229782
308.315,0.026276,0.000816,-0.025802,0.032883,-0.262604,0.96434,-0.204903,0,-0.103867,Ground,2.354019,2.147385
308.3262,0.02429,0.000953,-0.02584,0.037231,-0.276367,0.960327,-0.194067,0,-0.087114,Ground,2.303116,2.208633
308.3373,0.02429,0.000953,-0.02584,0.037231,-0.276367,0.960327,-0.193888,0,-0.089851,Ground,2.303116,2.208633
308.3484,-0.001073,-0.000127,-0.024354,0.038254,-0.27565,0.960495,-0.195672,0,-0.092197,Ground,2.335068,2.159882
308.3595,0.006953,0.00018,-0.024753,0.040024,-0.274185,0.960831,-0.198905,0,-0.093888,Ground,2.339661,2.186371
308.3705,0.006953,0.00018,-0.024753,0.040024,-0.274185,0.960831,-0.198771,0,-0.094743,Ground,2.339661,2.186371
308.3817,-0.000805,-0.000341,-0.024643,0.072891,-0.217316,0.973358,-0.296511,0,-0.127242,Ground,2.333298,2.16713
308.3928,0.006472,0.000452,-0.025669,0.026031,-0.277206,0.960449,-0.183456,0,-0.108259,Ground,2.345871,2.058838
308.404,0.00779,0.000499,-0.0257,0.026077,-0.27919,0.959869,-0.183436,0,-0.107451,Ground,2.347824,2.109909
308.4151,0.00779,0.000499,-0.0257,0.026077,-0.27919,0.959869,-0.185911,0,-0.108763,Ground,2.347824,2.109909
308.4262,0.005688,0.000439,-0.02567,0.023788,-0.278778,0.960053,-0.186806,0,-0.113255,Ground,2.3517,2.113449
308.4375,0.000203,0.000276,-0.025565,0.022934,-0.281433,0.959305,-0.186772,0,-0.113775,Ground,2.351791,2.105209
308.4484,0.000203,0.000276,-0.025565,0.022934,-0.281433,0.959305,-0.190239,0,-0.116542,Ground,2.351791,2.105209
308.4595,-0.001128,0.000186,-0.025426,0.026291,-0.286102,0.957825,-0.192776,0,-0.110327,Ground,2.343918,2.086258
308.4706,0.002859,-0.000085,-0.024427,0.035675,-0.300888,0.952988,-0.191852,0,-0.086138,Ground,2.313583,2.129822
308.4818,0.021416,0.00019,-0.024499,-0.031921,-0.309158,0.95047,-0.112651,0,-0.136285,Ground,2.33252,2.021759
308.4929,0.021416,0.00019,-0.024499,-0.031921,-0.309158,0.95047,-0.114905,0,-0.134851,Ground,2.33252,2.021759
308.5039,0.023505,0.000088,-0.024375,-0.035797,-0.307419,0.950882,-0.114204,0,-0.137857,Ground,2.322479,2.129974
