time,head_pos_x,head_pos_y,head_pos_z,head_rot_x,head_rot_y,head_rot_z,left_pos_x,left_pos_y,left_pos_z,left_rot_x,left_rot_y,left_rot_z,right_pos_x,right_pos_y,right_pos_z,right_rot_x,right_rot_y,right_rot_z,grab_force,grab,trigger
1018.058,0.00608,1.582529,0.020876,46.96012,86.22015,0.557394,0,0,0,0,0,0,-0.008939,0.745799,-0.067497,49.63708,65.28844,28.62371,0,False,False
1018.069,0.005724,1.58394,0.020182,46.31539,86.37365,0.664355,0,0,0,0,0,0,-0.007331,0.746337,-0.069594,49.50211,66.94394,26.96148,0,False,False
1018.08,0.00556,1.58544,0.019562,45.62465,86.53674,0.770963,0,0,0,0,0,0,-0.006056,0.746555,-0.07167,49.4331,68.12698,25.18163,0,False,False
1018.091,0.005346,1.587038,0.018952,44.9185,86.70793,0.868873,0,0,0,0,0,0,-0.00546,0.747081,-0.073431,49.25573,68.85094,23.37963,0,False,False
1018.102,0.005202,1.58865,0.018348,44.16782,86.90091,0.968094,0,0,0,0,0,0,-0.004869,0.747519,-0.075363,49.13149,69.57423,21.8305,0,False,False
1018.114,0.005083,1.590397,0.017761,43.34901,87.1081,1.069392,0,0,0,0,0,0,-0.005017,0.747778,-0.076828,49.07434,69.67243,20.70174,0,False,False
1018.125,0.004997,1.592237,0.017177,42.48482,87.30705,1.147112,0,0,0,0,0,0,-0.005648,0.747696,-0.07789,49.10014,69.51538,19.96262,0,False,False
1018.136,0.005005,1.594171,0.016632,41.54341,87.47617,1.22152,0,0,0,0,0,0,-0.006579,0.747747,-0.07922,49.20445,69.22963,19.56073,0,False,False
1018.147,0.004987,1.596165,0.016065,40.54328,87.6282,1.265469,0,0,0,0,0,0,-0.007363,0.747526,-0.08047,49.32113,69.115,19.13973,0,False,False
1018.158,0.005037,1.598403,0.015549,39.4425,87.73308,1.265799,0,0,0,0,0,0,-0.008865,0.747141,-0.081834,49.52241,68.66026,19.28158,0,False,False
1018.169,0.005008,1.600699,0.01504,38.31654,87.80655,1.237182,0,0,0,0,0,0,-0.01018,0.746815,-0.083253,49.66016,68.45805,19.18442,0,False,False
1018.18,0.004953,1.603122,0.014554,37.14436,87.84219,1.176018,0,0,0,0,0,0,-0.011705,0.746231,-0.084416,49.87867,68.00787,19.50476,0,False,False
1018.191,0.004714,1.605588,0.014049,35.94357,87.86298,1.089785,0,0,0,0,0,0,-0.013405,0.74556,-0.085901,50.07514,67.66829,19.78635,0,False,False
1018.202,0.004383,1.608068,0.013569,34.75937,87.86784,1.040392,0,0,0,0,0,0,-0.015287,0.744778,-0.08713,50.34433,67.18724,20.5508,0,False,False
1018.214,0.003911,1.610418,0.013151,33.60446,87.87552,0.997111,0,0,0,0,0,0,-0.017408,0.743889,-0.08849,50.6406,66.7209,21.38729,0,False,False
1018.224,0.003302,1.612734,0.012735,32.49777,87.86568,1.004398,0,0,0,0,0,0,-0.019586,0.742961,-0.089723,50.99417,66.20766,22.24742,0,False,False
1018.236,0.002575,1.614877,0.012326,31.441,87.84191,1.015658,0,0,0,0,0,0,-0.021839,0.741873,-0.091055,51.38033,65.68148,23.09354,0,False,False
1018.247,0.001684,1.616841,0.011961,30.47499,87.7952,1.045401,0,0,0,0,0,0,-0.02404,0.740805,-0.092304,51.77434,65.18469,23.79857,0,False,False
1018.258,0.000745,1.618791,0.011601,29.57545,87.73537,1.054869,0,0,0,0,0,0,-0.026465,0.73967,-0.093612,52.27248,64.63043,24.46505,0,False,False
1018.269,-0.000325,1.620435,0.011313,28.78992,87.65733,1.06767,0,0,0,0,0,0,-0.029066,0.738423,-0.094965,52.79589,64.08676,24.93958,0,False,False
1018.28,-0.001418,1.622008,0.011028,28.07513,87.58842,1.042758,0,0,0,0,0,0,-0.031465,0.737278,-0.09621,53.35976,63.55462,25.2534,0,False,False
1018.291,-0.002529,1.623272,0.010738,27.50058,87.49812,1.016507,0,0,0,0,0,0,-0.033991,0.736092,-0.097561,53.90477,63.05485,25.5335,0,False,False
1018.302,-0.003715,1.624331,0.010481,27.03494,87.41794,0.945078,0,0,0,0,0,0,-0.036298,0.734996,-0.098807,54.47721,62.61536,25.54365,0,False,False
1018.313,-0.004792,1.625256,0.010232,26.63109,87.34671,0.898152,0,0,0,0,0,0,-0.03862,0.733701,-0.100112,55.04816,62.24317,25.42042,0,False,False
1018.325,-0.005908,1.625801,0.009979,26.40215,87.27032,0.816544,0,0,0,0,0,0,-0.040679,0.732456,-0.101444,55.6188,61.932,25.27763,0,False,False
1018.336,-0.006914,1.626319,0.009755,26.23354,87.19588,0.763736,0,0,0,0,0,0,-0.042591,0.731473,-0.10262,56.1602,61.68117,25.04805,0,False,False
1018.347,-0.007911,1.626418,0.009554,26.20299,87.10599,0.709022,0,0,0,0,0,0,-0.044471,0.730378,-0.103811,56.6986,61.40588,24.8131,0,False,False
1018.358,-0.0089,1.626442,0.009334,26.21322,87.03141,0.685079,0,0,0,0,0,0,-0.046092,0.729479,-0.104944,57.2153,61.20866,24.45822,0,False,False
1018.369,-0.009709,1.626183,0.009155,26.41765,86.92519,0.663666,0,0,0,0,0,0,-0.047494,0.728767,-0.105802,57.72625,61.07644,24.06858,0,False,False
