time,ori_x,ori_y,ori_z,dir_x,dir_y,dir_z,gaze_x,gaze_y,gaze_z,gaze_object,pupil_l,pupil_r
770.6606,-0.029872,-0.001889,-0.019707,0.578995,-0.103851,0.808685,-99999,-99999,-99999,,3.101852,3.030273
770.672,-0.026018,-0.001501,-0.020558,0.52507,-0.080063,0.847275,-99999,-99999,-99999,,3.122757,2.814117
770.6827,-0.026018,-0.001501,-0.020558,0.52507,-0.080063,0.847275,-99999,-99999,-99999,,3.122757,2.814117
770.6938,-0.02723,-0.001402,-0.020884,0.476379,-0.09108,0.874497,-99999,-99999,-99999,,3.140381,2.995148
770.7051,-0.029191,-0.001206,-0.021524,0.42157,-0.110718,0.900009,-99999,-99999,-99999,,2.946426,2.948837
770.7161,-0.029298,-0.001185,-0.021447,0.392685,-0.095871,0.914642,-99999,-99999,-99999,,3.037109,2.973328
770.7274,-0.029298,-0.001185,-0.021447,0.392685,-0.095871,0.914642,-99999,-99999,-99999,,3.037109,2.973328
770.7384,-0.028969,-0.001286,-0.020917,0.363144,-0.09874,0.926468,-99999,-99999,-99999,,2.752655,2.867722
770.7495,-0.028772,-0.001278,-0.020818,0.339706,-0.105179,0.934616,-99999,-99999,-99999,,3.029678,2.963531
770.7606,-0.028772,-0.001278,-0.020818,0.339706,-0.105179,0.934616,-99999,-99999,-99999,,3.029678,2.963531
770.7718,-0.028734,-0.001275,-0.021029,0.336426,-0.101074,0.936264,-99999,-99999,-99999,,3.057816,2.959396
770.7827,-0.027476,-0.0012,-0.021558,0.403778,-0.091263,0.910278,-99999,-99999,-99999,,3.006302,2.932419
770.7943,-0.027476,-0.0012,-0.021558,0.403778,-0.091263,0.910278,-99999,-99999,-99999,,3.006302,2.932419
770.8049,-0.029555,-0.001297,-0.021469,0.446274,-0.087723,0.890579,6.805267,0,44.48938,Ground,3.213272,2.944504
770.816,-0.02962,-0.001366,-0.021119,0.472458,-0.080811,0.877625,8.618108,0,40.32886,Ground,3.211807,2.898132
770.8272,-0.029678,-0.001316,-0.021222,0.481201,-0.093842,0.871567,6.584496,0,26.14254,Ground,3.255829,2.963959
770.8383,-0.029678,-0.001316,-0.021222,0.481201,-0.093842,0.871567,6.621609,0,23.57627,Ground,3.255829,2.963959
770.8495,-0.029288,-0.001242,-0.021287,0.486755,-0.067383,0.870926,10.71455,0,33.56887,Ground,3.170715,2.90567
770.8605,0.008615,-0.000681,-0.020772,0.500565,-0.05455,0.863968,13.68239,0,37.26103,Ground,3.075714,2.819748
770.8716,-0.004036,-0.000895,-0.020665,0.450119,-0.065094,0.890579,10.1066,0,30.68098,Ground,3.100601,2.920593
770.8828,-0.004036,-0.000895,-0.020665,0.450119,-0.065094,0.890579,9.742882,0,27.38771,Ground,3.100601,2.920593
770.8939,-0.027916,-0.001278,-0.020483,0.39386,-0.078003,0.915848,7.228621,0,23.25053,Ground,2.888733,2.97049
770.9049,-0.028618,-0.001249,-0.020528,0.37178,-0.075211,0.925263,7.233722,0,23.44864,Ground,3.065842,2.868011
770.9161,-0.028618,-0.001249,-0.020528,0.37178,-0.075211,0.925263,7.17594,0,21.65657,Ground,3.065842,2.868011
770.9273,-0.028779,-0.001122,-0.020724,0.330093,-0.064957,0.941696,7.799951,0,25.53524,Ground,2.866745,2.803391
770.9384,-0.028212,-0.00109,-0.020652,0.308182,-0.061066,0.949356,7.928569,0,26.3518,Ground,3.024704,2.814743
770.9493,-0.028212,-0.00109,-0.020652,0.308182,-0.061066,0.949356,7.691964,0,24.1535,Ground,3.024704,2.814743
770.9606,-0.027863,-0.001333,-0.019693,0.29953,-0.059875,0.952194,7.527915,0,23.12591,Ground,2.869125,2.922668
770.9716,-0.02637,-0.001469,-0.019043,0.282669,-0.057022,0.957504,7.458587,0,23.05139,Ground,2.935699,2.850693
770.9827,-0.026891,-0.001448,-0.019017,0.26619,-0.053375,0.962433,7.449369,0,23.20247,Ground,2.866318,2.976074
770.9939,-0.026891,-0.001448,-0.019017,0.26619,-0.053375,0.962433,7.278694,0,21.61449,Ground,2.866318,2.976074
771.0049,-0.025432,-0.001437,-0.018883,0.23941,-0.030075,0.970444,10.20172,0,31.45418,Ground,2.842453,2.826691
771.0161,-0.020385,-0.00124,-0.019443,0.310104,-0.034607,0.950058,9.862085,0,23.331,Ground,2.957809,2.823807
771.0272,-0.020385,-0.00124,-0.019443,0.310104,-0.034607,0.950058,9.628591,0,21.90028,Ground,2.957809,2.823807
771.0385,-0.027315,-0.000919,-0.021002,0.358749,-0.036652,0.932709,9.669706,0,18.53597,Ground,3.099533,2.791077
771.0494,-0.027507,-0.001097,-0.020466,0.424973,-0.01947,0.904984,12.75294,0,19.90022,Ground,3.014236,2.913254
771.0604,-0.027507,-0.001097,-0.020466,0.424973,-0.01947,0.904984,12.46859,0,18.78718,Ground,3.014236,2.913254
771.0717,-0.000447,-0.000599,-0.020381,0.48494,-0.000839,0.874542,16.70805,0,21.08171,Ground,3.000641,3.052475
771.0826,-0.029146,-0.001472,-0.019261,0.44957,-0.004196,0.893219,15.20607,0,20.22942,Ground,3.12706,2.982758
771.0937,-0.02918,-0.001383,-0.019537,0.432449,0.000656,0.901642,15.97089,0,21.45418,Ground,3.107666,2.926025
771.105,-0.02918,-0.001383,-0.019537,0.432449,0.000656,0.901642,15.45492,0,20.19144,Ground,3.107666,2.926025
771.1158,-0.028159,-0.00128,-0.019709,0.406891,-0.005859,0.913437,13.40359,0,18.11666,Ground,2.98555,2.844757
771.1271,-0.02892,-0.001176,-0.019955,0.384857,-0.014069,0.922852,11.64964,0,16.1725,Ground,3.081055,2.858017
771.1381,-0.02892,-0.001176,-0.019955,0.384857,-0.014069,0.922852,11.5027,0,15.6033,Ground,3.081055,2.858017
771.1492,-0.028818,-0.001215,-0.019619,0.37178,0.00296,0.928299,14.37634,0,19.64935,Ground,3.025421,2.838623
771.1605,-0.026038,-0.001228,-0.019234,0.364517,0.016678,0.93103,17.77725,0,24.20883,Ground,2.984573,2.740845
771.1715,-0.015203,-0.000992,-0.019331,0.361252,0.020432,0.932236,18.69969,0,25.32018,Ground,3.073105,2.808487
771.183,-0.015203,-0.000992,-0.019331,0.361252,0.020432,0.932236,18.04182,0,24.15245,Ground,3.073105,2.808487
771.1938,-0.007943,-0.000948,-0.019072,0.370361,0.022171,0.928619,18.09035,0,23.54698,Ground,3.099091,2.824936
771.2048,-0.01285,-0.000893,-0.019555,0.3452,0.016434,0.93837,15.90103,0,21.78767,Ground,2.964493,2.823898
771.2159,-0.01285,-0.000893,-0.019555,0.3452,0.016434,0.93837,15.56492,0,21.21244,Ground,2.964493,2.823898
771.2271,-0.017029,-0.001097,-0.018991,0.339722,0.024063,0.940201,17.45063,0,23.96815,Ground,3.04982,2.846786
771.238,-0.018101,-0.001129,-0.018839,0.334671,0.023087,0.942047,16.67685,0,23.1911,Ground,2.894165,2.87999
771.2491,-0.014813,-0.000931,-0.019284,0.329285,0.018677,0.944031,14.98542,0,21.14734,Ground,2.88121,2.757202
771.2604,-0.014813,-0.000931,-0.019284,0.329285,0.018677,0.944031,14.68041,0,20.84039,Ground,2.88121,2.757202
771.2714,-0.013331,-0.00087,-0.019322,0.31781,0.030655,0.947647,17.82149,0,26.08309,Ground,2.882538,2.83934
771.2825,-0.004799,-0.000658,-0.019577,0.321655,0.034729,0.946213,19.07796,0,27.99191,Ground,2.900925,2.703415
771.2938,-0.004799,-0.000658,-0.019577,0.321655,0.034729,0.946213,18.67863,0,27.81267,Ground,2.900925,2.703415
771.3047,0.009612,-0.000344,-0.020046,0.333557,0.042282,0.941773,21.95017,0,32.39246,Ground,2.853638,2.78775
771.3158,0.009985,-0.000354,-0.020035,0.33609,0.043045,0.940842,22.10396,0,33.18098,Ground,2.834122,2.765015
771.3269,0.004398,-0.000524,-0.019766,0.335907,0.044037,0.940857,22.38449,0,34.56405,Ground,2.860168,2.804672
771.3382,0.004398,-0.000524,-0.019766,0.335907,0.044037,0.940857,22.15709,0,35.38512,Ground,2.860168,2.804672
771.3493,-0.011233,-0.001197,-0.018083,0.358444,0.03978,0.932694,19.84334,0,31.15738,Ground,2.974396,2.960281
771.3602,-0.024024,-0.000977,-0.019321,0.33374,0.034027,0.942047,17.06761,0,29.67621,Ground,2.911652,2.782776
771.3715,-0.024024,-0.000977,-0.019321,0.33374,0.034027,0.942047,16.96587,0,30.8373,Ground,2.911652,2.782776
771.3826,-0.019971,-0.001131,-0.017944,0.336685,0.052811,0.940125,-99999,-99999,-99999,,3.04184,2.891602
771.3937,-0.02701,-0.00166,-0.015307,0.285416,0.115616,0.951401,-99999,-99999,-99999,,2.936951,3.055893
771.4047,-0.02701,-0.00166,-0.015307,0.285416,0.115616,0.951401,-99999,-99999,-99999,,2.936951,3.055893
771.4158,-0.017207,-0.001607,-0.014061,0.249786,0.168594,0.953507,-99999,-99999,-99999,,2.924133,3.192596
771.4269,0,0,0,0,0,1,-99999,-99999,-99999,,2.896515,1.884857
