experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,trial_no,scene,target,response_mode,shift_x,shift_y,shift_z,view_rotation,preview_label,t_starting_pos,standing_y_rotation,target_label,target_pos_x,target_pos_y,target_pos_z,target_euler_x,target_euler_y,target_euler_z,target_bbox_center_x,target_bbox_center_y,target_bbox_center_z,target_bbox_size_x,target_bbox_size_y,target_bbox_size_z,t_scene_preview_start,t_scene_preview_end,t_response_start,t_response_end,response_pos_x_pivot,response_pos_y_pivot,response_pos_z_pivot,response_euler_x,response_euler_y,response_euler_z,tar_error_pos,tar_error_pos_x,tar_error_pos_y,tar_error_pos_z,tar_error_angle,tar_error_euler_x,tar_error_euler_y,tar_error_euler_z,standing_pos_x,standing_pos_y,standing_pos_z,VR_move_location_0,Eye_gaze_location_0
Pilot_Office_stick,7,1,1,1,1,316.1743,439.3211,5,O02,O02_L11,stick,0,0,0,270,Cookies,371.793,267.5499,cookies,-1.527065,0.775583,0.496761,0,36.522,0,-1.527065,0.793719,0.496761,0.274797,0.07267,0.274796,376.9946,413.0765,415.0867,438.2993,-1.506817,0.78163,0.493333,66.00072,280.3533,106.2164,0.021408,0.020248,0.006047,-0.003427,168.1095,66.00072,243.8313,106.2164,-1.14233,1.414416,0.159879,Pilot_Office_stick/7/S001/trackers/VR_move_T001.csv,Pilot_Office_stick/7/S001/trackers/Eye_gaze_T001.csv
Pilot_Office_stick,7,1,2,1,2,440.3275,473.1699,10,O02,O02_L06,stick,0,0,0,270,Lamp,451.6453,270.4686,desklamp,-1.794875,0.765892,0.397152,355.5128,118.53,358.3776,-1.759872,1.074492,0.504581,0.517692,0.639956,0.658181,452.1562,466.9281,468.9384,472.1482,-1.787343,0.771793,0.367509,60.63296,250.1297,105.5825,0.03115,0.007532,0.005901,-0.029644,113.1954,-294.8799,131.5997,-252.795,-1.39607,1.445018,0.121994,Pilot_Office_stick/7/S001/trackers/VR_move_T002.csv,Pilot_Office_stick/7/S001/trackers/Eye_gaze_T002.csv
Pilot_Office_stick,7,1,3,1,3,474.1806,503.4354,7,O02,O02_L18,stick,0,0,0,180,Helicopter,482.2884,177.883,helicopter,0.582935,0.518954,-1.327039,0,339.398,0,0.527807,0.624263,-1.343417,0.599171,0.211206,0.5392,482.7994,497.4157,499.4261,502.4136,0.609532,0.521434,-1.261652,46.5249,145.8305,51.0369,0.070632,0.026596,0.00248,0.065387,149.0421,46.5249,-193.5675,51.0369,0.588093,1.287909,-0.903679,Pilot_Office_stick/7/S001/trackers/VR_move_T003.csv,Pilot_Office_stick/7/S001/trackers/Eye_gaze_T003.csv
Pilot_Office_stick,7,1,4,1,4,504.446,527.1036,3,O02,O02_L01,stick,0,0,0,180,Sushi,513.5313,181.0027,sushi,0.024424,0.523493,-1.377002,359.1866,216.5073,358.2385,0.023787,0.554909,-1.37584,0.503964,0.185142,0.504825,514.0422,520.7842,522.7943,526.0818,0.04002,0.526138,-1.335184,54.43687,152.018,74.271,0.04471,0.015596,0.002644,0.041818,127.5171,-304.7498,-64.48932,-283.9675,0.138902,1.290624,-0.935589,Pilot_Office_stick/7/S001/trackers/VR_move_T004.csv,Pilot_Office_stick/7/S001/trackers/Eye_gaze_T004.csv
Pilot_Office_stick,7,1,5,1,5,528.1144,542.7862,3,O02,O02_L01,stick,0,0,0,180,Sushi,530.4467,182.4516,sushi,0.024424,0.523493,-1.377002,359.1866,216.5073,358.2385,0.023787,0.554909,-1.37584,0.503964,0.185142,0.504825,530.9577,535.7557,537.7664,541.7644,0.037632,0.529962,-1.392111,48.11378,150.5643,92.27122,0.021085,0.013208,0.006469,-0.015108,137.6862,-311.0728,-65.94295,-265.9673,0.116672,1.244521,-0.996023,Pilot_Office_stick/7/S001/trackers/VR_move_T005.csv,Pilot_Office_stick/7/S001/trackers/Eye_gaze_T005.csv
Pilot_Office_stick,7,1,6,1,6,543.7968,563.5888,10,O02,O02_L06,stick,0,0,0,270,Lamp,554.2816,272.2243,desklamp,-1.794875,0.765892,0.397152,355.5128,118.53,358.3776,-1.759872,1.074492,0.504581,0.517692,0.639956,0.658181,554.7924,557.4915,559.502,562.5671,-1.787943,0.777457,0.375244,38.41854,257.0402,107.3487,0.025725,0.006932,0.011565,-0.021908,131.1347,-317.0943,138.5102,-251.0288,-1.303055,1.404305,0.116284,Pilot_Office_stick/7/S001/trackers/VR_move_T006.csv,Pilot_Office_stick/7/S001/trackers/Eye_gaze_T006.csv
Pilot_Office_stick,7,1,7,1,7,564.5995,607.8821,5,O02,O02_L11,stick,0,0,0,270,Cookies,571.0524,269.5689,cookies,-1.527065,0.775583,0.496761,0,36.522,0,-1.527065,0.793719,0.496761,0.274797,0.07267,0.274796,571.5634,602.1624,604.1725,606.8605,-1.498181,0.77908,0.470615,43.29832,268.244,107.1324,0.039116,0.028884,0.003497,-0.026146,176.9844,43.29832,231.722,107.1324,-1.069396,1.395791,0.112166,Pilot_Office_stick/7/S001/trackers/VR_move_T007.csv,Pilot_Office_stick/7/S001/trackers/Eye_gaze_T007.csv
Pilot_Office_stick,7,1,8,1,8,608.8928,643.6897,9,O02,O02_L05,stick,0,0,0,0,Telephone,615.3679,2.587168,landline,-0.743321,0.696754,1.575369,0,211.359,0,-0.740645,0.79142,1.579673,0.272401,0.189332,0.235766,615.8787,622.6982,624.7085,642.668,-0.687036,0.698266,1.548244,42.7483,316.0632,102.1267,0.062499,0.056285,0.001512,-0.027126,108.8276,42.7483,104.7042,102.1267,-0.599529,1.374967,1.014223,Pilot_Office_stick/7/S001/trackers/VR_move_T008.csv,Pilot_Office_stick/7/S001/trackers/Eye_gaze_T008.csv
Pilot_Office_stick,7,1,9,1,9,644.7004,663.2707,10,O02,O02_L06,stick,0,0,0,270,Lamp,649.6096,273.7825,desklamp,-1.794875,0.765892,0.397152,355.5128,118.53,358.3776,-1.759872,1.074492,0.504581,0.517692,0.639956,0.658181,650.1205,657.8176,659.8279,662.2491,-1.785294,0.771878,0.390563,58.82443,257.2903,136.9834,0.013078,0.009581,0.005986,-0.006589,119.241,-296.6884,138.7603,-221.3942,-1.274436,1.369329,0.10011,Pilot_Office_stick/7/S001/trackers/VR_move_T009.csv,Pilot_Office_stick/7/S001/trackers/Eye_gaze_T009.csv
Pilot_Office_stick,7,1,10,1,10,664.2816,675.1882,10,O02,O02_L06,stick,0,0,0,270,Lamp,665.6586,278.6207,desklamp,-1.794875,0.765892,0.397152,355.5128,118.53,358.3776,-1.759872,1.074492,0.504581,0.517692,0.639956,0.658181,666.1696,669.0685,671.0788,674.1664,-1.77334,0.771771,0.372389,50.36724,257.3682,120.9861,0.033339,0.021535,0.005879,-0.024763,123.9452,-305.1456,138.8381,-237.3915,-1.269545,1.374534,0.092167,Pilot_Office_stick/7/S001/trackers/VR_move_T010.csv,Pilot_Office_stick/7/S001/trackers/Eye_gaze_T010.csv
