time,head_pos_x,head_pos_y,head_pos_z,head_rot_x,head_rot_y,head_rot_z,left_pos_x,left_pos_y,left_pos_z,left_rot_x,left_rot_y,left_rot_z,right_pos_x,right_pos_y,right_pos_z,right_rot_x,right_rot_y,right_rot_z,grab_force,grab,trigger
445.5569,-0.01193,1.52194,-0.204206,63.70828,187.3547,3.710613,0,0,0,0,0,0,-0.289236,0.755392,-0.050426,46.52758,223.8085,55.40169,0,False,False
445.5683,-0.015941,1.521882,-0.200484,63.5418,187.2857,3.970147,0,0,0,0,0,0,-0.291168,0.755183,-0.054169,46.55643,221.9533,54.71059,0,False,False
445.579,-0.01994,1.521818,-0.196776,63.39286,187.2112,4.243955,0,0,0,0,0,0,-0.292563,0.754953,-0.05759,46.62072,219.9084,54.03096,0,False,False
445.5901,-0.023901,1.521705,-0.193017,63.25138,187.1212,4.513425,0,0,0,0,0,0,-0.29417,0.754913,-0.061182,46.60244,217.9812,53.3534,0,False,False
445.6013,-0.027772,1.521582,-0.189358,63.14994,187.061,4.824516,0,0,0,0,0,0,-0.295234,0.754664,-0.064772,46.52716,215.8063,52.70505,0,False,False
445.6124,-0.031703,1.521388,-0.185641,63.07561,186.9665,5.130618,0,0,0,0,0,0,-0.296037,0.754743,-0.068022,46.37637,213.6379,52.16876,0,False,False
445.6234,-0.035474,1.521301,-0.182062,63.08701,186.8763,5.449939,0,0,0,0,0,0,-0.29699,0.754938,-0.071362,46.1233,211.4521,51.6947,0,False,False
445.6346,-0.039233,1.521218,-0.178541,63.14674,186.7699,5.748433,0,0,0,0,0,0,-0.297959,0.755091,-0.074569,45.84586,209.3567,51.26255,0,False,False
445.6458,-0.042891,1.52113,-0.175207,63.25236,186.6851,6.107238,0,0,0,0,0,0,-0.298821,0.755554,-0.077449,45.51327,207.2977,50.93663,0,False,False
445.657,-0.04644,1.52094,-0.17185,63.31149,186.6016,6.480505,0,0,0,0,0,0,-0.299427,0.756406,-0.080131,45.16797,205.2711,50.73695,0,False,False
445.6679,-0.049584,1.52078,-0.169176,63.3845,186.4026,6.743586,0,0,0,0,0,0,-0.299937,0.756934,-0.082574,44.86354,203.3593,50.5122,0,False,False
445.6791,-0.053008,1.520301,-0.165706,63.45851,186.2035,7.026104,0,0,0,0,0,0,-0.300496,0.757706,-0.084823,44.55514,201.4471,50.42278,0,False,False
445.6902,-0.056574,1.519952,-0.162235,63.53806,185.9471,7.234445,0,0,0,0,0,0,-0.300805,0.758314,-0.08669,44.31625,199.6202,50.37667,0,False,False
445.7012,-0.059691,1.519217,-0.158806,63.72308,185.7269,7.446903,0,0,0,0,0,0,-0.30138,0.759024,-0.088459,44.06837,197.786,50.2958,0,False,False
445.7123,-0.062745,1.518155,-0.155023,63.96602,185.4624,7.57608,0,0,0,0,0,0,-0.301836,0.759876,-0.090275,43.81878,196.1007,50.26016,0,False,False
445.7234,-0.065791,1.517417,-0.151537,64.27896,185.226,7.708185,0,0,0,0,0,0,-0.302339,0.760823,-0.091468,43.5764,194.4184,50.21861,0,False,False
445.7346,-0.068591,1.516302,-0.147899,64.67104,185.032,7.830618,0,0,0,0,0,0,-0.303085,0.761717,-0.092358,43.35251,192.8259,50.21013,0,False,False
445.7457,-0.071161,1.515304,-0.144231,65.11238,184.8379,7.935531,0,0,0,0,0,0,-0.30381,0.762626,-0.093117,43.12861,191.3017,50.17863,0,False,False
445.7568,-0.073541,1.514059,-0.140829,65.60221,184.6763,8.012465,0,0,0,0,0,0,-0.304496,0.76359,-0.093794,42.92549,189.8325,50.11069,0,False,False
445.768,-0.075862,1.512888,-0.137395,66.07602,184.5108,8.118724,0,0,0,0,0,0,-0.305039,0.764538,-0.094241,42.68438,188.4846,50.00745,0,False,False
445.7789,-0.078071,1.511931,-0.134042,66.58335,184.3382,8.226495,0,0,0,0,0,0,-0.305947,0.765587,-0.094332,42.4459,187.2685,49.89182,0,False,False
445.7902,-0.080111,1.511261,-0.130651,67.11362,184.1131,8.292299,0,0,0,0,0,0,-0.306868,0.766605,-0.094307,42.16473,186.1581,49.83871,0,False,False
445.8011,-0.08192,1.510823,-0.127447,67.59631,183.9015,8.378955,0,0,0,0,0,0,-0.30792,0.767657,-0.094392,41.89949,185.0971,49.79299,0,False,False
445.8123,-0.083539,1.51071,-0.124396,67.97771,183.6061,8.366312,0,0,0,0,0,0,-0.309254,0.768558,-0.094082,41.57791,184.3229,49.84077,0,False,False
445.8235,-0.085073,1.510677,-0.121404,68.25909,183.2137,8.247921,0,0,0,0,0,0,-0.310762,0.769536,-0.093432,41.24766,183.822,49.88255,0,False,False
445.8345,-0.086317,1.511017,-0.118707,68.39037,182.7448,8.026837,0,0,0,0,0,0,-0.312239,0.770519,-0.092889,40.95364,183.2678,49.89148,0,False,False
445.8456,-0.08758,1.511307,-0.116099,68.38831,182.1913,7.714206,0,0,0,0,0,0,-0.314122,0.771208,-0.091897,40.66234,183.018,49.94146,0,False,False
445.8569,-0.088635,1.51203,-0.113934,68.21358,181.5622,7.332681,0,0,0,0,0,0,-0.316004,0.771871,-0.090916,40.41034,182.7634,49.96707,0,False,False
445.868,-0.08949,1.512787,-0.111937,67.97286,180.8961,6.89673,0,0,0,0,0,0,-0.318091,0.772326,-0.089569,40.23411,182.8042,49.96485,0,False,False
445.8789,-0.090379,1.513454,-0.109739,67.73466,180.2045,6.468039,0,0,0,0,0,0,-0.32027,0.772542,-0.087981,40.12049,182.9357,49.94829,0,False,False
445.89,-0.091075,1.514507,-0.107905,67.44977,179.4684,6.043653,0,0,0,0,0,0,-0.322504,0.772367,-0.085999,40.1119,183.1622,49.9145,0,False,False
445.9011,-0.091738,1.515436,-0.105786,67.17822,178.7125,5.582778,0,0,0,0,0,0,-0.324689,0.772095,-0.08398,40.12819,183.3168,49.89415,0,False,False
445.9122,-0.092282,1.516623,-0.103962,66.89791,177.9412,5.101241,0,0,0,0,0,0,-0.326808,0.771297,-0.081087,40.33107,183.6101,49.89124,0,False,False
445.9235,-0.092738,1.517682,-0.102049,66.5799,177.1756,4.575518,0,0,0,0,0,0,-0.329077,0.77009,-0.078037,40.67143,183.8839,49.98347,0,False,False
445.9344,-0.093173,1.518803,-0.100236,66.23315,176.4371,4.012048,0,0,0,0,0,0,-0.331243,0.768605,-0.074839,41.12087,184.1525,50.14526,0,False,False
445.9456,-0.09374,1.519958,-0.098385,65.92068,175.7488,3.475228,0,0,0,0,0,0,-0.333351,0.766807,-0.07118,41.67846,184.4979,50.37399,0,False,False
