time,head_pos_x,head_pos_y,head_pos_z,head_rot_x,head_rot_y,head_rot_z,left_pos_x,left_pos_y,left_pos_z,left_rot_x,left_rot_y,left_rot_z,right_pos_x,right_pos_y,right_pos_z,right_rot_x,right_rot_y,right_rot_z,grab_force,grab,trigger
451.3097,-0.161444,1.585705,0.056256,68.32555,263.889,349.0153,0,0,0,0,0,0,-0.038534,0.814194,0.381886,66.58076,291.7542,32.75473,0,False,False
451.3209,-0.16148,1.585691,0.056292,68.32542,263.8916,349.0182,0,0,0,0,0,0,-0.035839,0.81268,0.380548,66.89916,291.8713,33.00082,0,False,False
451.3318,-0.16156,1.585709,0.056309,68.33291,263.8884,349.0307,0,0,0,0,0,0,-0.03265,0.811219,0.379121,67.26464,292.0675,33.30747,0,False,False
451.3429,-0.161655,1.585699,0.056317,68.31641,263.8917,349.0495,0,0,0,0,0,0,-0.029419,0.809695,0.377736,67.68305,292.264,33.61258,0,False,False
451.3541,-0.16182,1.585683,0.056311,68.31996,263.8495,349.0421,0,0,0,0,0,0,-0.026085,0.808019,0.376407,68.15733,292.4468,33.92962,0,False,False
451.3652,-0.161937,1.585642,0.056222,68.30743,263.8308,349.0373,0,0,0,0,0,0,-0.022789,0.806603,0.374969,68.64799,292.588,34.20198,0,False,False
451.3762,-0.162073,1.585631,0.056204,68.2991,263.8051,349.0396,0,0,0,0,0,0,-0.019363,0.805151,0.373499,69.14544,292.7152,34.47182,0,False,False
451.3873,-0.162185,1.585576,0.05613,68.30296,263.7609,349.0135,0,0,0,0,0,0,-0.016014,0.803782,0.372131,69.60393,292.8282,34.73986,0,False,False
451.3985,-0.162309,1.58552,0.056072,68.29762,263.7315,348.9946,0,0,0,0,0,0,-0.012568,0.802468,0.370809,70.0554,292.9219,34.95174,0,False,False
451.4095,-0.162375,1.585423,0.055988,68.30757,263.6782,348.9431,0,0,0,0,0,0,-0.009154,0.801123,0.369564,70.47315,293.0438,35.1657,0,False,False
451.4207,-0.162465,1.585312,0.055878,68.31045,263.6302,348.9172,0,0,0,0,0,0,-0.005769,0.79989,0.36835,70.90476,293.2364,35.45759,0,False,False
451.4318,-0.162562,1.585217,0.055764,68.3261,263.553,348.8638,0,0,0,0,0,0,-0.002292,0.798834,0.367429,71.32988,293.4784,35.76162,0,False,False
451.4429,-0.162658,1.585099,0.055594,68.35422,263.4836,348.8295,0,0,0,0,0,0,0.000927,0.79774,0.366364,71.75625,293.6766,36.0522,0,False,False
451.454,-0.162776,1.585,0.055452,68.39152,263.4192,348.8014,0,0,0,0,0,0,0.004072,0.796652,0.365351,72.18243,293.8125,36.33018,0,False,False
451.4652,-0.16281,1.584889,0.055338,68.40884,263.3614,348.7996,0,0,0,0,0,0,0.006922,0.795731,0.364394,72.55502,293.8668,36.53502,0,False,False
451.4761,-0.162898,1.584776,0.055145,68.44378,263.2661,348.751,0,0,0,0,0,0,0.009726,0.794897,0.36352,72.89839,293.8947,36.74769,0,False,False
451.4872,-0.162965,1.584634,0.05501,68.45634,263.1738,348.7138,0,0,0,0,0,0,0.012533,0.794055,0.362616,73.26174,293.9313,36.9566,0,False,False
451.4985,-0.163029,1.58453,0.054832,68.48627,263.0981,348.6793,0,0,0,0,0,0,0.015034,0.793354,0.361787,73.57415,293.8663,37.12495,0,False,False
451.5095,-0.163112,1.584394,0.054615,68.48172,263.0351,348.6693,0,0,0,0,0,0,0.017393,0.792688,0.36115,73.85303,293.792,37.30658,0,False,False
451.5207,-0.163194,1.584276,0.054417,68.50692,262.9963,348.6695,0,0,0,0,0,0,0.019486,0.792177,0.360631,74.11419,293.7248,37.50174,0,False,False
451.5317,-0.163197,1.584211,0.054237,68.51949,262.9404,348.657,0,0,0,0,0,0,0.021451,0.791711,0.360157,74.35275,293.6415,37.66035,0,False,False
451.5429,-0.16318,1.584132,0.054021,68.53233,262.8884,348.655,0,0,0,0,0,0,0.023229,0.791313,0.359839,74.57686,293.6207,37.83711,0,False,False
451.5542,-0.163161,1.584059,0.053832,68.55312,262.8226,348.6468,0,0,0,0,0,0,0.025081,0.790882,0.359527,74.80654,293.6503,38.05575,0,False,False
451.5653,-0.163086,1.584063,0.053588,68.57523,262.7903,348.6832,0,0,0,0,0,0,0.026416,0.790568,0.359506,74.99727,293.7665,38.2932,0,False,False
451.5762,-0.162921,1.584098,0.053346,68.57037,262.7359,348.6974,0,0,0,0,0,0,0.027561,0.790314,0.359613,75.12004,293.9227,38.563,0,False,False
451.5872,-0.162799,1.584146,0.053084,68.55227,262.6976,348.7344,0,0,0,0,0,0,0.028465,0.790161,0.359777,75.19662,294.2321,38.96826,0,False,False
451.5984,-0.162647,1.584316,0.052833,68.5153,262.6713,348.7724,0,0,0,0,0,0,0.029372,0.789872,0.360011,75.28407,294.5197,39.3628,0,False,False
451.6095,-0.16252,1.584466,0.052529,68.48566,262.637,348.7952,0,0,0,0,0,0,0.029655,0.789834,0.360415,75.29709,294.831,39.73926,0,False,False
451.6207,-0.162365,1.584714,0.052203,68.42604,262.6335,348.8711,0,0,0,0,0,0,0.029884,0.789771,0.360958,75.30934,295.1706,40.1488,0,False,False
451.6317,-0.162181,1.584998,0.05186,68.35069,262.6467,348.9559,0,0,0,0,0,0,0.029903,0.789674,0.361554,75.2787,295.4623,40.51506,0,False,False
451.6428,-0.162039,1.585312,0.051484,68.27151,262.6554,349.0473,0,0,0,0,0,0,0.02997,0.789614,0.362049,75.25391,295.7226,40.87231,0,False,False
451.6538,-0.16184,1.585644,0.051059,68.16203,262.6471,349.1474,0,0,0,0,0,0,0.029529,0.78954,0.362769,75.17197,295.991,41.23306,0,False,False
451.6652,-0.161622,1.586058,0.050626,68.05627,262.6468,349.2664,0,0,0,0,0,0,0.028894,0.789516,0.363469,75.07639,296.324,41.69822,0,False,False
451.6761,-0.161401,1.586572,0.050126,67.91319,262.6659,349.4131,0,0,0,0,0,0,0.028268,0.789524,0.36411,75.01481,296.6254,42.16257,0,False,False
451.6872,-0.161161,1.587159,0.049591,67.75074,262.6664,349.555,0,0,0,0,0,0,0.027236,0.789586,0.364745,74.9441,296.8573,42.62158,0,False,False
451.6984,-0.160956,1.587773,0.048997,67.58184,262.6747,349.7279,0,0,0,0,0,0,0.026243,0.789567,0.365289,74.87437,297.0492,43.00979,0,False,False
451.7095,-0.160669,1.588566,0.048389,67.39105,262.6433,349.8806,0,0,0,0,0,0,0.024714,0.789624,0.36571,74.78567,296.9726,43.17234,0,False,False
451.7205,-0.160466,1.589372,0.047655,67.17788,262.6122,350.0587,0,0,0,0,0,0,0.023496,0.789639,0.366165,74.7137,296.9544,43.34734,0,False,False
