time,ori_x,ori_y,ori_z,dir_x,dir_y,dir_z,gaze_x,gaze_y,gaze_z,gaze_object,pupil_l,pupil_r
193.3174,-0.018235,-0.006707,-0.021586,-0.007065,-0.165329,0.986206,0.349734,0,-0.013425,Ground,2.781281,2.754486
193.3286,-0.026292,-0.006697,-0.021688,-0.013504,-0.162445,0.986618,0.349252,0,-0.00363,Ground,2.781601,2.677414
193.3397,-0.026292,-0.006697,-0.021688,-0.013504,-0.162445,0.986618,0.344151,0,-0.003311,Ground,2.781601,2.677414
193.3507,-0.028977,-0.006833,-0.021606,-0.022446,-0.155273,0.98761,0.348876,0,0.011511,Ground,2.680954,2.574463
193.3616,-0.027385,-0.006892,-0.021558,-0.015991,-0.161255,0.986771,0.334971,0,0.002789,Ground,2.684052,2.533493
193.373,-0.027385,-0.006892,-0.021558,-0.015991,-0.161255,0.986771,0.328624,0,0.004718,Ground,2.684052,2.533493
193.3839,-0.010772,-0.007051,-0.021328,0.000519,-0.166916,0.985962,0.315936,0,-0.017821,Ground,2.707138,2.546967
193.395,0.004354,-0.007212,-0.021092,0.014786,-0.172348,0.984924,0.303471,0,-0.036623,Ground,2.709091,2.560013
193.4061,0.003625,-0.007268,-0.021,0.019943,-0.165863,0.985931,0.30884,0,-0.041672,Ground,2.713074,2.56131
193.4172,0.003625,-0.007268,-0.021,0.019943,-0.165863,0.985931,0.305678,0,-0.039625,Ground,2.713074,2.56131
193.4284,-0.008716,-0.007101,-0.021243,0.004257,-0.164261,0.986404,0.305159,0,-0.015067,Ground,2.687897,2.568695
193.4395,-0.005499,-0.007173,-0.021319,0.00174,-0.183121,0.983078,0.27592,0,-0.01097,Ground,2.690109,2.546616
193.4506,-0.005499,-0.007173,-0.021319,0.00174,-0.183121,0.983078,0.275402,0,-0.00928,Ground,2.690109,2.546616
193.4617,0.027618,-0.007634,-0.021,0.005402,-0.21283,0.977066,0.230808,0,-0.014408,Ground,2.74556,2.581894
193.4727,0.030099,-0.00828,-0.020536,0.011505,-0.27594,0.961105,0.136423,0,-0.025852,Ground,2.512787,2.642242
193.4838,0.030108,-0.008331,-0.02076,0.012741,-0.260071,0.9655,0.159366,0,-0.025129,Ground,2.52916,2.686737
