experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,trial_no,scene,target,response_mode,shift_x,shift_y,shift_z,view_rotation,preview_label,t_starting_pos,standing_y_rotation,target_label,target_pos_x,target_pos_y,target_pos_z,target_euler_x,target_euler_y,target_euler_z,target_bbox_center_x,target_bbox_center_y,target_bbox_center_z,target_bbox_size_x,target_bbox_size_y,target_bbox_size_z,t_scene_preview_start,t_scene_preview_end,t_response_start,t_response_end,response_pos_x_pivot,response_pos_y_pivot,response_pos_z_pivot,response_euler_x,response_euler_y,response_euler_z,tar_error_pos,tar_error_pos_x,tar_error_pos_y,tar_error_pos_z,tar_error_angle,tar_error_euler_x,tar_error_euler_y,tar_error_euler_z,standing_pos_x,standing_pos_y,standing_pos_z,VR_move_location_0,Eye_gaze_location_0
Pilot_Office_laser,7,4,1,1,1,169.1883,199.7695,2,O02,O02_L23,laser,0,0,0,270,Globe,176.3237,272.8077,globe,-1.690767,0.952719,-1.18695,272.2737,97.45389,325.6657,-1.690357,1.158456,-1.180549,0.386225,0.426065,0.381431,181.5774,184.8869,186.8972,198.7478,-1.658969,0.948334,-1.187653,0,0,0,0.032107,0.031798,-0.004385,-0.000703,105.0907,-272.2737,-97.45389,-325.6657,-1.204384,1.441245,-1.026742,Pilot_Office_laser/7/S004/trackers/VR_move_T001.csv,Pilot_Office_laser/7/S004/trackers/Eye_gaze_T001.csv
Pilot_Office_laser,7,4,2,1,2,200.7802,215.1855,10,O02,O02_L06,laser,0,0,0,270,Lamp,206.6778,271.3464,desklamp,-1.794875,0.765892,0.397152,355.5128,118.53,358.3776,-1.759872,1.074492,0.504581,0.517692,0.639956,0.658181,207.1888,208.2218,210.2322,214.1638,-1.793407,0.773155,0.380963,0,0,0,0.017805,0.001468,0.007262,-0.01619,118.5256,-355.5128,-118.53,-358.3776,-1.218501,1.498151,0.163481,Pilot_Office_laser/7/S004/trackers/VR_move_T002.csv,Pilot_Office_laser/7/S004/trackers/Eye_gaze_T002.csv
Pilot_Office_laser,7,4,3,1,3,216.1962,230.9458,4,O02,O02_L09,laser,0,0,0,90,Flowers,221.6273,91.73445,flowers,1.650739,0.758584,0.010883,359.0852,152.7474,2.739967,1.662761,1.086827,-0.027271,0.470968,0.663228,0.589821,222.1382,224.9817,226.9921,229.924,1.657988,0.742274,0.023545,0,0,0,0.021884,0.007249,-0.016311,0.012663,152.7781,-359.0852,-152.7474,-2.739967,0.625069,1.500098,0.094268,Pilot_Office_laser/7/S004/trackers/VR_move_T003.csv,Pilot_Office_laser/7/S004/trackers/Eye_gaze_T003.csv
Pilot_Office_laser,7,4,4,1,4,231.9565,245.14,9,O02,O02_L05,laser,0,0,0,0,Telephone,236.6102,1.61666,landline,-0.743321,0.696754,1.575369,0,211.359,0,-0.740645,0.79142,1.579673,0.272401,0.189332,0.235766,237.1103,238.1541,240.1644,244.1184,-0.725392,0.703551,1.504241,0,0,0,0.073667,0.017929,0.006797,-0.071128,148.641,0,-211.359,0,-0.073819,1.510446,0.289502,Pilot_Office_laser/7/S004/trackers/VR_move_T004.csv,Pilot_Office_laser/7/S004/trackers/Eye_gaze_T004.csv
Pilot_Office_laser,7,4,5,1,5,246.1507,258.1792,8,O02,O02_L15,laser,0,0,0,90,Clock,249.3494,91.61967,tableclock,1.717249,0.741288,-0.381913,356.9992,269.6479,0.111573,1.697608,0.916266,-0.380892,0.237385,0.358919,0.224152,249.8495,252.0374,254.0476,257.1686,1.677348,0.742274,-0.376232,0,0,0,0.040316,-0.039901,0.000986,0.005681,90.38825,-356.9992,-269.6479,-0.111573,1.105919,1.473357,-0.122891,Pilot_Office_laser/7/S004/trackers/VR_move_T005.csv,Pilot_Office_laser/7/S004/trackers/Eye_gaze_T005.csv
Pilot_Office_laser,7,4,6,1,6,259.1898,270.019,5,O02,O02_L11,laser,0,0,0,270,Cookies,263.0445,272.2632,cookies,-1.527065,0.775583,0.496761,0,36.522,0,-1.527065,0.793719,0.496761,0.274797,0.07267,0.274796,263.5547,264.5213,266.5315,268.9973,-1.527753,0.777412,0.472896,0,0,0,0.023945,-0.000688,0.001829,-0.023865,36.52199,0,-36.522,0,-0.767868,1.494679,0.134103,Pilot_Office_laser/7/S004/trackers/VR_move_T006.csv,Pilot_Office_laser/7/S004/trackers/Eye_gaze_T006.csv
Pilot_Office_laser,7,4,7,1,7,271.0296,280.9811,10,O02,O02_L06,laser,0,0,0,270,Lamp,273.3841,271.5458,desklamp,-1.794875,0.765892,0.397152,355.5128,118.53,358.3776,-1.759872,1.074492,0.504581,0.517692,0.639956,0.658181,273.8951,275.0282,277.0387,279.9595,-1.78818,0.773405,0.372585,0,0,0,0.026549,0.006695,0.007512,-0.024568,118.5256,-355.5128,-118.53,-358.3776,-0.816536,1.501804,0.109419,Pilot_Office_laser/7/S004/trackers/VR_move_T007.csv,Pilot_Office_laser/7/S004/trackers/Eye_gaze_T007.csv
Pilot_Office_laser,7,4,8,1,8,281.9918,294.0092,2,O02,O02_L23,laser,0,0,0,270,Globe,285.6016,275.4637,globe,-1.690767,0.952719,-1.18695,272.2737,97.45389,325.6657,-1.690357,1.158456,-1.180549,0.386225,0.426065,0.381431,286.1123,288.1117,290.1221,292.9875,-1.678576,0.948334,-1.203911,0,0,0,0.021343,0.012191,-0.004385,-0.016961,105.0907,-272.2737,-97.45389,-325.6657,-0.667018,1.502194,-0.663516,Pilot_Office_laser/7/S004/trackers/VR_move_T008.csv,Pilot_Office_laser/7/S004/trackers/Eye_gaze_T008.csv
Pilot_Office_laser,7,4,9,1,9,295.0198,305.5711,6,O02,O02_L03,laser,0,0,0,270,Printer,297.3412,272.7105,printer,-1.716147,0.955864,-0.618053,0,90.47899,0,-1.64673,1.03389,-0.618486,0.478432,0.156053,0.427981,297.8521,300.1069,302.1172,304.5496,-1.68834,0.948334,-0.601607,0,0,0,0.033173,0.027807,-0.00753,0.016447,90.479,0,-90.47899,0,-0.740034,1.49149,-0.523179,Pilot_Office_laser/7/S004/trackers/VR_move_T009.csv,Pilot_Office_laser/7/S004/trackers/Eye_gaze_T009.csv
Pilot_Office_laser,7,4,10,1,10,306.5818,319.0656,1,O02,O02_L26,laser,0,0,0,180,Footstool,309.7362,180.3272,cushion,1.038984,0.001137,-0.711692,1.254726,143.4689,0.540435,1.041459,0.121186,-0.71313,0.77365,0.257415,0.774065,310.2471,314.1565,316.1669,318.044,1.025549,0.002273,-0.677589,0,0,0,0.036671,-0.013434,0.001136,0.034102,143.4657,-1.254726,-143.4689,-0.540435,0.532643,1.434409,-0.231245,Pilot_Office_laser/7/S004/trackers/VR_move_T010.csv,Pilot_Office_laser/7/S004/trackers/Eye_gaze_T010.csv
