experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,trial_no,scene,target,response_mode,shift_x,shift_y,shift_z,view_rotation,preview_label,t_starting_pos,standing_y_rotation,target_label,target_pos_x,target_pos_y,target_pos_z,target_euler_x,target_euler_y,target_euler_z,target_bbox_center_x,target_bbox_center_y,target_bbox_center_z,target_bbox_size_x,target_bbox_size_y,target_bbox_size_z,t_scene_preview_start,t_scene_preview_end,t_response_start,t_response_end,response_pos_x_pivot,response_pos_y_pivot,response_pos_z_pivot,response_euler_x,response_euler_y,response_euler_z,tar_error_pos,tar_error_pos_x,tar_error_pos_y,tar_error_pos_z,response_bbox_center_x,response_bbox_center_y,response_bbox_center_z,tar_error_bbox,tar_error_bbox_x,tar_error_bbox_y,tar_error_bbox_z,tar_error_angle,tar_error_euler_x,tar_error_euler_y,tar_error_euler_z,standing_pos_x,standing_pos_y,standing_pos_z,VR_move_location_0,Eye_gaze_location_0
Pilot_Office_object,11,2,1,1,1,60.10056,85.39815,4,O02,O02_L09,object,0,0,0,90,Flowers,67.50546,89.09599,flowers,1.650739,0.758584,0.010883,359.0852,152.7474,2.739967,1.662761,1.086827,-0.027271,0.470968,0.663228,0.589821,72.68548,74.49158,76.50174,84.38486,1.659818,0.719061,-0.020055,4.541037,154.9441,17.91639,0.051007,0.009079,-0.039523,-0.030938,1.746734,1.022068,-0.048469,0.108142,0.083973,-0.064759,-0.021198,16.20488,-354.5442,2.196671,15.17643,0.277247,1.537573,0.001043,Pilot_Office_object/11/S002/trackers/VR_move_T001.csv,Pilot_Office_object/11/S002/trackers/Eye_gaze_T001.csv
Pilot_Office_object,11,2,2,1,2,86.40884,98.21519,2,O02,O02_L23,object,0,0,0,270,Globe,88.35248,266.9337,globe,-1.690767,0.952719,-1.18695,272.2737,97.45389,325.6657,-1.690357,1.158456,-1.180549,0.386225,0.426065,0.381431,88.86339,89.67429,91.68457,97.19357,-1.709415,0.932573,-1.166233,272.287,356.4223,54.66244,0.034392,-0.018648,-0.020146,0.020717,-1.718997,1.137718,-1.152357,0.045222,-0.02864,-0.020738,0.028191,12.49435,0.013306,258.9684,-271.0033,-0.833472,1.536793,-0.653176,Pilot_Office_object/11/S002/trackers/VR_move_T002.csv,Pilot_Office_object/11/S002/trackers/Eye_gaze_T002.csv
Pilot_Office_object,11,2,3,1,3,99.22575,110.6323,6,O02,O02_L03,object,0,0,0,270,Printer,100.3698,276.4474,printer,-1.716147,0.955864,-0.618053,0,90.47899,0,-1.64673,1.03389,-0.618486,0.478432,0.156053,0.427981,100.8808,101.5463,103.5464,109.6106,-1.763337,0.959628,-0.639844,0.100623,90.48061,1.772459,0.052115,-0.04719,0.003764,-0.021791,-1.693867,1.037526,-0.637866,0.051095,-0.047137,0.003635,-0.01938,1.775145,0.100623,0.001617,1.772459,-0.985669,1.525156,-0.574201,Pilot_Office_object/11/S002/trackers/VR_move_T003.csv,Pilot_Office_object/11/S002/trackers/Eye_gaze_T003.csv
Pilot_Office_object,11,2,4,1,4,111.643,121.8167,8,O02,O02_L15,object,0,0,0,90,Clock,113.5422,86.14778,tableclock,1.717249,0.741288,-0.381913,356.9992,269.6479,0.111573,1.697608,0.916266,-0.380892,0.237385,0.358919,0.224152,114.0532,114.4592,116.4634,120.795,1.687901,0.731753,-0.408553,353.8577,273.1142,358.0203,0.040767,-0.029348,-0.009535,-0.026641,1.677632,0.903411,-0.400928,0.031076,-0.019977,-0.012855,-0.020036,5.009512,-3.14151,3.466278,357.9088,1.083855,1.452623,-0.213452,Pilot_Office_object/11/S002/trackers/VR_move_T004.csv,Pilot_Office_object/11/S002/trackers/Eye_gaze_T004.csv
Pilot_Office_object,11,2,5,1,5,122.8275,132.9565,9,O02,O02_L05,object,0,0,0,0,Telephone,124.149,352.9236,landline,-0.743321,0.696754,1.575369,0,211.359,0,-0.740645,0.79142,1.579673,0.272401,0.189332,0.235766,124.6598,125.1328,127.1367,131.9349,-0.692533,0.699931,1.541465,0.895036,181.0001,358.552,0.061148,0.050788,0.003177,-0.033905,-0.694551,0.794421,1.543919,0.058412,0.046094,0.003001,-0.035754,30.39417,0.895036,-30.3589,358.552,-0.260578,1.506244,0.80701,Pilot_Office_object/11/S002/trackers/VR_move_T005.csv,Pilot_Office_object/11/S002/trackers/Eye_gaze_T005.csv
Pilot_Office_object,11,2,6,1,6,133.9673,145.7623,3,O02,O02_L01,object,0,0,0,180,Sushi,135.6333,180.7841,sushi,0.024424,0.523493,-1.377002,359.1866,216.5073,358.2385,0.023787,0.554909,-1.37584,0.503964,0.185142,0.504825,136.1441,137.0438,139.0542,144.7407,0.03911,0.520354,-1.357774,359.3805,221.6109,2.798082,0.024398,0.014686,-0.003139,0.019228,0.040819,0.546883,-1.358727,0.025443,0.017032,-0.008026,0.017113,6.887679,0.193848,5.103577,-355.4404,0.021167,1.327405,-0.874772,Pilot_Office_object/11/S002/trackers/VR_move_T006.csv,Pilot_Office_object/11/S002/trackers/Eye_gaze_T006.csv
Pilot_Office_object,11,2,7,1,7,146.7731,157.1801,9,O02,O02_L05,object,0,0,0,0,Telephone,148.2949,358.9978,landline,-0.743321,0.696754,1.575369,0,211.359,0,-0.740645,0.79142,1.579673,0.272401,0.189332,0.235766,148.8057,149.1894,151.1936,156.1582,-0.707802,0.699235,1.55493,358.8419,212.6568,359.6218,0.041055,0.035519,0.002481,-0.020439,-0.704564,0.792845,1.560975,0.040663,0.036081,0.001425,-0.018698,1.776908,358.8419,1.297836,359.6218,-0.516007,1.406422,1.093141,Pilot_Office_object/11/S002/trackers/VR_move_T007.csv,Pilot_Office_object/11/S002/trackers/Eye_gaze_T007.csv
Pilot_Office_object,11,2,8,1,8,158.1907,168.753,6,O02,O02_L03,object,0,0,0,270,Printer,159.4679,271.5377,printer,-1.716147,0.955864,-0.618053,0,90.47899,0,-1.64673,1.03389,-0.618486,0.478432,0.156053,0.427981,159.9788,160.4853,162.4892,167.7314,-1.696067,0.942895,-0.606674,359.9388,89.02235,1.185906,0.026474,0.02008,-0.012969,0.01138,-1.627304,1.02096,-0.604179,0.027373,0.019426,-0.01293,0.014307,1.878823,359.9388,-1.456635,1.185906,-1.203562,1.50123,-0.503218,Pilot_Office_object/11/S002/trackers/VR_move_T008.csv,Pilot_Office_object/11/S002/trackers/Eye_gaze_T008.csv
Pilot_Office_object,11,2,9,1,9,169.7637,182.3365,5,O02,O02_L11,object,0,0,0,270,Cookies,173.6178,272.889,cookies,-1.527065,0.775583,0.496761,0,36.522,0,-1.527065,0.793719,0.496761,0.274797,0.07267,0.274796,174.1286,175.195,177.2056,181.3148,-1.520601,0.784553,0.493904,358.4694,76.99542,359.349,0.011419,0.006463,0.00897,-0.002856,-1.520781,0.802615,0.493774,0.011294,0.006284,0.008896,-0.002987,40.49743,358.4694,40.47343,359.349,-0.942169,1.510025,0.251395,Pilot_Office_object/11/S002/trackers/VR_move_T009.csv,Pilot_Office_object/11/S002/trackers/Eye_gaze_T009.csv
Pilot_Office_object,11,2,10,1,10,183.3473,193.7542,7,O02,O02_L18,object,0,0,0,180,Helicopter,185.0577,176.3395,helicopter,0.582935,0.518954,-1.327039,0,339.398,0,0.527807,0.624263,-1.343417,0.599171,0.211206,0.5392,185.5684,186.2905,188.3008,192.7322,0.592903,0.499298,-1.332902,350.2564,320.27,0.741948,0.022806,0.009968,-0.019656,-0.005863,0.556421,0.602361,-1.380867,0.051971,0.028614,-0.021902,-0.037451,21.4024,350.2564,-19.12799,0.741948,0.411128,1.294011,-0.902022,Pilot_Office_object/11/S002/trackers/VR_move_T010.csv,Pilot_Office_object/11/S002/trackers/Eye_gaze_T010.csv
Pilot_Office_object,11,2,11,1,11,194.7648,205.0161,6,O02,O02_L03,object,0,0,0,270,Printer,196.4197,279.3101,printer,-1.716147,0.955864,-0.618053,0,90.47899,0,-1.64673,1.03389,-0.618486,0.478432,0.156053,0.427981,196.9305,197.4476,199.452,203.9944,-1.748357,0.977926,-0.628715,0.071013,87.68386,1.555754,0.040471,-0.03221,0.022062,-0.010662,-1.680834,1.05586,-0.624505,0.041012,-0.034104,0.021969,-0.00602,3.200444,0.071013,-2.795128,1.555754,-0.994298,1.53296,-0.52703,Pilot_Office_object/11/S002/trackers/VR_move_T011.csv,Pilot_Office_object/11/S002/trackers/Eye_gaze_T011.csv
