time,ori_x,ori_y,ori_z,dir_x,dir_y,dir_z,gaze_x,gaze_y,gaze_z,gaze_object,pupil_l,pupil_r
834.3523,0.211706,1.597484,-0.042478,0,0,1,-99999,-99999,-99999,,0,0
834.3636,0.212901,1.597206,-0.041987,0,0,1,-99999,-99999,-99999,,0,0
834.3746,0.213927,1.59713,-0.041506,0,0,1,-99999,-99999,-99999,,0,0
834.3858,0.214739,1.597117,-0.041071,0,0,1,-99999,-99999,-99999,,0,0
834.3967,0.215533,1.597109,-0.040614,0,0,1,-99999,-99999,-99999,,0,0
834.408,0.21654,1.597168,-0.040271,0,0,1,-99999,-99999,-99999,,0,0
834.4189,0.217704,1.597305,-0.039947,0,0,1,-99999,-99999,-99999,,0,0
834.4302,0.218904,1.597409,-0.039586,0,0,1,-99999,-99999,-99999,,0,0
834.4413,0.220237,1.597574,-0.039367,0,0,1,-99999,-99999,-99999,,0,0
834.4523,0.221433,1.597816,-0.039198,0,0,1,-99999,-99999,-99999,,0,0
834.4634,0.222455,1.598075,-0.039099,0,0,1,-99999,-99999,-99999,,0,0
834.4747,0.223329,1.598355,-0.038961,0,0,1,-99999,-99999,-99999,,0,0
834.4857,0.223944,1.598587,-0.038908,0,0,1,-99999,-99999,-99999,,0,0
834.4967,0.224491,1.598851,-0.0388,0,0,1,-99999,-99999,-99999,,0,0
834.5078,0.224982,1.599058,-0.038795,0,0,1,-99999,-99999,-99999,,0,0
834.519,0.225466,1.599312,-0.038835,0,0,1,-99999,-99999,-99999,,0,0
834.5301,0.226002,1.599518,-0.038928,0,0,1,-99999,-99999,-99999,,0,0
834.5411,0.22658,1.599812,-0.039086,0,0,1,-99999,-99999,-99999,,0,0
834.5523,0.22712,1.600003,-0.039274,0,0,1,-99999,-99999,-99999,,0,0
834.5634,0.227584,1.600209,-0.039498,0,0,1,-99999,-99999,-99999,,0,0
834.5745,0.22808,1.600396,-0.03972,0,0,1,-99999,-99999,-99999,,0,0
834.5856,0.228516,1.600598,-0.039986,0,0,1,-99999,-99999,-99999,,0,0
834.5969,0.228957,1.600795,-0.040248,0,0,1,-99999,-99999,-99999,,0,0
834.6078,0.229413,1.601014,-0.040538,0,0,1,-99999,-99999,-99999,,0,0
834.6189,0.229842,1.601208,-0.040947,0,0,1,-99999,-99999,-99999,,0,0
834.6301,0.230332,1.601474,-0.041409,0,0,1,-99999,-99999,-99999,,0,0
834.6411,0.230731,1.601678,-0.04187,0,0,1,-99999,-99999,-99999,,0,0
834.6523,0.231178,1.601935,-0.042453,0,0,1,-99999,-99999,-99999,,0,0
834.6634,0.23151,1.602187,-0.043019,0,0,1,-99999,-99999,-99999,,0,0
834.6746,0.231818,1.602567,-0.043561,0,0,1,-99999,-99999,-99999,,0,0
834.6856,0.232052,1.602931,-0.044214,0,0,1,-99999,-99999,-99999,,0,0
834.6966,0.232237,1.603343,-0.044863,0,0,1,-99999,-99999,-99999,,0,0
834.7078,0.232419,1.60377,-0.045542,0,0,1,-99999,-99999,-99999,,0,0
834.7188,0.232604,1.604174,-0.046337,0,0,1,-99999,-99999,-99999,,0,0
834.7301,0.232837,1.604653,-0.047126,0,0,1,-99999,-99999,-99999,,0,0
834.7413,0.233087,1.605176,-0.047994,0,0,1,-99999,-99999,-99999,,0,0
834.7522,0.233375,1.605791,-0.048916,0,0,1,-99999,-99999,-99999,,0,0
834.7633,0.233714,1.606445,-0.04989,0,0,1,-99999,-99999,-99999,,0,0
834.7746,0.234111,1.607167,-0.051001,0,0,1,-99999,-99999,-99999,,0,0
834.7855,0.234561,1.608067,-0.052053,0,0,1,-99999,-99999,-99999,,0,0
834.7966,0.234935,1.609144,-0.053223,0,0,1,-99999,-99999,-99999,,0,0
834.8078,0.235339,1.61039,-0.054444,0,0,1,-99999,-99999,-99999,,0,0
834.8189,0.235601,1.612012,-0.05576,0,0,1,-99999,-99999,-99999,,0,0
