time,head_pos_x,head_pos_y,head_pos_z,head_rot_x,head_rot_y,head_rot_z,left_pos_x,left_pos_y,left_pos_z,left_rot_x,left_rot_y,left_rot_z,right_pos_x,right_pos_y,right_pos_z,right_rot_x,right_rot_y,right_rot_z,grab_force,grab,trigger
390.002,-0.189183,1.431031,-0.034794,75.95213,261.8062,353.049,0,0,0,0,0,0,-0.143023,0.772477,0.280911,12.05594,272.4927,19.64157,0,False,False
390.0134,-0.186281,1.431006,-0.033854,76.01619,262.3039,353.5332,0,0,0,0,0,0,-0.141382,0.773346,0.283372,11.89044,272.9433,19.55425,0,False,False
390.0242,-0.183413,1.430971,-0.032939,76.09296,262.7575,353.9859,0,0,0,0,0,0,-0.139725,0.77375,0.28567,11.78398,273.3612,19.46047,0,False,False
390.0354,-0.180511,1.431001,-0.032075,76.1509,263.2491,354.5215,0,0,0,0,0,0,-0.13792,0.774079,0.288069,11.728,273.7501,19.35489,0,False,False
390.0466,-0.177731,1.431038,-0.031309,76.17346,263.6151,354.902,0,0,0,0,0,0,-0.136064,0.773973,0.290027,11.70841,274.0385,19.32733,0,False,False
390.0577,-0.175131,1.43115,-0.030625,76.12894,263.9734,355.2948,0,0,0,0,0,0,-0.134225,0.773984,0.291868,11.63442,274.2857,19.37757,0,False,False
390.069,-0.17257,1.431249,-0.029932,76.04246,264.2787,355.5775,0,0,0,0,0,0,-0.132066,0.773483,0.293585,11.59094,274.4455,19.57508,0,False,False
390.0798,-0.170243,1.431493,-0.029335,75.92213,264.6833,355.8887,0,0,0,0,0,0,-0.129996,0.772855,0.295149,11.61538,274.5487,19.74596,0,False,False
390.0909,-0.168036,1.431789,-0.028891,75.79532,265.0021,356.0487,0,0,0,0,0,0,-0.127769,0.771894,0.296433,11.72007,274.6163,19.89666,0,False,False
390.102,-0.165809,1.432148,-0.028508,75.65753,265.1937,356.0654,0,0,0,0,0,0,-0.125279,0.770805,0.297722,11.8862,274.7464,20.04161,0,False,False
390.1132,-0.163673,1.432553,-0.02828,75.48148,265.2637,355.9482,0,0,0,0,0,0,-0.122735,0.76981,0.298857,12.04907,274.9152,20.17299,0,False,False
390.1242,-0.161457,1.432966,-0.027992,75.31934,265.1949,355.7272,0,0,0,0,0,0,-0.119917,0.768427,0.299998,12.30325,275.1645,20.30416,0,False,False
390.1353,-0.159398,1.433522,-0.027945,75.14843,265.0761,355.4928,0,0,0,0,0,0,-0.117191,0.766894,0.300933,12.56795,275.4997,20.41842,0,False,False
390.1464,-0.157414,1.434061,-0.027844,74.98306,264.8373,355.1929,0,0,0,0,0,0,-0.114361,0.765523,0.301851,12.82419,275.9218,20.51851,0,False,False
390.1575,-0.155585,1.43466,-0.02785,74.81541,264.6166,354.9296,0,0,0,0,0,0,-0.111391,0.764197,0.302781,13.05814,276.3756,20.59973,0,False,False
390.1687,-0.153884,1.435223,-0.027843,74.62594,264.3647,354.6401,0,0,0,0,0,0,-0.108514,0.762888,0.303557,13.25224,276.8948,20.62943,0,False,False
390.1798,-0.152314,1.435764,-0.027851,74.44318,264.1588,354.3891,0,0,0,0,0,0,-0.105536,0.761749,0.303951,13.39244,277.4737,20.60301,0,False,False
390.1908,-0.150959,1.436407,-0.027865,74.31122,264.0344,354.2227,0,0,0,0,0,0,-0.102375,0.760407,0.304581,13.57279,278.0044,20.60261,0,False,False
390.2019,-0.149823,1.437092,-0.027887,74.30059,263.8971,354.0245,0,0,0,0,0,0,-0.099315,0.759312,0.304645,13.79185,278.4904,20.53943,0,False,False
390.213,-0.14882,1.437729,-0.027959,74.34421,263.8782,353.9341,0,0,0,0,0,0,-0.09621,0.758217,0.304754,14.05147,278.9261,20.49516,0,False,False
390.2242,-0.14782,1.438236,-0.028081,74.34393,264.1089,354.0416,0,0,0,0,0,0,-0.092647,0.757293,0.304069,14.4284,279.3063,20.41123,0,False,False
390.2354,-0.146812,1.438685,-0.028216,74.29017,264.4303,354.2477,0,0,0,0,0,0,-0.089564,0.756306,0.30356,14.73332,279.6424,20.38899,0,False,False
390.2465,-0.145956,1.438965,-0.028448,74.1488,264.8428,354.5508,0,0,0,0,0,0,-0.086133,0.755143,0.302429,15.0969,279.9155,20.32832,0,False,False
390.2575,-0.145034,1.439113,-0.028677,73.97955,265.129,354.7984,0,0,0,0,0,0,-0.083139,0.754166,0.301324,15.40255,280.1135,20.25818,0,False,False
390.2687,-0.144186,1.439121,-0.028909,73.82893,265.3908,355.0964,0,0,0,0,0,0,-0.079965,0.752981,0.299611,15.67689,280.1619,20.1129,0,False,False
390.2797,-0.143346,1.439098,-0.029178,73.7439,265.5799,355.3746,0,0,0,0,0,0,-0.077278,0.751842,0.297643,15.84376,280.0551,19.98531,0,False,False
390.2908,-0.142625,1.439023,-0.029464,73.7366,265.6876,355.6363,0,0,0,0,0,0,-0.074731,0.750762,0.295392,15.98953,279.7848,19.89276,0,False,False
390.3019,-0.141869,1.438896,-0.029794,73.7838,265.7591,355.8438,0,0,0,0,0,0,-0.07202,0.749533,0.292611,16.18334,279.2979,19.70169,0,False,False
390.3131,-0.141087,1.438765,-0.030171,73.81141,265.8718,356.06,0,0,0,0,0,0,-0.069499,0.748336,0.29011,16.37906,278.7863,19.51149,0,False,False
390.3241,-0.140308,1.438501,-0.030591,73.84661,265.8865,356.1598,0,0,0,0,0,0,-0.06706,0.74707,0.287063,16.62619,278.0211,19.33507,0,False,False
390.3352,-0.13954,1.438291,-0.03107,73.88579,265.9243,356.2522,0,0,0,0,0,0,-0.06441,0.745579,0.283636,16.95526,277.0949,19.22948,0,False,False
390.3465,-0.138826,1.438032,-0.031576,73.94307,265.8929,356.238,0,0,0,0,0,0,-0.062131,0.744124,0.280446,17.34253,276.1557,19.17505,0,False,False
390.3575,-0.138189,1.437882,-0.032062,74.01067,265.882,356.2358,0,0,0,0,0,0,-0.059881,0.742555,0.277348,17.76711,275.1856,19.11143,0,False,False
390.3685,-0.137573,1.437707,-0.032588,74.04874,265.8522,356.1905,0,0,0,0,0,0,-0.057338,0.741059,0.274086,18.1939,274.2645,19.0451,0,False,False
390.3797,-0.137017,1.437626,-0.033173,74.0861,265.8807,356.1833,0,0,0,0,0,0,-0.055219,0.73963,0.271297,18.64033,273.446,19.04893,0,False,False
390.3908,-0.136336,1.437558,-0.033782,74.11047,265.9246,356.1716,0,0,0,0,0,0,-0.053309,0.738356,0.26879,19.04248,272.7744,19.08003,0,False,False
390.4019,-0.135665,1.437656,-0.034372,74.12708,265.9252,356.0923,0,0,0,0,0,0,-0.051315,0.737224,0.266213,19.41919,272.1942,19.12112,0,False,False
390.413,-0.134904,1.437824,-0.035048,74.13949,265.9544,356.0356,0,0,0,0,0,0,-0.049571,0.736246,0.264132,19.71352,271.7264,19.13274,0,False,False
