PPID,Scene,Session,Response,Mental,Physical,Temporal,Performance,Effort,Frustration
6,Office,1,Laser,7,9,11,5,7,4
6,Office,2,Object,6,7,9,5,6,3
6,Office,3,Cube,6,7,10,6,5,4
6,Office,4,Stick,4,4,5,4,5,3
7,Office,1,Stick,5,8,3,4,4,3
7,Office,2,Cube,7,8,8,5,6,4
7,Office,3,Object,8,10,6,6,8,5
7,Office,4,Laser,4,7,4,4,4,3
8,Office,1,Cube,4,8,8,16,18,10
8,Office,2,Laser,2,2,2,18,20,2
8,Office,3,Stick,2,2,7,10,9,4
8,Office,4,Object,2,2,2,17,18,2
9,Kitchen,1,Object,5,8,3,9,9,5
9,Kitchen,2,Stick,4,4,2,6,4,2
9,Kitchen,3,Laser,4,2,4,6,4,2
9,Kitchen,4,Cube,4,3,4,8,5,3
10,Kitchen,1,Laser,6,4,3,7,4,3
10,Kitchen,2,Cube,3,3,3,6,3,4
10,Kitchen,3,Object,3,3,3,6,4,5
10,Kitchen,4,Stick,3,3,4,3,3,3
11,Office,1,Laser,6,3,3,4,3,2
11,Office,2,Object,5,3,2,3,3,2
11,Office,3,Stick,3,3,3,3,3,2
11,Office,4,Cube,3,3,2,3,3,2
12,Kitchen,1,Stick,3,4,3,3,2,8
12,Kitchen,2,Cube,2,2,3,4,2,6
12,Kitchen,3,Object,3,3,2,3,2,4
12,Kitchen,4,Laser,2,1,1,5,2,6
13,Kitchen,1,Object,13,5,11,8,14,9
13,Kitchen,2,Laser,9,4,5,10,9,8
13,Kitchen,3,Stick,9,8,9,10,8,7
13,Kitchen,4,Cube,10,8,12,8,8,7
14,Office,1,Object,2,3,2,9,6,3
14,Office,2,Stick,2,2,2,2,2,2
14,Office,3,Laser,2,2,2,2,2,2
14,Office,4,Cube,2,3,2,10,4,2
15,Kitchen,1,Laser,3,7,2,7,4,11
15,Kitchen,2,Stick,2,4,2,5,2,8
15,Kitchen,3,Cube,3,7,2,10,3,14
15,Kitchen,4,Object,5,5,2,6,4,8
16,Office,1,Stick,7,5,3,6,11,2
16,Office,2,Cube,8,4,2,13,7,8
16,Office,3,Laser,3,6,2,11,12,9
16,Office,4,Object,5,4,2,7,11,9
17,Office,1,Object,4,5,3,3,3,3
17,Office,2,Stick,4,4,4,3,4,4
17,Office,3,Cube,3,10,4,5,7,6
17,Office,4,Laser,3,2,3,3,2,3
18,Kitchen,1,Cube,6,6,6,3,4,3
18,Kitchen,2,Object,6,7,4,3,7,3
18,Kitchen,3,Laser,7,3,3,4,3,3
18,Kitchen,4,Stick,3,3,3,3,3,3
19,Office,1,Cube,3,12,9,4,4,5
19,Office,2,Laser,2,2,2,2,2,3
19,Office,3,Object,6,8,4,7,8,2
19,Office,4,Stick,4,7,3,3,3,4
20,Kitchen,1,Stick,5,17,4,6,8,8
20,Kitchen,2,Laser,3,9,6,10,5,4
20,Kitchen,3,Cube,8,15,4,7,14,8
20,Kitchen,4,Object,4,10,6,8,7,5
21,Kitchen,1,Cube,7,7,5,6,8,9
21,Kitchen,2,Object,5,5,5,9,7,4
21,Kitchen,3,Stick,2,4,3,7,3,3
21,Kitchen,4,Laser,3,4,4,7,4,4
