experiment	ppid	session_num	trial_num	block_num	trial_num_in_block	start_time	end_time	trial_no	scene	target	response_mode	shift_x	shift_y	shift_z	view_rotation	preview_label	t_starting_pos	standing_y_rotation	target_label	target_pos_x	target_pos_y	target_pos_z	target_euler_x	target_euler_y	target_euler_z	target_bbox_center_x	target_bbox_center_y	target_bbox_center_z	target_bbox_size_x	target_bbox_size_y	target_bbox_size_z	t_scene_preview_start	t_scene_preview_end	t_response_start	t_response_end	response_pos_x_pivot	response_pos_y_pivot	response_pos_z_pivot	response_euler_x	response_euler_y	response_euler_z	tar_error_pos	tar_error_pos_x	tar_error_pos_y	tar_error_pos_z	tar_error_angle	tar_error_euler_x	tar_error_euler_y	tar_error_euler_z	standing_pos_x	standing_pos_y	standing_pos_z	VR_move_location_0	Eye_gaze_location_0	trial_valid	invalid_reason	response_bbox_center_x	response_bbox_center_y	response_bbox_center_z	tar_error_bbox	tar_error_bbox_x	tar_error_bbox_y	tar_error_bbox_z	response_duration	tar_error_surf	trial_status	drop_count	last_drop_time	last_drop_x	last_drop_z	drop1_err_pos	drop2_err_pos	drop3_err_pos	drop4_err_pos	move_dist	tar_error_right_left	tar_error_away_toward
Pilot_Kitchen_laser	9	3	1	1	1	99.35737	116.2766	7	K01	K01_L15	laser	0	0	0	270	Water Bottle	106.6249	266.1489	waterbottle	-1.392051	0.883097	-1.231805	0.516519	199.2043	358.5333	-1.400844	0.984469	-1.230697	0.092938	0.203459	0.086649	108.093	109.4129	111.4232	115.2549	-1.361977	0.886198	-1.237505	0.0	0.0	0.0	0.030766	0.030074	0.003101	-0.005701	160.7909	-0.516519	-199.2043	-358.5333	-0.240349	1.564683	-0.03459	Pilot_Kitchen_laser/9/S003/trackers/VR_move_T001.csv	Pilot_Kitchen_laser/9/S003/trackers/Eye_gaze_T001.csv	1	valid								3.831700000000012	0.030609401758283295	valid	0.0								0.07869207195565828	-0.005701	-0.030074
Pilot_Kitchen_laser	9	3	2	1	2	117.2873	128.4273	5	K01	K01_L04	laser	0	0	0	0	Breadbasket	120.8858	358.9223	bunsinbasket	-1.087051	0.883797	1.18928	0.60304	67.68452	1.555164	-1.088983	0.950319	1.190754	0.301863	0.325402	0.296634	121.3968	122.8074	124.8177	127.4056	-1.125553	0.886198	1.199843	0.0	0.0	0.0	0.039996	-0.038501	0.002401	0.010563	67.69444	-0.60304	-67.68452	-1.555164	-0.045459	1.566857	0.214245	Pilot_Kitchen_laser/9/S003/trackers/VR_move_T002.csv	Pilot_Kitchen_laser/9/S003/trackers/Eye_gaze_T002.csv	1	valid								2.5879000000000048	0.03992469126993977	valid	0.0								0.031823583361370304	-0.038501	0.010563
Pilot_Kitchen_laser	9	3	3	1	3	129.438	140.1225	6	K01	K01_L07	laser	0	0	0	270	Espresso Machine	133.1364	266.9116	coffeemaker	-1.82445	0.880285	-0.854397	358.1284	90.56697	358.8811	-1.764189	1.051043	-0.853803	0.345148	0.352667	0.277094	133.6474	134.7025	136.7129	139.1007	-1.758015	0.886198	-0.83871	0.0	0.0	0.0	0.068518	0.066435	0.005913	0.015687	90.56924	-358.1284	-90.56697	-358.8811	-0.183141	1.582502	0.023421	Pilot_Kitchen_laser/9/S003/trackers/VR_move_T003.csv	Pilot_Kitchen_laser/9/S003/trackers/Eye_gaze_T003.csv	1	valid								2.3877999999999986	0.06826193078136579	valid	0.0								0.02740506348950491	0.015687	-0.066435
Pilot_Kitchen_laser	9	3	4	1	4	141.1332	150.3075	6	K01	K01_L07	laser	0	0	0	270	Espresso Machine	142.8547	270.6798	coffeemaker	-1.82445	0.880285	-0.854397	358.1284	90.56697	358.8811	-1.764189	1.051043	-0.853803	0.345148	0.352667	0.277094	143.3656	145.0095	147.0198	149.2967	-1.786229	0.886198	-0.855474	0.0	0.0	0.0	0.038691	0.038221	0.005913	-0.001076	90.56924	-358.1284	-90.56697	-358.8811	-0.186243	1.579765	0.006931	Pilot_Kitchen_laser/9/S003/trackers/VR_move_T004.csv	Pilot_Kitchen_laser/9/S003/trackers/Eye_gaze_T004.csv	1	valid								2.2768999999999835	0.03823617096415366	valid	0.0								0.05052518376869733	-0.001076	-0.038221
Pilot_Kitchen_laser	9	3	5	1	5	151.3179	161.6916	5	K01	K01_L04	laser	0	0	0	0	Breadbasket	154.661	0.54329	bunsinbasket	-1.087051	0.883797	1.18928	0.60304	67.68452	1.555164	-1.088983	0.950319	1.190754	0.301863	0.325402	0.296634	155.1721	156.4048	158.4153	160.6698	-1.149029	0.886198	1.246486	0.0	0.0	0.0	0.084378	-0.061978	0.002401	0.057206	67.69444	-0.60304	-67.68452	-1.555164	-0.033742	1.571123	0.171923	Pilot_Kitchen_laser/9/S003/trackers/VR_move_T005.csv	Pilot_Kitchen_laser/9/S003/trackers/Eye_gaze_T005.csv	1	valid								2.2545000000000073	0.08434333951178374	valid	0.0								0.0671738756787374	-0.061978	0.057206
Pilot_Kitchen_laser	9	3	6	1	6	162.7024	171.4767	8	K01	K01_L13	laser	0	0	0	0	Cutting Board	164.3571	357.9854	cuttingboard	-1.437559	0.891825	1.196799	272.964	60.09008	300.075	-1.436887	0.906805	1.197186	0.245887	0.05029	0.364747	164.8681	166.0898	168.1001	170.4659	-1.433131	0.886196	1.184809	0.0	0.0	0.0	0.013966	0.004429	-0.005628	-0.01199	88.54763	-272.964	-60.09008	-300.075	-0.049337	1.576604	0.171838	Pilot_Kitchen_laser/9/S003/trackers/VR_move_T006.csv	Pilot_Kitchen_laser/9/S003/trackers/Eye_gaze_T006.csv	1	valid								2.3658000000000072	0.012781521192721919	valid	0.0								0.0886758580546277	0.004429	-0.01199
Pilot_Kitchen_laser	9	3	7	1	7	172.4872	184.9043	3	K01	K01_L16	laser	0	0	0	90	Flowers	175.5748	88.30903	flowers	1.069949	0.867997	0.834195	0.462501	110.9224	358.712	1.072386	1.089711	0.836063	0.476981	0.447812	0.470179	176.0858	177.2298	179.24	183.8826	1.057304	0.892716	0.856425	0.0	0.0	0.0	0.035568	-0.012645	0.024718	0.02223	110.9332	-0.462501	-110.9224	-358.712	0.221002	1.539113	0.064477	Pilot_Kitchen_laser/9/S003/trackers/VR_move_T007.csv	Pilot_Kitchen_laser/9/S003/trackers/Eye_gaze_T007.csv	1	valid								4.642599999999987	0.02557477125997414	valid	0.0								0.13209813831824146	-0.02223	-0.012645
Pilot_Kitchen_laser	9	3	8	1	8	185.9151	197.3661	6	K01	K01_L07	laser	0	0	0	270	Espresso Machine	190.5909	270.587	coffeemaker	-1.82445	0.880285	-0.854397	358.1284	90.56697	358.8811	-1.764189	1.051043	-0.853803	0.345148	0.352667	0.277094	191.1018	192.3347	194.345	196.3442	-1.792318	0.886198	-0.852478	0.0	0.0	0.0	0.032728	0.032132	0.005913	0.00192	90.56924	-358.1284	-90.56697	-358.8811	-0.156238	1.587022	-0.017521	Pilot_Kitchen_laser/9/S003/trackers/VR_move_T008.csv	Pilot_Kitchen_laser/9/S003/trackers/Eye_gaze_T008.csv	1	valid								1.9992000000000019	0.03218925263189546	valid	0.0								0.034080801620267276	0.00192	-0.032132
Pilot_Kitchen_laser	9	3	9	1	9	198.3766	209.3722	1	K01	K01_L05	laser	0	0	0	180	Plant	202.6083	177.2551	plant	0.740949	0.010997	-1.475805	357.0071	116.5166	356.3118	0.689599	0.494938	-1.514348	1.09479	0.991716	0.990528	203.1194	204.341	206.3513	208.3504	0.740291	0.00527	-1.468318	0.0	0.0	0.0	0.009449	-0.000658	-0.005727	0.007487	116.4812	-357.0071	-116.5166	-356.3118	-8.9e-05	1.545685	-0.238193	Pilot_Kitchen_laser/9/S003/trackers/VR_move_T009.csv	Pilot_Kitchen_laser/9/S003/trackers/Eye_gaze_T009.csv	1	valid								1.9990999999999985	0.007515858766634737	valid	0.0								0.02214448679947957	0.000658	-0.007487
Pilot_Kitchen_laser	9	3	10	1	10	210.383	221.6339	7	K01	K01_L15	laser	0	0	0	270	Water Bottle	213.2929	270.1542	waterbottle	-1.392051	0.883097	-1.231805	0.516519	199.2043	358.5333	-1.400844	0.984469	-1.230697	0.092938	0.203459	0.086649	213.8038	215.0367	217.047	220.6123	-1.385712	0.886198	-1.265096	0.0	0.0	0.0	0.034031	0.006339	0.003101	-0.033291	160.7909	-0.516519	-199.2043	-358.5333	-0.178754	1.584082	-0.085956	Pilot_Kitchen_laser/9/S003/trackers/VR_move_T010.csv	Pilot_Kitchen_laser/9/S003/trackers/Eye_gaze_T010.csv	1	valid								3.5653000000000077	0.03388913693206122	valid	0.0								0.0671160420808615	-0.033291	-0.006339
